MONTH;YEAR;INA INDUSTRIJA NAFTE;HRVATSKI TELEKOM;PRIVREDNA BANKA;ZAGREBACKA BANKA SER A;JADRANSKI NAFTOVODI;PLAVA LAGUNA;SNH DELTA DD;AD PLASTIK;ADC.CROATIA INTL.CLUB;AGROMEDIMURJE;APARTMANI MEDENA;ARENATURIST;ATLANTIC GRUPA;ATLANTSKA PLOVIDBA;AUTO-HRVATSKA ZAGREB;BADEL 1862;BC INSTITUT;BELJE DARDA;BILOKALNIK;BRIONKA D D;BRODOGRAD INDUSTRIES;BRODOGRADVLENAC;BRODOMERKUR DD;CAKOVECKI MLINOVI;CATEKS;CHROMOS AGRO DD;CROATIA AIRLINES;DALEKOVOD D D;DALMA;DOMACA TVORNICA RUBLJA TEKSTILNA KONFEKCIJA;DUBROVACKO PRIMORJE;DUKAT DD;DURO DAKOVIC HOLDING;ELEKTROMETAL BJELOVAR;ELEKTROPROJEKT D D;ELEKTROPROMET;ERICSSON NIKOLA;EUROHERC OSIGURANJE;EUROPLANTAZE;EXCELSA NEKRETNINE;FINVEST;FTB TURIZAM DD;GABARIT;GRANOLIO DD;HIDROELEKTRA NISKGR.;HOTEL MEDENA;HOTELI BASKA VODA;HOTELI BRELA;HOTELI HALUDOVO MALINSKA;HOTELI MAESTRAL;HOTELI MAKARSKA;HOTELI TUCEPI;HOTELI VODICE;HOTELI ZIVOGOSCE;HOTELI ZLATNI;HOTELJ JADRAN;HRVATSKA POSTANSKA BANKA;HRVATSKI DUHANI DD;HTP KORCULA;HTP OREBIC;HUP ZAGREB;IMPERIJAL;IMUNOLOSKI ZAVOD DD;INGRA ZAGREB;INSTITUT GRADEVINARSTVA;IPK KANDIT;ISTARSKA KREDITNA BANKA;ISTRA;JADRAN FILM;JADRAN TVORNIKA;JADRANSKO OSIGURANJE D D;JADROAGENT;JADROPLOV;JAMNICA;JELSA DD;KAMENSKO;KARLOVACKA BANKA;KEMIKA DD;KOESTLIN;KOKA;KONCAR DISBIV.SPJITRFI.;KONCAR ELEKTROINDUSTRIJA;KOTEKS;KRAS;KREDITNA BANKA ZAGREB;KUTJEVO;LEDO;LIBURNIA RIVIERA H;LLIRIJA;LOSINJSKA PLOVIDBA;LUKA PLOCE;LUKA RIJEKA DD RIJEKA;LUX ULAGANJA;MAGMA;MAISTRA;MARASKA;MEDIKA;MEDORA HOTELI I LJETOVALISTA;MIV;NAVA BANKA DD;NEXE GRUPA;OLYMPIA VODICE;OPEKA;OT-OPTIMA TELEKOM ZA TELEKOMUNIKACIJE;PALACE HOTEL;PECTINATUS;PETROKEMIJA;PEVEC D D;PIK-VINKOVCI DD;PIKRIJELKA;PISMORAD;PODRAVASKA BANKA;PODRAVKA PREHRAMBENA INDUSTRIJA;POUNJE TRIKOTAZA;PROFICIO;PULJANKA;QUAESTUS NEKRETNINE;RIVIERA HOLDINGS;RIZ ODASILJACI;SAPONIA DD;SLATINSKA BANKA;SNH ALFA DD;SNH BETA D D;SNH GAMA DD;SOLARIS;SPACVA;SPIN VALIS;TANKERSKA NEXT GNRTN.;TANKREKOMERC;TEHNIKA DD;TEKSTILPROMET;TISAK TRGOVACKO;TLM TVOR.LAKIH METALA;TURISTHOTEL DD ZADAR;TVORNICA STOCNE HRANE;ULJANIK;ULJANIK PLOVIDBA;VABA;VARTEKS;VIDUKT;VIRO TVORNICA SECERA;VJESNIK DD;VUPIK;ZAGREBACKA BURZA DD;ZAGREBACKE PEKARNE KLARA;ZIF FIMA PROPRIUS;ZITNJAK;ZVECEVO PREHRAMBENA;ZVIJEZDA DD;ADRIS GRUPA;CROATIA OSIGURANJE;KONCAR SKLOPNA POSJA.
1;2004;NA;NA;0;0;0;0;NA;NA;0;NA;0;0;NA;0;NA;0;0;NA;NA;NA;NA;NA;0;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;0;0;0;NA;0;NA;NA;0;0;0;0;0;0;NA;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;0;NA
1;2004;NA;NA;-0.009009009;0;0;0.023622047;NA;NA;0;NA;0;0;NA;0;NA;0;0;NA;NA;NA;NA;NA;0;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;0;0;0;NA;0;NA;NA;0;0;0;0;-0.007389434;0;NA;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;-0.005842431;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;0;NA
1;2004;NA;NA;0;0;0.052094737;0;NA;NA;0;NA;0;0;NA;0;NA;0;0;NA;NA;NA;NA;NA;0;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;0;0;NA;NA;NA;0.015495054;NA;NA;NA;NA;NA;NA;0;0;0;NA;0;NA;NA;0;0;0;0;0;0;NA;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0.035260596;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;0;NA
1;2004;NA;NA;0;0;0;0;NA;NA;0;NA;0;0;NA;0;NA;0;0;NA;NA;NA;NA;NA;0;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;0;0;0;NA;0;NA;NA;0;0;0;0;0;0;NA;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;0;NA
1;2004;NA;NA;0.022681818;0.034385965;0;0;NA;NA;0;NA;0;-0.043594306;NA;0.226366888;NA;0.336660132;0;NA;NA;NA;NA;NA;0;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;0;0;0;NA;0;NA;NA;0;0;0.000843407;0;0.011111111;0;NA;0;0;NA;NA;NA;NA;NA;NA;NA;2.3622;NA;NA;0;0;NA;NA;NA;NA;NA;NA;-0.620317974;NA;NA;NA;NA;NA;-0.022706422;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;0;NA
1;2004;NA;NA;0.022267656;0;0;-0.037692308;NA;NA;0;NA;0;0.023255814;NA;0.09625;NA;0;0;NA;NA;NA;NA;NA;0;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;0;0;NA;NA;NA;0.004396552;NA;NA;NA;NA;NA;NA;0;0;0;NA;0;NA;NA;0;0;0.000421348;0;-0.007289377;0;NA;0;0;NA;NA;NA;NA;NA;NA;NA;-0.048242222;NA;NA;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0.017425487;NA;NA;NA;NA;0.020689655;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0.016426083;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;0.005633803;NA
1;2004;NA;NA;0;0.071234735;0;0;NA;NA;0;NA;0;0;NA;0;NA;0;0;NA;NA;NA;NA;NA;0;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;0;0;0;NA;0;NA;NA;0;0;0.010810052;0;0.018412605;0;NA;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;-0.018918919;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;0.008403361;NA
1;2004;NA;NA;0;0;0;0.003197442;NA;NA;0;NA;0;0;NA;0;NA;0;0;NA;NA;NA;NA;NA;0;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;0;0;NA;NA;NA;-0.01690842;NA;NA;NA;NA;NA;NA;0;0;0;NA;0;NA;NA;-0.210526316;0;0;0;0.014492754;0;NA;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;-0.000288334;NA;NA;NA;NA;0.031680441;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;0.019441667;NA
1;2004;NA;NA;0;0;0;0;NA;NA;0;NA;0;0;NA;0.052451539;NA;0;0;NA;NA;NA;NA;NA;0;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;0;0;0;NA;0.000428571;NA;NA;0;0;-0.008888889;0;0.010678571;0;NA;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0.000288417;NA;NA;NA;NA;-0.005340454;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;2.7248E-06;NA
1;2004;NA;NA;0.02173913;0;0;0.027888446;NA;NA;0;NA;0;0.022727273;NA;0.166847237;NA;0;0;NA;NA;NA;NA;NA;0;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;0;0;NA;NA;NA;0.000698446;NA;NA;NA;NA;NA;NA;0;0;0;NA;0.000999572;NA;NA;0;0;0;0;0.007032051;0;NA;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;-5.76668E-05;NA;NA;NA;NA;0.016107383;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0.001958864;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;0.002724796;NA
