MONTH;YEAR;MOL MAGYAR OLAJ-ES GAZIPARI;OTP BANK;RICHTER GEDEON;MAGYAR TKOM.TELECOM.;BUDAPEST ELECTRICITY;4IG NYILVANOSAN;ALLAMI NYOMDA;ALTEO ENERGY;ALTERA WEALTH MANAGEMENT;APPENINN NYILVANOSAN;BPT.PR.UTILIZATION&.DEV.;CIG PANNONIA LIFE IN.;CSEPEL HOLDING;DUNA HOUSE HOLDING;EHEP SHARE;ENEFI ENERGY;EST MEDIA;EXTERNET;FHB SHARE;FINEXT SHARE;FORRAS FORRAS/T;FUTURAQUA;GRAPHISOFT PARK SE SHARE;KARTONPACK;KEG CTL.EUR.LPG TERM.;KEY SOFT;KONZUM TRDG.&.INDL.;MASTERPLAST;NORDTELEKOM TELECOM.SX.;NTH.HUNGARIAN ELTY.SUPP.;NUTEX INVESTMENTS;OPMIUS GROUP;ORMESTER;OTT ONE;PANNERGY;PANNON VALTO;PLOTINUS HOLDING;RABA AUTOMOTIVE GP.;TR INVESTMENT;ZWACK UNICUM;ADIDAS (BUD);ARCELORMITTAL (BUD);AXA (BUD);BANCO SANTANDER (BUD);BASF (BUD);BAYER (BUD);BBV.ARGENTARIA (BUD);BMW (BUD);BNP PARIBAS (BUD);COMMERZBANK (BUD);DAIMLER (BUD);DEUTSCHE BANK (BUD);DEUTSCHE LUFTHANSA (BUD);E ON (BUD);INFINEON TECH 'N' (BUD);LINDE (BUD);NOKIA (BUD);SIEMENS (BUD);TELEFONICA (BUD);THYSSENKRUPP (BUD);TOTAL (BUD);ERWOJ.TURBO LONG 03 CKT.;ERWOJ.TURBO LONG 70 CKT.;FORRAS TRUST & INV.
1;2004;0;0;0;0;0;NA;NA;NA;NA;NA;0;NA;0;NA;0;NA;0;NA;0;NA;0;NA;NA;0;NA;NA;0;NA;NA;0;0;0;NA;NA;0;0;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
1;2004;0;0;0;0;0;NA;NA;NA;NA;NA;0;NA;0;NA;0;NA;0;NA;0;NA;0;NA;NA;0;NA;NA;0;NA;NA;0;0;0;NA;NA;0;0;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
1;2004;0.022169438;0.028037383;0.001832621;0.024050633;0;NA;NA;NA;NA;NA;0.055769231;NA;0.192771084;NA;0;NA;-0.018874589;NA;-0.009478673;NA;-0.016620499;NA;NA;0;NA;NA;0;NA;NA;0.01;0;0;NA;NA;-0.035971223;0.002145923;NA;-0.02247191;NA;-0.048811014;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.001639344
1;2004;-0.000774593;0.023636364;0;0.013597033;0;NA;NA;NA;NA;NA;0;NA;0.01010101;NA;0;NA;0.019237692;NA;0;NA;0.007042254;NA;NA;0;NA;NA;0;NA;NA;-0.00990099;-0.011764859;-0.017857143;NA;NA;0.003731343;0;NA;0.045977011;NA;-0.013157895;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.001636661
1;2004;-0.007751938;-0.003552398;0.006097561;-0.015853659;-0.050167224;NA;NA;NA;NA;NA;-0.001821494;NA;0.2;NA;0;NA;-0.018874589;NA;-0.014354067;NA;-0.006993007;NA;NA;0;NA;NA;0;NA;NA;-0.007;-0.023808377;0.018181818;NA;NA;0.040892193;0.027837259;NA;-0.027472527;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
1;2004;0.00625;0.019607843;0.01010101;0.022304833;0.004225352;NA;NA;NA;NA;NA;-0.01459854;NA;0;NA;0;NA;0.019237692;NA;0.024271845;NA;0.002816901;NA;NA;0;NA;NA;0;NA;NA;0.001007049;-0.036585803;0;NA;NA;-0.025;0;NA;0.011299435;NA;-0.02;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.003278689
1;2004;-0.000776398;-0.020979021;-0.032;-0.018181818;0.00315568;NA;NA;NA;NA;NA;0.018518519;NA;0;NA;0;NA;0;NA;0;NA;0.011235955;NA;NA;0;NA;NA;0;NA;NA;0;0.012658385;-0.017857143;NA;NA;-0.007326007;0;NA;-0.011173184;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.001633987
1;2004;-0.001554002;-0.0075;-0.024793388;-0.008641975;0.013631597;NA;NA;NA;NA;NA;-0.02;NA;0;NA;0;NA;0.037749178;NA;-0.002369668;NA;0;NA;NA;0;NA;NA;0;NA;NA;-0.019114688;0;-0.018181818;NA;NA;0;0;NA;-0.005649718;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.003273322
1;2004;0.00233463;-0.006836992;0.025635593;0.00124533;-0.016206897;NA;NA;NA;NA;NA;0;NA;0;NA;0;NA;0.036354741;NA;0.021377672;NA;-0.004166667;NA;NA;0;NA;NA;0;NA;NA;0.009230769;0;0.018518519;NA;NA;-0.003690037;0;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.001631321
1;2004;0.004658385;0.014492754;0.004131378;0.001243781;0.037504381;NA;NA;NA;NA;NA;0;NA;0;NA;0;NA;0.122808818;NA;0.018604651;NA;0.0013947;NA;NA;0;NA;NA;0;NA;NA;-0.009146341;0.037498927;0.018181818;NA;NA;-0.007407407;0;NA;0.011363636;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.013071895
