MONTH;YEAR;ENERGIJOS SKIRSTYMO OPERATORIUS;TELIA LIETUVA;AGROWILL GROUP;AMBER GRID AB;APRANGA;GRIGISKES;GUBERNIJA;INVALDA;INVL BALTIC FARM;INVL TECHNOLOGY;K2 LT AB;KAUNO ENERGIJA;KLAIPEDOS NAFTA;LIETUVOS ENERGIJA;LINAS;LINAS AGRO GROUP;LITGRID;PANEVEZIO STATYBOS TTAS.;PIENO ZVAIGZDES;ROKISKIO SURIS;SIAULIU BANKAS;SNAIGE;UTENOS TRIKOTAZAS;VILKYSKIU PIENINE;VILNIAUS BALDU KOMBINATA;VILNIAUS DEGTINE;ZEMATIJOS PIENAS
4;2003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;2003;NA;0;NA;NA;0;0.028571429;0;0.111111111;NA;NA;NA;0;0;NA;0;NA;NA;0;0;0;0;-0.008032129;0;NA;0.03202847;0.105263158;0
4;2003;NA;-0.113636364;NA;NA;0;0.055555556;0;0.1;NA;NA;NA;0;0;NA;-0.055555556;NA;NA;0;0;0;0;-0.004048583;0;NA;0;-0.047619048;0
4;2003;NA;0.051282051;NA;NA;0;0;0;0;NA;NA;NA;0;0;NA;0.058823529;NA;NA;0;0;0;0;0.004065041;0;NA;0;0;-0.033333333
4;2003;NA;0;NA;NA;0;0.026315789;0;0.090909091;NA;NA;NA;0;0;NA;-0.055555556;NA;NA;0;0;0;0;0;0.01369863;NA;0;0.05;0
5;2003;NA;0;NA;NA;0;0;0;0;NA;NA;NA;0;0;NA;0;NA;NA;0;0;0;0;0;0;NA;0;0;0
5;2003;NA;0;NA;NA;0;0.025641026;0;0.083333333;NA;NA;NA;0;0.083333333;NA;-0.058823529;NA;NA;0;0.055555556;0;0;0;0.042471042;NA;0;0;0.034482759
5;2003;NA;0;NA;NA;0;0;0;0.115384615;NA;NA;NA;0;0.076923077;NA;-0.0625;NA;NA;0;-0.052631579;0.076923077;0;0.016194332;-0.001851852;NA;0.1;0;0
5;2003;NA;0;NA;NA;0.074074074;-0.025;0;0.068965517;NA;NA;NA;0;0;NA;0.066666667;NA;NA;0;0;0.028571429;0;0.039840637;0.001855288;NA;0.097178683;0.095238095;0
5;2003;NA;0;NA;NA;0.103448276;0.025641026;0;0.064516129;NA;NA;NA;0;0;NA;0;NA;NA;0;0;0.041666667;0;-0.022988506;0.1;NA;0.1;0;0.1
