MONTH;YEAR;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B
1;2004;0;0;0;0;0;0;NA;0;0;0;NA;NA;0;0;0;0;0;0;NA;0;0;0;0;0;0;NA;0;0;0;NA;0;0;0;NA;0;NA;NA;NA;0;0;0;0;0;0;0;NA;0;0;0;NA;0;0;0;NA;0;0;NA;NA;NA;0;NA;0;0;0;NA;0;0;0;NA;NA;NA;0;0;NA;0;NA;0;NA;NA;NA;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;0;0;0;NA;0;0;NA;0;0;0;NA;NA;0;NA;0;0;NA;0;0;NA;0;NA;0;NA;0;0;0;0;NA;0;NA;NA;0;0;0;0;NA;0;0;NA;NA;0;NA;0;0;0;0;0;0;NA;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0;0;0;NA;0;NA;NA;0;NA;0;0;0;0;0;NA;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;0;0;0;NA;0;0;0;0;0;0;NA;NA;0;0;0;NA;0;NA;0;NA;0;0;NA;0;0;0;0;0;0;0
1;2004;0;0.033898305;0;0;0;-0.008571429;NA;0;0;0;NA;NA;-0.00295858;-0.026315789;0.006578947;0;0.03125;0;NA;0;0;0;0;0;0;NA;0;0;0.0625;NA;0;0;0;NA;0;NA;NA;NA;0.142857143;0;0;0;0;0;0;NA;0.050724638;0;0;NA;0;0;0;NA;0;0.1;NA;NA;NA;0;NA;-0.034482759;0;0;NA;0;0;0;NA;NA;NA;-0.04;0;NA;0;NA;0;NA;NA;NA;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;0.015384615;0;0;NA;0;0;NA;0;0;0.292682927;NA;NA;0;NA;0;0;NA;0;0;NA;0.009852217;NA;0;NA;0;0;0;0;NA;0;NA;NA;0.017241379;0;0;0;NA;0;0;NA;NA;-0.023809524;NA;0;0;0;0;0;0;NA;0;0.145038168;0;0;NA;0;NA;0.078947368;0.009693053;0;0;0;NA;0;-0.012987013;0;NA;0;NA;NA;0.090673575;NA;0;0.008782936;0;0;-0.003525264;NA;0;NA;0;NA;0;NA;NA;0;0;0.011547344;NA;NA;NA;NA;NA;NA;NA;0.007537688;NA;NA;NA;0;0;0;NA;0;0;0;0;0;0;NA;NA;0;0;0;NA;0.022222222;NA;0;NA;0;0;NA;0;0;0;0;0;0.010638298;0
1;2004;0;0.098360656;0;0;0;0.075545492;NA;0;0.019607843;0;NA;NA;0.002967359;-0.009009009;0.013071895;0;0.090909091;0;NA;0.05;0.105263158;0;0;0;0;NA;0;0;0.058823529;NA;0;0;0;NA;0;NA;NA;NA;0.152777778;0;0;0;0;0;0;NA;0;0.011764706;0;NA;0;0;0;NA;0;0.054545455;NA;NA;NA;0;NA;0.035714286;0;0;NA;0;0;0;NA;NA;NA;0;0;NA;0;NA;0;NA;NA;NA;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;0;0;0;NA;0;0;NA;0;0;0;NA;NA;0;NA;0;0;NA;0;0;NA;0;NA;0;NA;0;0;0;0;NA;0;NA;NA;0.101694915;0.083333333;0;0;NA;0;0;NA;NA;0.182926829;NA;0;0;0;0;0;0;NA;0;0.066666667;0;0;NA;0;NA;0.041811847;0.0368;0;0.117647059;0;NA;0;0.013157895;0;NA;0;NA;NA;0;NA;0;0.024461028;0;0;0.041273585;NA;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;0.042394015;NA;NA;NA;0;0;0;NA;0;0;0;0.05;0.076502732;0;NA;NA;0.045454545;0;0;NA;0.086956522;NA;0;NA;0;0;NA;0.021276596;0;0;0;-0.049204052;0.031578947;0
1;2004;0.026315789;0.044776119;0.029411765;0;0.066666667;-0.027751196;NA;0;0;0.009615385;NA;NA;0.00887574;0;-0.006451613;0;0.055555556;0;NA;0.142857143;0.047619048;0;0;0;0;NA;0;0;-0.055555556;NA;0;0;0;NA;0.04;NA;NA;NA;-0.048192771;-0.058823529;0;0;0;0;0;NA;0.034482759;0;0;NA;0;0;1.666.666.667;NA;0;0;NA;NA;NA;0;NA;0.103448276;0;0;NA;0;0;0;NA;NA;NA;0;0;NA;0;NA;0;NA;NA;NA;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;0.060606061;-0.051094891;0;NA;0;0;NA;0;0;0;NA;NA;0;NA;0;0;NA;0;0;NA;0;NA;0;NA;0;0;0;0;NA;0;NA;NA;0.007692308;0.076923077;0;0;NA;0;0;NA;NA;0.154639175;NA;-0.2;0;0;0;0;0;NA;0;0.106875;0;0;NA;0;NA;0.02006689;-0.026234568;0;0;0;NA;0;0;0;NA;0;NA;NA;0;NA;0;0;0;0;0.058890147;NA;0;NA;0;NA;0;NA;NA;0;-0.010579858;0.029680365;NA;NA;NA;NA;NA;NA;NA;-0.041866029;NA;NA;NA;0;0;0;NA;0;0;0;0;0;0;NA;NA;0.130434783;0;0;NA;0;NA;0;NA;0;0;NA;-0.03125;0;0;0.06;-0.028158295;0.020408163;0
1;2004;0;0.114285714;0;0;0;-0.025590551;NA;0;0.038461538;0;NA;NA;0.002932551;0;0.032467532;0;0.026315789;0;NA;0.083333333;0.136363636;0;0;0;0;NA;0;0;0.117647059;NA;0;0;0;NA;0;NA;NA;NA;0.012658228;0;0;0;0;0;0;NA;0;0;0;NA;0;0;0;NA;0;0.051724138;NA;NA;NA;0;NA;0.09375;0;0;NA;0;0;0;NA;NA;NA;0;0;NA;0;NA;0;NA;NA;NA;0;0.022727273;0;0;0;0.025316456;NA;NA;NA;NA;NA;NA;0;0.1;0;0;NA;0;0;NA;0;0;0;NA;NA;0;NA;0;0;NA;0;0;NA;0;NA;0;NA;0;0;0;0;NA;0;NA;NA;-0.007633588;0;0;0;NA;0;0;NA;NA;0.160714286;NA;0;0;0;0;0;0;NA;0;0;0;0;NA;0;NA;0.036065574;0.033280507;0;0.000526316;0;NA;0;0.025974026;0;NA;-0.028372792;NA;NA;0;NA;0.185946872;0;0;0;0.035294118;NA;0;NA;0;NA;0.024387552;NA;NA;0.125058658;-0.01501131;0;NA;NA;NA;NA;NA;NA;NA;-0.003745318;NA;NA;NA;0;0;0;NA;0;0.090909091;0;0;0;0;NA;NA;0.115384615;0;0;NA;0.02;NA;0;NA;0;0;NA;0.032258065;0;0;0.018867925;-0.007830854;0.03;0
1;2004;0;0.051282051;0;0;0;-0.035353535;NA;0;0.111111111;0;NA;NA;0;0.054545455;0.006289308;0.064814815;0.128205128;0;NA;0.115384615;-0.04;0;0;0;0;NA;0;0;0;NA;0;0;0;NA;0;NA;NA;NA;0.1;0.0625;0;0;0;0;0;NA;0;0.011627907;0;NA;0;0;0.15625;NA;0;0.147540984;NA;NA;NA;0;NA;0.057142857;0;0;NA;0;0;0;NA;NA;NA;0;0;NA;0;NA;0;NA;NA;NA;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;0.103896104;0;0;NA;0;0;NA;0;0;0;NA;NA;0;NA;0;0;NA;0;0;NA;0;NA;0;NA;0;0;0;0;NA;0;NA;NA;0;0.071428571;0;0;NA;0;0;NA;NA;0.153846154;NA;0;0;0;0;0;0;NA;0;0.129305477;0;0;NA;0;NA;-0.006329114;0.079754601;0;-0.000526039;0.245614035;NA;0;0.025316456;0;NA;0;NA;NA;0;NA;0;0;0;0;-0.033057851;NA;0;NA;0;NA;0;NA;NA;0;0;0.027346637;NA;NA;NA;NA;NA;NA;NA;0.015037594;NA;NA;NA;0;0;0;NA;0;-0.083333333;0;0;0;0;NA;NA;0.172413793;0;0;NA;0;NA;0;NA;0;0;NA;0.15;0;0;0.12962963;-0.037095501;0.077669903;0
1;2004;0.025641026;0.03902439;0;0;0.125;0.033507853;NA;0;0.016666667;-0.019047619;NA;NA;0;0;0.0625;0;0.090909091;0.008928571;NA;0;0;0;0;0;0;NA;0;0.022026432;0.157894737;NA;0;0;0;NA;0;NA;NA;NA;-0.011363636;0;0;0;0;0;0;NA;0.073333333;-0.011494253;0;NA;0;0;0;NA;0;0;NA;NA;NA;0;NA;0;0;0;NA;0;0;0;NA;NA;NA;0.208333333;0;NA;0;NA;0;NA;NA;NA;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;0;0;0;NA;0;0;NA;0;0;0;NA;NA;0;NA;0;0;NA;0.157894737;0;NA;0.002439024;NA;0;NA;0;0;0;0;NA;0;NA;NA;0.023076923;0.066666667;0;0;NA;0;0;NA;NA;-0.12;NA;0;0;0;0.055555556;0;0;NA;0;0;0;0;NA;0;NA;-0.073248408;0.150568182;0;0;0;NA;0;0;0;NA;-0.01373042;NA;NA;0;NA;-0.005419075;0;0;0;-0.021367521;NA;0;NA;0;NA;0;NA;NA;0;0;0.015827338;NA;NA;NA;NA;NA;NA;NA;-0.002469136;NA;NA;NA;0;0;0;NA;0;0.011636364;0;0.171428571;0;0.136363636;NA;NA;-0.088235294;0.093023256;0;NA;0.098039216;NA;0;NA;0;0;NA;0.150362319;0;0;0;0;0;0
1;2004;-0.025;-0.049295775;0;0;0;-0.029989868;NA;0;0;0;NA;NA;0;0.043103448;0.011764706;0;0.020833333;0;NA;0;0.041666667;0;0;0;0;NA;0;0;0;NA;0;0;0;NA;0;NA;NA;NA;-0.045977011;0;0;0;0;0;0;NA;0.00621118;0;0;NA;0;0;0;NA;0;0;NA;NA;NA;0;NA;0.027027027;0;0.04;NA;0;0;0;NA;NA;NA;0;0;NA;0;NA;0;NA;NA;NA;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;-0.047058824;0;0;NA;0;0;NA;0;0;0.018867925;NA;NA;0;NA;0;0;NA;0.015151515;0;NA;0;NA;0;NA;0;0;0;0;NA;0;NA;NA;0.007518797;0;0;0;NA;0;0;NA;NA;-0.060606061;NA;0;0;0;0.052631579;0;0;NA;0;-0.025;0;0;NA;0;NA;0.017182131;0.019753086;0;0;0;NA;0;0;0;NA;0;NA;NA;0;NA;0;0;0;0;0.003275109;NA;0;NA;0;NA;0;NA;NA;0;0;0.033994334;NA;NA;NA;NA;NA;NA;NA;-0.018564356;NA;NA;NA;0;0;0;NA;0;-0.137311287;0;0.008130081;0;0.12;NA;NA;0.032258065;0.021276596;0;NA;0.035714286;NA;0;NA;0;0;NA;0.036220472;0;0;0;0;-0.027027027;0
1;2004;0;-0.061728395;0;0;0;-0.018383121;NA;0;-0.016393443;0;NA;NA;0;-0.016528926;0.029069767;0;-0.081632653;-0.008849558;NA;0;-0.04;0;0;0;0;NA;0;0;0;NA;0;0;0;NA;0;NA;NA;NA;-0.036144578;0;0;0;0;0;0;NA;0;0;0;NA;0;0;0;NA;0;0.057142857;NA;NA;NA;0;NA;-0.131578947;0;0;NA;0;0;0;NA;NA;NA;0;0;NA;0;NA;0;NA;NA;NA;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;-0.098765432;0;0;NA;0;0;NA;0;0;0;NA;NA;0;NA;0;0;NA;0;0;NA;0;NA;0;NA;0;0;0;0;NA;0;NA;NA;-0.052238806;-0.09375;0;0;NA;0;0;NA;NA;0;NA;0;0;0;0;0;0;NA;0;0;0;0;NA;0;NA;-0.047297297;-0.046004843;0;0;0.014084507;NA;0;0;0;NA;0;NA;NA;0;NA;0;0;0;0;-0.014145811;NA;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;0.010088272;NA;NA;NA;0;0;0;NA;0;0;0;0.048387097;0;0;NA;NA;-0.0625;0;0;NA;0;NA;0;NA;0;0;NA;-0.015197568;0;0;0.016393443;0;-0.037037037;0
1;2004;0;0;0;0;0;0;NA;0;0;0;NA;NA;0;0.033613445;0;0;-0.066666667;0;NA;0;0;0;0;0.102564103;0;NA;0;0;-0.090909091;NA;0;0;0;NA;0;NA;NA;NA;0;0;0;0;0;0;0;NA;0;0;0;NA;0;0;0;NA;0;0;NA;NA;NA;0;NA;0;0;0;NA;0;0;0;NA;NA;NA;0;0;NA;0;NA;0;NA;NA;NA;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;0;0;0;NA;0;0;NA;0;0;0;NA;NA;0;NA;0;0;NA;0;0;NA;0;NA;0;NA;0;0;0;0;NA;0;NA;NA;0.007874016;-0.068965517;0;0;NA;0;0;NA;NA;0;NA;0;0;0;0;0;0;NA;0;0;0;0;NA;0;NA;0;0;0;0.011578947;0.041666667;NA;0;0;0;NA;0;NA;NA;0;NA;0;0;0;0;0;NA;0;NA;0;NA;0;NA;NA;0;-0.051356994;-0.010273973;NA;NA;NA;NA;NA;NA;NA;0.001248439;NA;NA;NA;0;0;0;NA;0;0;0;0;0;0;NA;NA;0;0;0;NA;0;NA;0;NA;0;0;NA;0;0;0;0.112903226;0;0;-0.066666667
