MONTH;YEAR;EDP ENERGIAS DE PORTUGAL;GALP ENERGIA SGPS;JERONIMO MARTINS;EDP RENOVAVEIS;BANCO COMR.PORTUGUES 'R';BANCO BPI;NAVIGATOR COMP;NOS SGPS;SONAE SGPS;ALTRI SGPS;CCT CORREIOS DE PORTUGAL;CORTICEIRA AMORIM;MOTA ENGIL SGPS;REN;SEMAPA;SONAE COM LIMITED DATA;CIMENTOS DE PORTL.SGPS;CIPAN LIMITED DATA;COFINA;COMPTA;CONDURIL ENGENHARIA LIMITED DATA;COPAM LIMITED DATA;ESTORIL SOL 'B';F RAMADA INVESTIMENTOS;FENALU LIMITED DATA;FUTEBOL CLUBE DO PORTO;GI.GLB.INTEL.TECHS.SGPS;IBERSOL - SGPS;IMMOBL.CON.GRAO-PARA;IMPRESA SGPS;INAPA;INTEL.SENSING ANYWHERE;LISGRAFICA;LITHO FORMAS PORTUGUESA LIMITED DATA;LUZ SAUDE;MARTIFER;MEDIA CAPITAL;MONTEPIO;NEXPONOR SICAFI REIT;NOVABASE;OLIVEIRA AND IRMAO LIMITED DATA;OREY ANTUNES;PATRIS INVESTIMENTOS;PHAROL SGPS;REDITUS;SAG GEST;SDC INVESTIMENTOS;SOCIETY AGUAS DA CURIA LIMITED DATA;SONAE CAPITAL;SONAE INDUSTRIA SGPS;SONAGI LIMITED DATA;SPORT LISBOA E BENFICA FUTEBOL;SPORTING CLUBE DE BRAGA;SPORTING LIMITED DATA;SUMOL COMPAL;TEIXEIRA DUARTE;TOYOTA CAETANO;TRANSINSULAR LIMITED DATA;VAA VISTA ALEGRE ATLANTI;BANCO SANTANDER (LIS);EURONEXT (LIS);ESTORIL SOL 'R'
4;2003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;2003;0.018628719;NA;-0.001474443;NA;-0.007928389;0.004440033;0;0.003134796;-0.025702811;NA;NA;0;-0.007142857;NA;-0.003745318;-0.011363636;0.006060606;0;-0.004995127;-0.053254438;0;0;0.03;NA;0;-0.047505938;0.058812523;0.002964741;0;-0.010652765;0;NA;0;0;NA;NA;NA;NA;NA;-0.001715266;0;0;NA;0.004560546;0;0.025;0;0;NA;0;0;NA;NA;-0.007905138;-0.006510417;NA;0;0;0;-0.01007232;NA;0
4;2003;0;NA;0.004347826;NA;0;0.026678454;0.023255814;0.015625;0;NA;NA;0;-0.028776978;NA;-0.003759398;0.017241379;0.015060241;-0.018406037;0.024856128;0.05625;0;0;0;NA;0;-0.027431421;0;0.014639124;0;0.03207331;-0.01216557;NA;0.028061224;0;NA;NA;NA;NA;NA;-0.025773196;0;0;NA;-0.025786301;-0.011020263;-0.032520325;-0.005076142;0;NA;0;0;NA;NA;-0.003984064;0.019612432;NA;-0.04379562;0;-0.012977984;0.026160338;NA;0
4;2003;0;NA;-0.005717553;NA;0;0.038952487;0;0.007692308;0.026380874;NA;NA;0;0;NA;0;-0.011299435;-0.005934718;0;0;-0.047337278;0;0;0;NA;0;-0.033333333;0;0;0.007662835;0.005216426;-0.012315394;NA;-0.055417701;0;NA;NA;NA;NA;NA;-0.003527337;0;0.118940977;NA;-0.010904414;0.011143063;0.008403361;0;-0.055;NA;-0.003769521;0;NA;NA;-0.016;-0.00642703;NA;0;0;0;-0.001409774;NA;0
4;2003;-0.012192024;NA;0.028998603;NA;0.015983501;-0.004144118;-0.015151515;0.072519084;0;NA;NA;-0.014285714;0;NA;0.01509434;0.04;-0.008955224;0;-0.004778973;0.00621118;0;0;-0.007551241;NA;0;0;-0.055545738;0.011583949;0;0.005189356;0.018703431;NA;0.007005254;0;NA;NA;NA;NA;NA;-0.008849558;0;0;NA;0.009441607;0.011020263;0;0;0;NA;-0.056756757;0;NA;NA;-0.012195122;0.006468604;NA;0;0;0;-0.007082353;NA;0
5;2003;0;NA;0;NA;0;0;0;0;0;NA;NA;0;0;NA;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;NA;0;0;NA;NA;NA;NA;NA;0;0;0;NA;0;0;0;0;0;NA;0;0;NA;NA;0;0;NA;0;0;0;0;NA;0
5;2003;0.018513757;NA;0;NA;0.023637109;-0.00421032;-0.015384615;0.056939502;-0.025702811;NA;NA;0;0;NA;-0.014869888;0.005494505;0.012048193;0;0.004801921;0.043209877;0;0;0;NA;0;0.037135279;0.058812523;0;0;0;0;NA;0.022608696;0;NA;NA;NA;NA;NA;0.016071429;0;0;NA;-0.001549548;0.010900141;0.016666667;0.045918367;0;NA;-0.020057307;0;NA;NA;0.024691358;-0.002570812;NA;0;0;0;-0.004289201;NA;0
5;2003;-0.012118152;NA;-0.012693597;NA;0.015387842;-0.00840708;0;0.111111111;0;NA;NA;0;0;NA;0.00754717;0.038251366;-0.008928571;-0.006187887;0.014575866;-0.053254438;0;0;0;NA;0;-0.061381074;0;-0.002879967;0;0.040971002;-0.015324908;NA;0;0;NA;NA;NA;NA;NA;-0.001757469;0;0;NA;0.014061068;0.010666667;-0.024590164;0.043902439;0;NA;-0.081578947;0;NA;NA;-0.012048193;-0.002577438;NA;0;0;0;0.007163597;NA;0
5;2003;0.012266803;NA;0.004285599;NA;0.053013089;0.016956716;0;-0.10969697;0;NA;NA;-0.014492754;-0.007407407;NA;0.011235955;0.010526316;0.003003003;0;0.004828073;0.00625;0;0;0;NA;0;0.002724796;0;-0.002853901;0;0.004959375;-0.003082365;NA;-0.022108844;0;NA;NA;NA;NA;NA;-0.001760563;0;-0.029532112;NA;0.024652887;-0.01055409;0.008403361;0;0;NA;0.004457179;0;NA;NA;-0.016260163;-0.001292049;NA;0;0;0;0.008554077;NA;0
5;2003;0;NA;-0.011352657;NA;-0.007186932;0.01667398;0.0078125;0.027910143;0.026380874;NA;NA;0.014705882;0.014925373;NA;-0.003703704;-0.010416667;-0.002994012;-0.018867925;-0.009492558;0.00621118;0;0;-0.02173913;NA;0;0.027173913;0;0;-0.022813688;0;0.006234477;NA;0.007826087;0;NA;NA;NA;NA;NA;0;0;0;NA;0;0;-0.008333333;-0.004672897;0;NA;0.106180666;0;NA;NA;0;-0.025782008;NA;0;0;0.013148626;-0.032496896;NA;0
