MONTH;YEAR;OMV PETROM;BANCA TRANSILVANIA CLUJ;BRD GROUPE SOCIETE GL.;ROMGAZ S A;SC FONDUL PROPRIETATEA;CNTEE TRANSELECTRICA;ELECTRICA SA;ROMPETROL REFINERY;S N NUCLEARELECT;S N T G N TRANSGAZ;AEROSTAR BACAU;AGRANA ROMANIA;ALBALACT;ALRO SLATINA;ALUM;ALUMIL ROM INDUSTRY;AMONIL SLOBOZIA;ANTIBIOTICE;ARCELORMITTAL HUNEDOARA;ARGUS;ARMATURA CLUJ NAPOCA;ARTECA JILAVA;ARTEGO;ARTROM SLATINA;ATHENEE PALACE;BANCA COMERCIALA CARPATICA;BERMAS SUCEAVA;BIOFARM;BITTNET SYS;BRAICONF;BTT BUCURESTI;BUCUR;BUCUR OBOR;CALIPSO;CARBOCHIM CLUJ NAPOCA;CARPATHIA CAP;CASA DE BUCOVINA-CLUB DE MUNTE;CHIMCOMPLEX BORZESTI;CHRONOS CURIER;CIA.HOTELIERA ICTL.RO.;COCOR;COMALEX;COMCEREAL;COMCM;COMELF BISTRITA;COMINCO BUCURESTI;COMMIXT;COMNORD BUCURESTI;COMPA SIBIU;COMPANIA ENGPT.CAMPINA;COMVEX;CONDMAG;CONECT BUSINESS PARK;CONPET PLOIESTI;CONSTRUCTII BIHOR;CONSTRUCTII HIDROTEHNICE;CONTED;DAN STEEL GROUP BECLEAN;DELIVERY SOL;DOROBANTUL PLOIESTI;ELECTROAPARATAJ BUCAREST;ELECTROARGES;ELECTROMAGNETICA;ELECTROPRECIZIA;ELECTROPUTERE CRAIOVA;FABRICA DE SCULE RASNOV;FARMACEUTICA REMEDIA;FEPSHARES-ATS;FLAROS;FORAJ SONDE CRAIOVA;FORAJ SONDE ERNEI;GENERALCOM BUCURESTI;GRUPUL INDL.ELECON.;IAR BRASOV;IMOTRUST;IMPACT DEVELOPER & CONR.;INDEPENDENTA;INDUA.SARMEI CAMPIA TURZII;INTFOR;IOR;IPROEB BISTRITA;LACTATE NATURA;LAMINORUL;LIFE IS HARD;MECANICA CEAHLAU;MECHEL TARGOVISTE SUSP - 25/02/13;MERCUR CRAIOVA;METALICA ORADEA;METAV;MOARA CIBIN;NAPOCHIM;NAPOCHIM;OIL TERMINAL;OLTCHIM RM VALCEA;PERLA COVASNEI;PETROLEXPORTIMPORT;PRACTIC BUCURESTI;PREBET AIUD;PREMIA FINANZ;PRIMCOM BUCURESTI;PRO VORBAS;PRODLACTA;PRODPLAST BUCAREST;PRODVINALCO CLUJ NAPOCA;PROSPECTIUNI BUCURESTI;RAFINARIA ASTRA;REMARUL 16 FEBRUARIE;RETRASIB;ROLAST PITESTI;ROMAERO;ROMCAB;ROMPETROL WELL SER.;ROPHARMA;SANTIERUL NAVAL 2 MAI;SC BURSA DE VALORI BCT.;SC TRANSILVANIA;SC VRANCART;SCCA.DE REPARAT MRA. RULANT REVA;SEMROM MUNTENIA;SEVERNAV;SIF 1 BANAT CRISANA;SIF 2 MOLDOVA;SIF 3 TRANSILVANIA;SIF 4 MUNTENIA;SIF 5 OLTENIA;SINTEROM;SINTEZA ORADEA;SINTOFARM;SPIT BUCOVINA;SSIF BROKER CLUJ;STDC.IN TSBU.;STIROM BUCURESTI;TERAPLAST;TRANSILVANIA;TURBOMECANICA;TURHOTREST.MAREA NEAGRA;UAMT ORADEA;UCM RESITA;UNIREA SHOPPING CENTER;UPET;UZINEXPORT;VULCAN;ZENTIVA;ADIDAS (BSE);ALLIANZ (BSE);BAYER (BSE);BMW (BSE);CHRISTIAN DIOR (BSE);DAIMLER (BSE);DANONE (BSE);DEUTSCHE BANK (BSE);DEUTSCHE TELEKOM (BSE);EON (BSE);ERSTE BK.DER OSTER.(BSE);HEINEKEN (BSE);LOREAL (BSE);OMV (BSE);SAP (BSE);SIEMENS (BSE);SANTIERUL NAVAL ORSOVA;ALPHABET 'C' (BSE)
1;2004;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;0;0;0;NA;0;0;0;0;0;NA;0;0;0;NA;0;0;NA;0;0;0;0;NA;0;NA;NA;0;NA;0;0;0;0;NA;0;0;NA;0;0;0;0;NA;0;NA;0;0;0;0;NA;0;0;NA;0;0;0;0;NA;NA;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;NA;NA;0;0;0;0;NA;NA;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;0;NA;0;0;NA;0;NA;0;NA;0;NA;0;0;0;0;0;0;0;0;NA;0;0;NA;NA;0;0;NA;NA;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
1;2004;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;0;0;0;NA;0;0;0;0;0;NA;0;0;0;NA;0;0;NA;0;0;0;0;NA;0;NA;NA;0;NA;0;0;0;0;NA;0;0;NA;0;0;0;0;NA;0;NA;0;0;0;0;NA;0;0;NA;0;0;0;0;NA;NA;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;NA;NA;0;0;0;0;NA;NA;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;0;NA;0;0;NA;0;NA;0;NA;0;NA;0;0;0;0;0;0;0;0;NA;0;0;NA;NA;0;0;NA;NA;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
1;2004;0;0.06557377;0.070351759;NA;NA;NA;NA;NA;NA;NA;-0.064303094;NA;0;0;0;NA;0.021428571;0.022140221;0;0.02656535;0;NA;0;0;0;NA;-0.047652916;0;NA;0;0;0;0;NA;0;NA;NA;0;NA;0;0;0.015384615;0;NA;0;0;NA;0;-0.021496815;0.053846154;0;NA;0;NA;0;0;0;0;NA;0;0;NA;0;0;0.047034765;0;NA;NA;0;0;0;0;0;0;NA;0.034439886;0;0;0;0;0;0.05552513;0;NA;NA;0;0;0.015151515;0;NA;NA;-0.076963351;0.023529412;0;0;-0.025;0;0;NA;0;NA;-0.02939759;0.081143172;0;0;-0.113924051;0;NA;0;0;NA;-0.015957447;NA;0;NA;0;NA;0;0;-0.52238806;0.046511628;0.049180328;0.04599816;0.028169014;0.05;NA;-0.051395007;0;NA;NA;0;0;NA;NA;-0.027027027;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
1;2004;0;0;0.018779343;NA;NA;NA;NA;NA;NA;NA;0;NA;0;-0.018388318;0;NA;0;0;0;-0.015514893;0;NA;0;0;0;NA;-0.044436146;0.024684271;NA;-0.05893771;0;0;-0.033333333;NA;0;NA;NA;0;NA;0;0;0;0;NA;0;0;NA;0;0;0;0;NA;0;NA;0;0;0;0;NA;0;0;NA;0;0;-0.0625;0;NA;NA;0.012064343;0;0;0;0.034;0.006289308;NA;0;0;0.25;0.194444444;0;0.038179148;-0.017521453;0;NA;NA;0;0;0.059701493;0;NA;NA;0.041690301;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;0.148157289;NA;-0.029850746;0;NA;-0.010810811;NA;0;NA;0;NA;0;0;0;0;-0.03125;-0.01055409;0;-0.031746032;NA;0;0;NA;NA;0;0;NA;NA;0.019444444;0;0.075471698;0;0;0;0.021276596;0;0.054054054;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.024691358;NA
1;2004;0;0.01025641;0.00921659;NA;NA;NA;NA;NA;NA;NA;0;NA;0;0;0;NA;-0.013986014;0.02166065;0;0.010526316;-0.089739909;NA;0;0.089934762;0;NA;0.02325127;0;NA;0;0;0;0;NA;0.027836134;NA;NA;0;NA;-0.023809524;0;0;0;NA;0;0;NA;0;0;-0.065693431;0;NA;0;NA;0;0;0;0;NA;0;0;NA;0;0;0.066666667;0;NA;NA;0;-0.029396858;0;0;0;-0.025;NA;0;0;0;0;0;0;0.017833929;0;NA;NA;0;0;-0.112676056;0;NA;NA;0;0.045977011;0;0;-0.009324009;0;0;NA;0;NA;0;0;0;0;0;0;NA;0;0;NA;-0.016393443;NA;0;NA;0;NA;0;0;0.125;0;0.032258065;0.010666667;0.01369863;0.032786885;NA;0.040247678;0;NA;NA;0;0;NA;NA;0;0;0;0;0;0.071428571;0.041666667;0;0.076923077;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.012048193;NA
1;2004;0.019903912;-0.020304569;0;NA;NA;NA;NA;NA;NA;NA;0;NA;0;0;0;NA;-0.007092199;0.043109541;0;0;0;NA;-0.023529412;0;0;NA;0;0.023529412;NA;-0.031126945;0;0;0;NA;0;NA;NA;0;NA;0;0;0;0;NA;0;0;NA;0;0.021969081;0;0.072072695;NA;0;NA;0;0;0;0;NA;0;0;NA;-0.014851485;0;-0.02734375;0;NA;NA;0;0;0.012316988;0;0.017408124;0;NA;0;0;0;0;0;0;-0.175414089;0;NA;NA;0;0;0.031746032;0;NA;NA;-0.080043561;-0.010989011;0;0;0;0;0;NA;0;NA;0;0;0;0;-0.042857143;0;NA;0;0;NA;0;NA;0;NA;0;NA;0;0;-0.083333333;-0.011111111;-0.03125;-0.01055409;-0.013513514;-0.015873016;NA;0.040178571;0;NA;NA;0;0;NA;NA;0;0;0;0;0;0;0.05;0;-0.011904762;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
1;2004;-0.01345895;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;0;0;0;NA;0.007142857;0.020325203;0;0.09375;0;NA;0.024096386;0;0;NA;0;0;NA;0.03212696;0;-0.043478261;0;NA;0;NA;NA;0;NA;0.097560976;0;0;0;NA;0;0;NA;0;0;0;0.008389984;NA;0;NA;0;0;0;0;NA;0;0;NA;0;0;0;0;NA;NA;0;0;0;0;0.032319392;0.025641026;NA;0.022235577;0;0;-0.023255814;0;0;0;0;NA;NA;0;0;0;0;NA;NA;0;0.033333333;0;0;0;0;0;NA;0;NA;0;0;0;0;0;0;NA;0.038461538;0;NA;0.038888889;NA;0.058823529;NA;0;NA;0;0;-0.015151515;0;0.016129032;0.022222222;0;0.016129032;NA;0;0;NA;NA;0;0;NA;NA;0.021798365;0;0.149122807;0;0;0;0.047619048;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.012195122;NA
1;2004;-0.019781719;0;0.00456621;NA;NA;NA;NA;NA;NA;NA;0.002971768;NA;0;0;0;NA;-0.007092199;0;0;0;0;NA;0.235294118;0;0;NA;0;0.046524357;NA;0.031314457;0;0;0;NA;0;NA;NA;0;NA;0;0;0;0;NA;0;0.024948025;NA;0;0;0.03125;0.041686223;NA;0;NA;0;0;0;0;NA;0;-0.020408163;NA;0;0;-0.036144578;0;NA;NA;0.023807098;0;0;0;0.016574586;0;NA;0.054379777;0;-0.181818182;0.038095238;0;0;0.085091965;0;NA;NA;0;0;0;0;NA;NA;0.043503995;-0.010752688;-0.082146769;0;0.035294118;0;0;NA;0;NA;0;0;0;0;0;0;NA;0;0;NA;0.005347594;NA;0;NA;0;NA;0;0;0;0;0;0;0.01369863;-0.031746032;NA;-0.012875536;0;NA;NA;0;0;NA;NA;0;0;0;0;0;-0.022222222;-0.045454545;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.012048193;NA
1;2004;0;0.031088083;-0.009090909;NA;NA;NA;NA;NA;NA;NA;0;NA;0;0;0;NA;-0.014285714;-0.019920319;0;-0.061931973;0;NA;0;0;-0.071428571;NA;0.011393291;0;NA;0;0;0.022727273;0;NA;0;NA;NA;0;NA;0;0;0;0;NA;0;0;NA;0;-0.021496815;-0.015151515;0;NA;0;NA;0;0;0;0;NA;0;0;NA;0.010050251;0;0;0;NA;NA;0;0;0;0;-0.030797101;-0.0125;NA;0.030889323;0;0.011111111;-0.002293578;0;0;0;0;NA;NA;0.09;0;0.015384615;0;NA;NA;0;-0.02173913;0;0;-0.009090909;0;0;NA;0;NA;0;0.049978751;0;0;0;0;NA;0;0;NA;-0.010638298;NA;0;NA;0;NA;0;0;0.015384615;0.011235955;0;-0.011304348;0.013513514;0.016393443;NA;0.013043478;0;NA;NA;0;0;NA;NA;0.013333333;0;-0.099236641;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
1;2004;0;0.029592406;-0.004587156;NA;NA;NA;NA;NA;NA;NA;0;NA;0;-0.037534435;0;NA;0.02173913;0;0;0.015257876;0.042197553;NA;0.142857143;0;0.015384615;NA;-0.00566394;0.044456067;NA;0.030363636;0;0.033333333;0;NA;0;NA;NA;0;NA;0.022222222;0;0;0;NA;0;0;NA;0;0;0;-0.072007864;NA;0;NA;0;0;0;0;NA;0;0;NA;0.009950249;0;0;0;NA;NA;0;0;0;0;0;0;NA;0.040023798;0;0;0.034482759;0;0;0.235301989;0;NA;NA;0;0;0;0;NA;NA;0;0.022222222;0;0;0;0;0;NA;0;NA;0;0;0;0;0;0;NA;0;0;NA;0.021505376;NA;0;NA;0;NA;0;0;0;0;0.031746032;0.011433597;0;0.016129032;NA;0;0;NA;NA;0;0;NA;NA;0;0;0.144067797;0;0;0;0.00952381;0;0.024096386;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.004878049;NA
