"","Group.1","Group.2","SACI.FALABELLA","EMPRESAS.COPEC","BANCO.DE.CHILE","BANCO.SANTANDER.CHILE","ENEL.AMERICAS","CENCOSUD","LATAM.AIRLINES.GROUP","BANCO.DE.CREDITO.E.INVERSION","EMPRESAS.CMPC","ENEL.GENERACION.CHILE","AES.GENER","AGUAS.ANDINAS","ANTAR.CHILE","COLBUN.MACHICURA","COMPANIA.CERVECERIAS.UNIDAS","EMPRESA.NACIONAL.DE.TELECOMUNICACIONES","ENEL.CHILE","ITAU.CORPBANCA","QUINENCO","SOCIEDAD.MATRIZ.BANCO.DE.CHILE.B","SOCIEDAD.QUIMICA.Y.MINERA.DE.CHILE.A.PREF.","BANMEDICA","COSTA.VERDE.AERONAUTICA","EMBOTELLADORA.ANDINA.SERIES.A","ENEL.DISTRIBUCION.CHILE","ENGIE.ENERGIA.CHILE","MIN.VALPARAISO","PARQUE.ARAUCO","PEHUENCHE","ADM.FDOS.DE.PENSIONES.CUPRUM","AFP.CAPITAL","AFP.PROVIDA","ALMENDRAL","AUSTRALIS.SEAFOODS","BANVIDA","BBVA.BANCO.BHIF","BICECORP.PREF.","CAP","CAROZZI","CGE.DISTRIBUCION","CIA.DE.TC.DE.CIL.","COCA-COLA.EMBONOR.SERIES.B.PREF.","COMPANIA.SUDAMERICANA.DE.VAPORES","CRISTALERIAS.DE.CHILE","ELECTROMETALRGCA","EMPRESAS.AQUACHILE","EMPRESAS.CCT","EMPRESAS.LIPIGAS","ENACAR","FONDOS.HABITAT","FORESTAL.CONST","FORUS","GAS.NATURAL.DE.CHILE","GASCO","GRUPO.SECURITY","HORTIFRUT","INSTITUTO.DE.DIAGNOSTICO","INVERSIONES.AGUAS.METROPOLITANAS","INVERSIONES.LA.CONSTRUCCION","MASISA","MOLYMET","MULTIEXPORT.FOODS","NACL.EXPLOSIVOS","NORTE.GRANDE","ORO.BLANCO","PAMPA.CALICHERA","RIPLEY.CORPORATION","SALFA.CORPORATION","SCOTIABANK.SUD.AMERICANO.SERIES.'A'","SIGDO.KOPPERS","SMU","SOCIEDAD.MATRIZ.SAAM","SOCIEDAD.PUNTA.DEL.COBRE.A.PREF.","SOCOVESA","SONDA","VINA.CONCHA.Y.TORO","WATTS","AGENCIAS.UNIVERS","AGRICOLA.NACION","ANDACOR","ANDROMACO","AUTOMOVILISMO.Y.TURISMO","AXXION","AZUL.AZUL.SHARES","BANCO.INTERNACIONAL","BESALCO","BETLAN.DOS","BLANCO.Y.NEGRO","BLUMAR","CABO.DE.HORNOS","CAMPOS.CHILENOS","CASABLANCA","CEM","CEMENTOS.BIO.BIO","CHG.ACCIONES.CIL.FDINV.","CINTAC","CLUB.DE.CAMPO","CLUB.UNION","COLOSO","COMERCIO","COMPANIA.AGROPECUARIA.COPEVAL","COMPANIA.CHILENA.DE.NAVIGACION.INTEROCEANICA","COMPANIA.GENERAL.DE.ELECTRICIDAD","COMPANIA.PESQUERA.CAMANCHACA","COMPANIAS.CIC","CONSOGRAL","CONSTRUCTORA.INGEVEC","COVADONGA","CRAIGHOUSE","CRUZADOS.SADP","CTI","CURAUMA","DUNCAN.FOX","ECHEVERRIA.IZQUIERDO","EDELMAG","EDELPA","ELECDA","ELECTRCA.IQUIQUE","ELECTRICA.ARICA","ELECTRICA.PUNTILLA","EMPRESAS.IANSA","EMPRESAS.LA.POLAR","EMSE.SANITARIOS.DEL.BIO.'A'","ENERGIA.LATINA","ENJOY","EPERVA","ESPANOLA","ESTACIONAM","ESVAL.'A'","FERROCARRIL.DEL.PACIFICO","FORESTAL.CHOLGUAN","FOSFOROS","FROWARD","GOLF","GRANADILLA","GRUPO.EMPRESAS.NAVIERAS","HIPERMARC","HIPICO","HIPODROMO","HITES","IM.TRUST.SA.ADMIN.GL.DE.FONDOS","INDUSTRIA.PRODUCTOS.ALIMENTICIOS","INFODEMA","INMOBILIARIA.SIXTERRA","INMOBILIARIA.SPORT.FRANCAIS","INMOBILIARIAN.SAN.PATRICIO","INTASA","INVER.SIEMEL","INVERCAP","INVERNOVA","INVERSIONES.AGRICOLAS.Y.COMERCIALES","INVERTEC.PESQUERA.MAR.DE.CHILOE","INVEXANS","INVIESPA","IQUIQUE","LAS.CONDES","LITORAL","MARBELLA.CLUB","MARINSA","MATRIZ.IDEAS","MELON","MOLLER.Y.PEREZ.COTAPOS","NAVARINO","NIBSA","NITRATOS.DE.CHILE","OLDBOYS","OXIQUIM","PACIFICO.V.REGION","PAZ","POLO","POLPAICO","POTASIOS.DE.CHILE.'A'","PREVISION","PREVISION.CLUB.'A'","PUERTO","PUYEHUE","QUEMCHI","QUILICURA","QUINTEC","REBRISA.A.PREF.","SANTA.EMILIANA","SANTA.RITA","SANTANA","SCHWAGER.ENERGY","SINTEX","SIPSA","SOCIED.INMB.VINA.DEL.MAR","SOFRUCO","SOMELA","SOPRAVAL","SOPROCAL","SOQUICOM","SPORTING","TECH.PACK","TELEFONOS.DELSUR","TRICAHUE","TRICOLORSA","UNESPA","UNION.EL.GOLF","VALORES","VENTANAS","VICONTO","VINA.SAN.PEDRO","VOLCAN","ZONA.FRANCA","AGUAS.ANDINAS.1","CGE.GAS.NATURAL","CIA.DE.TC.DE.CIL..PREF.","COCA-COLA.EMBONOR.PREF.","EMBOTELLADORA.ANDINA.SERIES.B.PREF.","EMSE.SADBB.'C'","EMSE.SANITARIOS.DEL.BIO.'B'","ESVAL.'B'","ESVAL.'C'","FONDO.MUTUO.ETF","HIPODROMO.PREFERRED.STOCK","PAMPA.CALICHERA.PREFERRED.STOCK","POTASIOS.DE.CHILE.'B'","PRINCE.OF.WALES.COUNTRY.CLUB.'B'","REBRISA.PREFERRED.STOCK","SOCIEDAD.MATRIZ.BANCO.DE.CHILE.A","SOCIEDAD.MATRIZ.BANCO.DE.CHILE.D.PREF.","SOCIEDAD.MATRIZ.BANCO.DE.CHILE.E.PREF.","SOCIEDAD.PUNTA.DEL.COBRE.C.PREF.","SOCIEDAD.PUNTA.DEL.COBRE.D.PREF.","SOCIEDAD.QUIMICA.Y.MINERA.DE.CHILE.B.PREF."
"1",1,2004,0.00658956326252779,0,0,0,0.0122022724060871,NA,0,0,0,0,0.013786589878005,0.00737687192175643,0.00875520623403906,0,0,0.0166743859950247,NA,0.00434212504027688,0.00281159046685121,0.00488467298068652,0.00758520936785994,0.00195180014589707,0,0,NA,0,0.00271083353596815,0.00428888000976044,0.00077706804145383,NA,0,0.0129749736976267,0.0138664077579607,NA,0,0,0,0.0120252755342031,NA,NA,0,0.00314804735447136,0.00342431484400671,0.0139478396407677,0,NA,0,NA,0,0,0.00581519384560026,NA,NA,0,0,NA,0,NA,NA,0.00479891129593617,0,NA,0,0.013451843684789,0.0111813798657937,0.00459676358036737,NA,NA,0,NA,NA,NA,0.00535712341631799,NA,NA,0,0,0,0,0,NA,0,0,NA,NA,0.00579397460083671,NA,NA,0,0,0.00231939008804442,0,0.0300307005130711,0.00377599294006206,NA,0.00166820525290347,0,0.00588478767873092,0,0,NA,0,NA,NA,0,0,NA,0.00574058866440314,0,NA,0.00398212098731872,0,0,NA,0,5.72096553183257e-05,4.32579819569271e-05,5.91454589666107e-06,0.000651414316528,NA,0.0182752481253253,0.0144935782618211,0,NA,NA,0.00394426279483365,0,0,0,NA,0.00526955895760612,0,0,0,0.00232357160225841,0,0,0.00682827914818477,0.00014298902167744,NA,NA,0,0,NA,0.00245259097280486,NA,0.0517091352021564,0,0,0.00650600048632356,8.81917384794378e-05,NA,0,0.00168258633266989,0.000646291439038756,0,0,0,0.0161594243336619,NA,0,NA,0,NA,NA,0,NA,0,NA,0.00520480038905884,0.00591454589665777,NA,0,0,0.00098605987687667,0,0,0,0.00419790503164725,0,0,0.00692106557889069,0,0,0,0,NA,0,0.00609937545592833,0.0150138472761313,0,0.00121896226905516,0,NA,0.00520572585143242,0,0,0.0069965986378201,NA,0,0.00928911118061126,0,0,0,0.00267544905850618,NA,NA,0,0.00314806475144688,0,NA,0,NA,NA,NA,0.00887181884498666,0,NA,NA,0,0,0.00108969783038496,0,0,0,0.00457636762130358
"2",2,2004,0.00919196020305,0,0,0.014217371368954,0,NA,0,0.00705374415482375,0,0.0103635138584878,0.0292464995255485,0,0,0.0089031779126673,0,0.010421571562988,NA,0.00884249206693766,0,0,0.00952391181981787,0.014160194601609,0,0,NA,0.0173074204568379,1.68333790191989e-05,0,0,NA,0,0.0122194166942095,0.000113975896311588,NA,0.00314993050739345,0.00929282084458587,0,0,NA,NA,0,0,0,0,0,NA,0.00419322941892515,NA,0,0,0.00866040514737713,NA,NA,0,0,NA,0,NA,NA,0,0,NA,0,0,0,0.0168699670519907,NA,NA,0,NA,NA,NA,0.0165681204302432,NA,NA,0,0,0,0,0,NA,0,0,NA,NA,0,NA,NA,0.0236427490101618,0,0.00664025465127968,0,0,0,NA,0,0,0,0.0117148759919932,0,NA,0,NA,NA,0,0,NA,0,0,NA,0.0112349788619612,0,0,NA,0,0,0,6.55400364141547e-06,0.00460202613136914,NA,0.0145378693979249,0.0067620095495649,0,NA,NA,0,0.00491580064032613,0,0,NA,1.23600804391352e-05,0,0.00865180912697401,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,0,0.0224211982060368,0,0.00221200741534065,NA,0,0,0,0,0,0.0342762929893779,0,NA,0,NA,0,NA,NA,0,NA,0.0018330104082572,NA,0.00152320583221373,0,NA,0,0,2.01354708782778e-05,0,0.00135565048550945,0,0,0,0,0.00532799448764941,0,0,0,0,NA,0,0.000720984093914493,0.0108147614087175,0,0,0.0040054671884139,NA,0.00650241617685876,0.004325904563487,0,0.008319047237475,NA,0,0.00872054907324652,0,0,0,0.00486384821157688,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,NA,NA,0,0,0.00904023709279613,0,0,0,0
"3",3,2004,0.020137299937205,0.0031296017767287,0,0,0,NA,0.0138570479555666,0.00100758235790498,0,0.00966861514098491,0.0402565444757599,0,0,0.0153157996053213,0.0172789459125625,0,NA,0.00648620431691741,0.0138421041045078,0.00353503577487337,0,0.00339188170677493,0.00494571335564082,0.00294455668411308,NA,0.0562890413091339,0.00401321155496398,0.011877095476449,0,NA,0,0.00558376761146968,0.00124965336587541,NA,0.0235080347685292,0,0.0122894140996024,0.0139516526850366,NA,NA,0.0202270246450984,0,0.0100213241468716,0,0.000794843793867709,NA,0,NA,0,0.00451516542316399,0,NA,NA,0,0.00679648817129385,NA,0,NA,NA,0.00833063576285632,0,NA,0.00405513002488835,0,0.0133223084856597,0,NA,NA,6.65773672948325e-08,NA,NA,NA,0,NA,NA,0.00366102451803571,0.0083670877472831,0.00758172319583939,0,0,NA,0,0,NA,NA,0,NA,NA,0.00838139291204127,0,0.0291944370859685,0,0,0,NA,0,0,0.03831405572229,0,0,NA,0,NA,NA,0.008410728611908,0,NA,0,0,NA,0.0131409798068551,0,0.00760557786113624,NA,0,0,0,0,0.000677626853762444,NA,0.0193483744958347,0,0,NA,NA,0.0185240475660033,0,0,0,NA,0,0,0.00593860623700081,0.00300156196902732,0,0,0.0243911891238125,0,0,NA,NA,0,0.00536817813691426,NA,0,NA,0,0,0,0,0,NA,0,0,0,0,0.00465242105199236,0,0.0112560467133986,NA,0,NA,0,NA,NA,0,NA,0,NA,0.0066463157885605,0,NA,0,0,1.73210016827768e-05,0,0.0145088143022445,0,0.000482574698255012,0,0.00489728531788669,0.00490018905540807,0,0,0,0,NA,0.000584875789393319,0.000132046009044255,0,0,0,0,NA,0,0.00591603940343829,0,0,NA,0,0.0052590787105589,0,0,0,0,NA,NA,0.0156878700657609,0.0175525704845509,0,NA,0,NA,NA,NA,0,0,NA,NA,0,0.00549363371452973,0,0,0,0,0
"4",4,2004,0,0,0.0168469362589953,0,0,NA,0,0,0,0,0,0,0.00302479286655896,0,0.0106879736992535,0.00736222018354507,NA,0,0.0124984830548494,0.0128490387698305,0,0.0155199436243929,0,0,NA,0,0.00228982215604803,0.0103356091735668,0,NA,0,0,0,NA,0.00557161292511435,0.00619787596040102,0,0,NA,NA,0.0164635377897986,0,0,0.00260126361363319,0.00487950036474267,NA,0,NA,0,4.69182727379209e-05,0.00230638322496665,NA,NA,0,0.0252474751621986,NA,0,NA,NA,0,0,NA,0.00450079401502734,0.0125117772214345,0.0144969429265857,0.00595786057600933,NA,NA,0,NA,NA,NA,0,NA,NA,0,0.0125190173282064,0.00314806475144688,0,0,NA,0,0,NA,NA,0,NA,NA,0.00380241743043839,0,0.0101879384174622,0,0,0.00854265131613298,NA,0,0,0.0107338054602748,0,0,NA,0.00327841430756147,NA,NA,0,0,NA,0,0,NA,0,0,0,NA,0.00107195663566943,0.00120300300475979,0.00146722180122159,0.00118290917933155,0.000105845994896802,NA,0.0294342754991561,0,0,NA,NA,0.00177436376899732,0.134767152930988,0,0,NA,0.00280453486084164,2.851578797251e-10,0,0.00325300024316179,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0.0679818613690695,0,0,0,0.000238304644333987,NA,0.0181173480852539,0,0,0,0,0,0,NA,0.00266480563491249,NA,0,NA,NA,0,NA,0.00259358331456716,NA,0.00650600048632355,0,NA,0.00384212627145091,0,0.001940578560651,0,0,0,0,0.01330772826748,0,0.00108279097709794,0,0.00352408359675859,0,0.00249470153874487,NA,0,0,0.0428980605659375,0,0,0.000750692363806561,NA,0.00904784699667291,0.00233531162877042,0,0.00406625030395223,NA,0,0.0113992543951217,0,0.00695478462716518,0,0.0146610905384165,NA,NA,0.0182750240567377,0.00131755065371778,0.010489920370136,NA,0,NA,NA,NA,0,0,NA,NA,0,0,0.00747327891875518,1.40911084994441e-06,0,0,0
"5",5,2004,0.0206320040856745,0.0124811666202697,0.00734453659780272,0.0112119728399825,0.00643848411625035,0.00326443629587968,0.012098090528769,0.0175061077163546,0,0,0,0,0.00963529747003917,0,0.0120869606090117,0,NA,0.0155595641678112,0.0138024873313769,0.00315489698861901,0.00502738059457314,0.00205195670417031,0,0,NA,0,0.00587003086988013,0.00819149298506532,0,NA,0,0,0,NA,0,0,0,0.0297168268007405,NA,NA,0,0.00490019511443656,0.00354044640830013,0.0150028389364984,0,NA,0.00159156742551429,NA,0,0,0,NA,NA,0,0.0229340772275877,NA,0.185284090546934,NA,NA,0.0186480989798528,0,NA,0,0.00156637916348879,0,0.0275074523871758,NA,NA,0,NA,NA,NA,0.00615052427713738,NA,NA,0,0.00180698587787395,0,0,0,NA,0,0,NA,NA,0,NA,NA,0,0.0146568336012165,0.00110297971756851,0,0,0,NA,0,0,0.0227995189352256,0,0,NA,0,NA,NA,0,0,NA,0,0,NA,0.00795650059344975,0,0,NA,0.00123117402250219,0.00136920875724431,0.000360150453532128,0,0.000333470753657149,NA,0.0134679774550924,0.010639514353608,0,NA,NA,0,0,0,0,NA,0.000158368208277254,0,0.0133370544609761,0,0,0,0.0121121935479274,0.00233150536308919,0,NA,NA,0,0.00628150011480707,NA,0,NA,0,0.000466353796402351,0.0372376115700169,0.00732841680060824,0.00854911065691767,NA,0.0252761295663325,0,0,0,0,0,0.00182128951473658,NA,0.00293136672024331,NA,0,NA,NA,0,NA,0,NA,7.32841680060776e-05,0.0029313667202433,NA,0.0266858005719118,0,0,0,0.00394873317630567,0,0,0,0,0,0,0,0.000161082739913278,0.00763409331192409,NA,0,0,0.0335648760475312,0,0,0,NA,0.018926914526576,0.00217073625204605,0,0,NA,0,0,0,0,0,0,NA,NA,0,0.00389042626694216,0.01230393330981,NA,0,NA,NA,NA,0,0,NA,NA,0,0.00010425119398818,0.00434597637729163,0,0,0,0.0106883302477252
"6",6,2004,0.00508829732362104,0.00286903118817935,0,0.00701905452423983,0,0,0,0.000562205326102669,0.0150108417055477,0.010975483182576,0.0070910362544612,0.0143510903048914,0.00604230346066461,0,0,0.0093274645337599,NA,0,0,0,0,0.00972551396227631,0,0,NA,0.0318004702148994,0.00691407264020088,0.00515901134061957,0,NA,0.001336849414998,0.00654313872003262,0.016140333181781,NA,0.0160496352166491,0,0,0,NA,NA,0.00791258845456153,0.0130929288407172,0.00728698986326723,0,0,NA,0.0056304362160224,NA,0,0,0.00406937589649842,NA,NA,0,0.00425967891505953,NA,0.00243975018237132,NA,NA,0.0116053176518835,0,NA,0.0121318485911245,0,0.0196821606179328,0.017393559130357,NA,NA,0,NA,NA,NA,0,NA,NA,0,0.00965129640443499,0,0,0,NA,0,0,NA,NA,0,NA,NA,0,0,0.00931626156078166,0,0,0,NA,0.00128611571492826,0,0,0.0157145198544447,0,NA,0,NA,NA,0.0245811799917599,0,NA,0,0,NA,0.00351925319099741,0.00697071480677522,0.00406625030395223,NA,0,0.00141304723759777,0.000827033960125873,0,0,NA,0,0,0,NA,NA,0,0.0390360029179413,0,0,NA,0.00023235716022584,0.00527513552945153,0.00287029433220156,0.000745041991175756,0,0.0147258578782515,0.0111702735788009,0,0,NA,NA,0,0.00281509636427463,NA,0.00351223676639575,NA,0.00229623546576125,0.0115672810957314,0.00564134543562922,0,0.00135851616846448,NA,0.011438512890889,0,0,0,0,0,0,NA,0.00625500507137322,NA,0,NA,NA,0,NA,0,NA,0,0,NA,0,0,0.000977588010483311,0,0.00455088643420158,0,0.00458498539237145,0,0,0,0,0,0.00252790010546503,0,NA,0,0.00260240019452942,0,0,0,0,NA,0.0023989830134938,0.00889145722065261,0,0,NA,0,0.00742495090178796,0,0.0181809402235382,0,0,NA,NA,0,0,0.0128342800225847,NA,0,NA,NA,NA,0,0,NA,NA,0,0.0337191444398289,0.00705909135476638,0,0,0,0
"7",7,2004,0,0,0,0.00935472405754737,0,0,0.00578588961415458,0,0,0,0.0105862180103049,0.0255184452242747,0.00233519041675677,0.00276770761023296,0,0,NA,0.00447214398060451,0.013307758113277,0,0,0.00108433341438726,0,0,NA,0.0118565425492891,0.00474545129958854,0.00949605429729458,0,NA,0,0.0180049113312919,0.0256947194078538,NA,0,0.019271348872634,0.000325300024316185,0.011917900931286,NA,NA,0.0188345598667484,0,0.00673740198795741,0,0,NA,0.00278012682824624,NA,0,0,0,NA,NA,0.00272829654793602,0.00709971636868273,NA,5.66724781038633e-05,NA,NA,0,0,NA,0.00704573985582449,0,0.0162001148009314,0.0163119574823227,NA,NA,0,NA,NA,NA,0,NA,NA,0.00961233094392612,0,0.00164276512279669,0.00813250060790444,0,NA,0,0,NA,NA,0,NA,NA,0.00840118697216213,0,0,0,0,0,NA,0.00130120009726472,0,0,0,0,NA,0.0157117698819378,NA,NA,0.0423439178637147,0,NA,0,0,NA,0,0,0.00390352577292268,NA,2.96716349330756e-05,0,0.00102510511864341,0,0.00488766715344977,NA,0.011198274195363,0,0,NA,NA,0.00538101470327224,0,0,0.0845154254728517,NA,0,0.0195774713885217,0.00617749553565945,0,0,0,0.0529754542215183,0,0,NA,NA,0,0.0291849085593154,NA,0,NA,0.0117781043286892,0,0,0.00975900072948533,0,NA,0.0054148744223616,0,0,0.0418242018775625,0,0,0.00297562744427593,NA,0,NA,0,NA,NA,0,NA,0.00521956278886573,NA,0.0208275604433698,0.00230210183600215,NA,0.00975900072948534,0.0217999526232423,0,0,0.00952686273000449,0.019549334060513,0,0.0102726323468267,0.00344435319864189,0,0,0,0,0,NA,5.54173806330797e-05,0.00267369882999599,0,0,0.0187303066116766,0,NA,0.0149870368345667,0.00188276541404862,0,0,NA,0,0,0.00271083353596814,0.0101426006488122,0.0430066545282992,0.0051989231772331,NA,NA,0.00367946369251054,0,0.00579399938668317,NA,0,NA,NA,NA,0,0,NA,NA,0.0054216670719363,0.00624427477021652,0.00760802121757009,0.00245041332644338,0,0,0.00603257989005848
"8",8,2004,0.0150788280136524,0.0081820183397907,0,0.00701795315047221,0.00861406270048075,0.00494376035141907,0,0.00500530433067085,0,0,0.0084449768313861,0,0.00320201599000292,0.0072985827312626,0.0228169934818009,0.0145925261288815,NA,0.00625690094159653,0,0.00823929891184883,0,0,0,0.020218000722758,NA,0.0442910797832189,0,0.0042348208649354,0.00238783090312242,NA,0,0,0,NA,0.0256699786504434,0.00260218311981661,0.0133333035980234,0.0102067891702735,NA,NA,0.0358218421843671,0.0119637370810194,0.00499391859661001,0,0.00144119736835418,NA,0,NA,0,2.27482534486797e-05,0.00660294667926733,NA,NA,0.0134083741950257,0.00154776816459705,NA,0.000952097632144911,NA,NA,0,0,NA,0.00421285697571634,0,0.0113168417109452,0,NA,NA,0,NA,NA,NA,0.00833772985398127,NA,NA,0,0,0,0,0,NA,0,0,NA,NA,0,NA,NA,0.00134922626365401,0,0.0092076543100495,0,0.0100520028322434,0,NA,0,0,0.00464714320451683,0.0119761401845154,0,NA,0,NA,NA,0.0162407250945913,0,NA,0,0,NA,0,0.138411820115941,0.00357103526760691,NA,0.000296626161990444,0.0251225525158694,0.000194138803785543,0.00175824195794098,3.5229179253856e-05,NA,0,0,0,NA,NA,0.0168462415668908,0,0,0.0487950036474267,NA,0.0079127032941773,0.00541740824906852,0.000654966491911777,0,0,0.100300840830821,0.0232141940841242,0.010443155500834,0,NA,NA,0,0.040284229473829,NA,0,0.02739287494575,0.0665613895908487,0.00191352955480104,0,0,0,NA,0.000527227559139082,0,0,0,0,0,0,NA,0,NA,0.0022797129645996,NA,NA,0,NA,0,NA,0,0,NA,0,0.0799574614984096,0,0,0.00887148642483939,0,0,0.00574058866440314,0.00221795471124666,0.000489749114855368,0,0,0.00052467745857448,0,NA,0,0,0.0445647719764281,0,0,0,NA,0.00120481490487474,0.00474790093660841,0,0,NA,0,0,0,0.00481533019682736,0,0.029365851101537,NA,NA,0.0277800410332406,0,0.0039364414990436,NA,0,NA,NA,NA,0.0121987509118567,0.0121956461139662,NA,NA,0,0,0.00283601405299871,0.00211616722242829,0,0,0
"9",9,2004,0.00460094608691674,0,0,0.010166781514568,0,0.009429380271241,0.00335739685673241,0,0,0,0.00640245885818868,0.0128713595323744,0,0.00917396689556305,0,0.0142714579657375,NA,0,0.014549173872117,0,0.000325300024316174,0.0197355243070322,0,0,NA,0,0.00345848871812343,0,0,NA,0,0.00597833867164456,0,NA,0,0.00258876216748853,0,0.0313760163542811,NA,NA,0,0,0,0.00404227819461404,0.00512651012023026,NA,0,NA,0,0,0.00517624734237349,NA,NA,0.00649741940245532,0.0044774785138499,NA,0.0114580333947302,NA,NA,0,0,NA,0.00269306318354732,0,0,0,NA,NA,0,NA,NA,NA,0.00513383355982183,NA,NA,0,0.0232574332842527,0.000783791240361887,0,0,0,0,0,NA,NA,0,NA,NA,0,0.0162650012158089,0,0,0,0.0140239272400685,NA,0,0,0.00975900072948534,0.00396516695704126,0,NA,0,NA,NA,0.0250865425959323,0,NA,0,0,NA,0.0100584737327952,0,0,NA,0,0.00462877504955827,1.60019592738951e-05,0,0,NA,0,0,0,NA,NA,0.000257788816111087,0,0,0.330943816264649,NA,0,0.00690059806002448,0,0.00745507412334888,0,0.0952797619038995,0,0,0,NA,NA,0,0,NA,0,0,0.0185338849387682,0.000111639830447206,0.0161808967066114,0,0.00924317063102529,NA,0,0,0,0,0.00128407904335333,0,0.0164077627656927,NA,0.00866400186591593,NA,0.0513860410174865,NA,NA,0,NA,0.0098698770356527,NA,0,0.00336517266533978,NA,0,0.0177436469298285,0.0089235269813991,0,0.0108913095054561,0.0297266967016809,0.00330813584050349,0,0,0.000967238125126021,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0.00160610775936011,0,0,NA,0,0,0,0.0103144432510932,0.00951387988072012,0,NA,NA,0,0.00836485776813029,0.0131239716886026,NA,0,NA,NA,NA,0,0,NA,NA,0,0,0.0101779493113406,0.00178966530409144,0,0,0
"10",10,2004,0,0,0,0,0,0,0.0107070492774531,0,0.0040846782591895,0.00489506186488271,0.00733503305622355,0.00494884868685281,0.00968126445978949,0,0,0,NA,0.00459930405070051,0.00443727499276551,0.0102420424504443,0.00850797452546537,0.0140098052673152,0,0,NA,0,0.000509319463776094,0.00553657348153522,0,NA,0.00831874339528504,0.00941853038821575,0,NA,0,0.00866381449296263,0,0,NA,NA,0.00935619450932901,0,0,0,0.00359992404240406,NA,0,NA,0,0.00641425003046909,0,NA,NA,0.00922699646342046,0.0104898455737916,NA,0.00569987973380641,NA,NA,0,0.00328592472870322,NA,0.000342766706699812,0.0148155974522725,0,0.0166576041160317,NA,0,0,NA,NA,NA,0,NA,NA,0.0135890657975313,0.0193027989360159,0.0651966100522433,0,0,0,0,0.608258594450484,NA,NA,0,NA,NA,0.00608380079665356,0,0,0,0.00601277340908373,0.00687355831378081,NA,0.0177772573706032,0,0,0.00792233362628587,0,0,0,NA,NA,0,0.00541488574711609,NA,0,0,NA,0,0.0473820576142426,0,NA,0,0.00837882320869544,0,0,4.956417159831e-05,NA,0.00753626887640976,0,0,NA,NA,0.0102642434890046,0,0,0,NA,0,0.00195890368709534,0,0,0,0,0,0.00895921438758702,0,NA,NA,0,0,NA,0.00683985568056769,0,0,0.0039460705849429,0,0,0.00230777525850833,NA,0,0,0,0.0146568975991742,0,0,0,NA,0.0137878370910714,NA,0.0253386588669773,NA,NA,0,NA,0.0069726684122292,NA,0,0,NA,0,0.0721492423586144,0,0,0,0,0,0,0,0.00359792884999682,0.0512989176042577,0,0,0.00394391101227395,NA,0,0.00683985568056769,0.0279129232081121,0,0,0,NA,0.00755564175481839,0.00555490997476727,0,0.00410391340834062,NA,0,0.007490489708604,0,0,0,0,0,NA,0,0.00577112823047898,0.00580912624755129,NA,0,NA,NA,NA,0,0.00330773563737862,NA,NA,0,0.00792601302040031,0.00890405632222137,0.00961256318989905,0,0,0.0156424471307876
