"","Group.1","Group.2","AMBEV.ON","GERDAU.PN","ECOD.INFU.E.LOG.ON","METALURGICA.GERDAU.PN","LOJAS.RENNER.ON","ITAU.UNIBANCO.HOLDING.PN","CPFL.ENERGIA.ON","LOJAS.AMERICANAS.PN.REP1.PN","CYRELA.BRAZIL.REALTY.ON","SMILES.ON","CIA.ENERGETICA.DE.MINAS.GERAIS.PN","BANCO.SANTANDER.BRASIL.UNITS","BRF.BRASIL.FOODS.ON","USINAS.SIDERURGICAS.DE.MINAS.GERAIS.A.PN","ENGIE.BRASIL.ENERGIA.ON","WEG.ON","QUALICORP.ON","EMBRAER.ON","CMPH.COCS..RODOVIARIAS.ON","ENERGIAS.DO.BRASIL.ON.BRAZIL","RUMO.ON","RAIA.DROGASIL.ON","HYPERMARCAS.ON","ITAUSA.INVESTIMENTOS.ITAU.PN","MRV.ENGENHARIA.E.PARTICIPACOES.ON","BANCO.DO.BRASIL.ON","VALE.ON","KLABIN.UNITS","MARFRIG.FRIGORIFICOS.ON","BMF.BOVESPA.BLVAL..MEREFU.ON","BB.SEGURIDADE.ON","PETROLEO.BRASILEIRO.PN","ESTACIO.PARTICIPACOES.ON","EQUATORIAL.ENERGIA.ON","CIA.PARANAENSE.DE.ENERGIA.COPEL.PN","BRASKEM.PN.SERIES.A","BANCO.BRADESCO.PN","MULTIPLAN.EMPE..IMOBS.ON","SUZANO.BAHIA.SUL.PAPEL.CELULOSE.A.PN","NATURA.COSMETICOS.ON","VALE.PN","BANCO.BRADESCO.ON","CIELO.ON","KROTON.EDUCACIONAL.ON","FIBRIA.CELULOSE.ON","CPAD.SANMT.BASICO.DE.SAOP.ON","LOCALIZA.RENT.A.CAR.ON","TELEFONICA.BRASIL.PN","BRADESPAR.PN","BR.MALLS.PARTICIPACOES.ON","COMPANHIA.SIDERURGICA.NACIONAL.ON","ULTRAPAR.PARTICIPOES.ON","COSAN.INDUSTRIA.E.COMERCIO.ON","CMPBRA.DE.DISTB..PN","JBS.ON","CENTRAIS.ELETR.BRAS..ELETROBRAS.ON","TIM.PARTICIPACOES.ON","PETROLEO.BRASILEIRO.ON"
"1",1,2004,6.41401843339574e-05,-0.000121580969381583,NA,0.000214803554093188,0,9.70101917096338e-05,NA,-1.08587796045776e-05,NA,NA,0.000387211479149118,NA,-0.000249159798740429,0.000488703803478741,0.00109380767452479,-4.13359794973545e-06,NA,-0.000131083035970673,-0.000245648721513717,NA,NA,0,NA,0.000220121277581682,NA,0.000305961424713089,3.19394361633272e-05,NA,NA,NA,NA,0.000381293627712647,NA,NA,-5.14692063200162e-05,0.000627907287017854,8.6928928031171e-05,NA,-1.90331229993104e-05,NA,3.93630448319953e-05,3.11248416547431e-06,NA,NA,NA,0.000347821055023204,NA,-6.78172074826416e-05,4.00144562760189e-05,NA,7.50251445705369e-05,2.70645879560854e-06,NA,0.000236311891887029,NA,0.000184330559155672,0.000213698195555158,0.000349275719796215
"2",2,2004,9.55182850072512e-05,-1.19885377957446e-06,NA,-1.18030177033824e-06,0,-0.000184597010738605,NA,-0.000101238601681712,NA,NA,-0.000230666939959896,NA,0,1.66207486631574e-05,-6.18861588106263e-05,0,NA,-2.04606092917365e-05,-6.761056207136e-05,NA,NA,0,NA,-0.000119786784757405,NA,-9.01359301850111e-05,4.751440585836e-05,NA,NA,NA,NA,9.69313460616896e-06,NA,NA,-0.000194902765265728,-0.000103024343914892,-0.000143829764417496,NA,-6.197851033345e-05,NA,-1.24314239724489e-05,-0.000277453579303029,NA,NA,NA,6.08419232932058e-05,NA,7.49565077157251e-05,-2.86883073827162e-05,NA,-0.000159744874783416,0,NA,-8.03891370732167e-05,NA,0.000167491708547401,-5.44945485350371e-05,5.55615968719784e-05
"3",3,2004,0.000543221061873956,6.00753244909283e-05,NA,0.000122408602050129,0,6.60776986743463e-05,NA,2.42113530510559e-05,NA,NA,-0.00011430900439374,NA,0,0.000203544284389694,-0.000324491302694008,0,NA,0.000288076662245201,-9.0537491151483e-06,NA,NA,-3.20192620200313e-06,NA,0.000107237776521466,NA,1.41388642671483e-06,9.73347243602035e-05,NA,NA,NA,NA,-2.70594272351141e-05,NA,NA,-0.000230295302641489,0.000202478982411162,1.75030206988592e-05,NA,-6.36478789533024e-05,NA,0.000221722584335599,5.94957550842598e-05,NA,NA,NA,3.19984863000742e-05,NA,1.11680430515219e-05,-6.03668103453039e-05,NA,-0.000170434259074803,-8.07875530560499e-06,NA,3.11355357037178e-05,NA,-0.000395555744971006,-0.000712020698078167,-2.55683262601908e-05
"4",4,2004,-2.54395795277218e-05,-0.000201966859824498,NA,-1.9837707222521e-05,0,5.43575158941461e-05,NA,-8.43341951588947e-05,NA,NA,-0.00010501211107861,NA,-5.95238095238095e-06,0.000258085627728526,1.93018204972852e-05,0,NA,0.000113896844109974,5.3822765936745e-05,NA,NA,0,NA,7.60356330352669e-05,NA,3.46818140482577e-05,-0.000135714791121645,NA,NA,NA,NA,3.5817509581381e-06,NA,NA,5.06272024858161e-05,6.27603214111593e-05,0.000116604335779506,NA,-1.96850001782909e-05,NA,-0.000103672510950024,5.62810498858062e-05,NA,NA,NA,-1.27109050841884e-05,NA,1.11650913128583e-06,0.000120096989476838,NA,0.00023471553469195,1.87348201634256e-05,NA,0.000148264501610279,NA,0.000185762276831092,-0.000240695631599984,2.53207252731738e-05
"5",5,2004,-9.27594684115735e-06,0.000333012867898076,NA,9.89668400754824e-05,0,-9.15290124059835e-05,NA,0.000111518626392179,NA,NA,-0.000250160889155419,NA,-6.97442261507204e-06,0.000183224983655849,-0.000248863013365051,0,NA,2.71021707469278e-05,0.000101966933696215,NA,NA,0,NA,-2.55829856038767e-05,NA,8.37140616250514e-06,-0.000113964900501928,NA,NA,NA,NA,-0.000101255366312226,NA,NA,-0.000261370875156087,0.000921474778742959,3.29256332358352e-05,NA,-7.59282560353095e-05,-3.07435567068175e-05,-0.000173487133820601,-8.75622300599477e-05,NA,NA,NA,-0.000115237131181153,NA,-4.41144599277348e-05,-0.00063574930652287,NA,-5.28795466665946e-07,-3.52047852310154e-05,NA,0.000221565806105432,NA,-7.41132088010928e-06,-0.00100323762346794,-0.000167535566576864
"6",6,2004,6.52752065048968e-05,-6.37259908518284e-05,NA,-4.93633164977632e-05,0,4.57212866225991e-06,NA,1.57084578423844e-05,NA,NA,-0.000160006616071885,NA,0,-0.000120015919280863,-0.000373621049387429,-0.00023863033826166,NA,-0.000227918198416915,0.000101349867638378,NA,NA,0,NA,-4.13477533933846e-05,NA,-4.0975932292947e-05,0.000121569024746172,NA,NA,NA,NA,2.77086215112104e-05,NA,NA,0.000104093353063988,0.000103388425688925,-8.13260110142587e-05,NA,3.20846329202307e-05,6.92726155978144e-05,7.57923117323598e-05,3.3330094771508e-07,NA,NA,NA,-9.30577504746549e-06,NA,-1.86717297987778e-05,-0.000106104072528599,NA,-8.83624115744928e-05,0,NA,6.83587888214061e-05,NA,-2.52857069568943e-05,-6.75540796403445e-05,-5.22456337661486e-06
"7",7,2004,-3.38825119097837e-05,-6.70555719386957e-05,NA,-1.42263834381776e-05,0,-8.99417974544979e-05,NA,7.5849613716563e-05,NA,NA,0.00020813335676862,NA,-0.000176411793531992,-4.58990112757173e-05,-0.000196321861622193,0,NA,-9.4339689673817e-05,0.000156442194304882,NA,1.08714479658192e-05,-1.30642105689464e-05,NA,-2.35799283806709e-05,NA,-8.4800164579395e-05,4.49049428197562e-05,NA,NA,NA,NA,7.07607900693744e-05,NA,NA,-0.000139282481287792,-1.9569046422739e-05,2.98667887204511e-05,NA,2.93586540252753e-05,7.38018911723913e-05,1.58590052106838e-06,-2.18271923927358e-05,NA,NA,NA,-4.53195066831471e-05,NA,0.000166656034353848,9.69651646930054e-05,NA,7.67893757690459e-06,-8.62885566415238e-05,NA,-5.24800537576303e-05,NA,-8.2325268925501e-05,-6.3996972178924e-05,3.48547356663204e-05
"8",8,2004,-2.72223242152821e-05,3.49591722577479e-05,NA,5.48157836204851e-06,0,-2.87957086848768e-05,NA,0.000115224669350721,NA,NA,1.64387208274829e-05,NA,2.98809803332421e-05,-0.000143220392194634,-0.000133896858841285,0,NA,-0.000232371376391477,8.38398301168054e-05,NA,-1.13206771631262e-05,0,NA,-0.000205246503056685,NA,-9.72171817866152e-05,4.72375205678594e-05,NA,NA,NA,NA,-2.42428882690734e-05,NA,NA,-0.000117331700281237,-9.09290164645472e-05,1.03876644872468e-06,NA,2.20935645112626e-05,0.000130293232842122,3.66615517163851e-05,-3.63209479352754e-05,NA,NA,NA,-0.000121431249870804,NA,1.4100259657447e-05,-9.94438307634761e-06,NA,-5.07043090710975e-05,-1.27381139797322e-05,NA,-0.000157826486682274,NA,-4.73415465711425e-05,-0.00031029567140932,-3.69074867938819e-05
"9",9,2004,-2.1884320528028e-05,-2.67501438105613e-05,NA,-1.74810955948717e-05,0,8.56541018893671e-06,NA,-4.08932732707292e-05,NA,NA,0.000281806066081857,NA,-0.000327854970622116,-1.16492481417753e-06,-5.78379852106791e-05,-3.12169637966486e-07,NA,5.24692170601489e-05,-7.83125429291696e-06,NA,-3.95838916608806e-05,-8.72497566550049e-05,NA,3.9966310616116e-05,NA,-4.30060060384446e-05,-0.000104766820278063,NA,NA,NA,NA,-1.41162903440033e-05,NA,NA,6.08887905891568e-06,8.7742840507464e-05,-7.79371516882267e-06,NA,-5.57708105095707e-05,-0.000110554449573833,-5.66796286367225e-05,5.55933618162393e-06,NA,NA,NA,-9.35224111465447e-05,NA,-7.07076362287611e-05,0.000204731296330998,NA,-0.000131939232676804,0,NA,-4.22385365262551e-05,NA,0.000420290607185135,-8.59117637389557e-05,-4.66294853713666e-05
"10",10,2004,4.0993427874016e-05,0.000132829587195592,NA,4.16253826555949e-05,0,-2.43907855566129e-05,2.22598824733411e-05,-2.46707081662457e-05,NA,NA,9.96906856610766e-05,NA,-3.08163969447168e-05,9.00833445984894e-05,-0.000171257153819821,-4.74100302661555e-05,NA,-1.09345917256955e-06,7.32807617004658e-05,NA,-8.61203210778947e-06,0,NA,-4.22910194480414e-05,NA,1.57841598048716e-05,-2.71756743371097e-05,NA,NA,NA,NA,-1.85702733610666e-06,NA,NA,5.01003584396436e-06,6.99718574658056e-05,2.84172821356089e-05,NA,-1.43925799178523e-06,-3.32353998110802e-05,-3.88624924314364e-05,-2.98838286626837e-05,NA,NA,NA,-5.3393606879309e-05,NA,3.5672454011554e-05,5.25136906093371e-05,NA,0.000100130689961046,0,NA,-4.78358679313537e-05,NA,6.51745396395156e-05,-0.000241325154684066,1.54590483505128e-05
