"","Group.1","Group.2","AES.GENER","AFP.PROVIDA","AGENCIAS.UNIVERS","AGUAS.ANDINAS","ALMENDRAL","ANDROMACO","ANTAR.CHILE","AUSTRALIS.SEAFOODS","AZUL.AZUL.SHARES","BANCO.DE.CHILE","BANCO.DE.CREDITO.E.INVERSION","BANCO.SANTANDER.CHILE","BANMEDICA","BANVIDA","BESALCO","BLANCO.Y.NEGRO","BLUMAR","BUPA.CHILE.DEAD...DELIST.26.10.16","CAMPOS.CHILENOS","CAP","CEM","CEMENTOS.BIO.BIO","CENCOSUD","CIA.GNL.ELECTRIC.DEAD...DELIST.03.10.16","CINTAC","COCA.COLA.EMBONOR.PREF.","COCA.COLA.EMBONOR.SERIES.B.PREF.","COLBUN.MACHICURA","COMPANIA.AGROPECUARIA.COPEVAL","COMPANIA.CERVECERIAS.UNIDAS","COMPANIA.CHILENA.DE.NAVIGACION.INTEROCEANICA","COMPANIA.PESQUERA.CAMANCHACA","COMPANIA.SUDAMERICANA.DE.VAPORES","COMPANIAS.CIC","CRISTALERIAS.DE.CHILE","CRUZADOS.SADP","CTI","CURAUMA","DETROIT.DIESEL.DEAD...DELIST.18.11.16","EDELPA","ELECTROMETALRGCA","EMBOTELLADORA.ANDINA.SERIES.A","EMBOTELLADORA.ANDINA.SERIES.B.PREF.","EMPRESA.NACIONAL.DE.TELECOMUNICACIONES","EMPRESAS.AQUACHILE","EMPRESAS.CMPC","EMPRESAS.COPEC","EMPRESAS.IANSA","EMPRESAS.TATTERSALL.DEAD...DELIST.29.12.16","ENEL.AMERICAS","ENEL.GENERACION.CHILE","ENGIE.ENERGIA.CHILE","ENJOY","EPERVA","ESVAL.C","FONDOS.HABITAT","FORESTAL.CONST","FORUS","FOSFOROS","GASCO","GRUPO.EMPRESAS.NAVIERAS","GRUPO.SECURITY","HIPERMARC","HITES","INDIVER.DEAD...DELIST.12.01.17","INSTITUTO.DE.DIAGNOSTICO","INVERCAP","INVERSIONES.AGUAS.METROPOLITANAS","INVERTEC.PESQUERA.MAR.DE.CHILOE","INVEXANS","ITAU.CORPBANCA","LAS.CONDES","LATAM.AIRLINES.GROUP","MARINSA","MASISA","MIN.VALPARAISO","MOLYMET","MULTIEXPORT.FOODS","NACL.EXPLOSIVOS","NORTE.GRANDE","ORO.BLANCO","PACIFICO.V.REGION","PARQUE.ARAUCO","PAZ","PEHUENCHE","PILMAIQUEN.DEAD...DELIST.13.04.16","POLPAICO","QUINENCO","RIPLEY.CORPORATION","SACI.FALABELLA","SALFA.CORPORATION","SCHWAGER.ENERGY","SIGDO.KOPPERS","SOCIEDAD.MATRIZ.BANCO.DE.CHILE.A","SOCIEDAD.MATRIZ.BANCO.DE.CHILE.B","SOCIEDAD.MATRIZ.BANCO.DE.CHILE.D.PREF.","SOCIEDAD.MATRIZ.BANCO.DE.CHILE.E.PREF.","SOCIEDAD.PUNTA.DEL.COBRE.A.PREF.","SOCIEDAD.QUIMICA.Y.MINERA.DE.CHILE.A.PREF.","SOCIEDAD.QUIMICA.Y.MINERA.DE.CHILE.B.PREF.","SOCOVESA","SONDA","SOQUICOM","VENTANAS","VINA.CONCHA.Y.TORO","VINA.SAN.PEDRO","VOLCAN","WALMART.CHILE.DEAD...DELIST.27.10.16","ZONA.FRANCA"
"1",1,2004,-4.75175146630387e-05,-4.20874862839568e-05,0,-1.3604559383338e-05,-4.80693152144378e-05,NA,-1.91634100156889e-05,NA,NA,8.75998332404298e-06,3.10128687511044e-05,2.33894200692476e-05,-9.52380952380952e-07,3.8050831880676e-05,-8.39253561277339e-06,NA,5.31783211874737e-05,NA,-1.34489238663734e-06,-3.61518119710256e-05,-0.000225460743876362,-3.56453054620611e-06,NA,1.81843348259646e-05,-6.95727183800688e-07,-2.47757799415292e-06,-2.47755061799219e-06,3.85764725539597e-06,NA,7.76005670065202e-05,0,NA,-2.93148254817437e-06,0,-4.86355576249003e-05,NA,-3.9643217531724e-06,0,-1.74039161533359e-05,-8.18233882088095e-10,0,5.80548729728043e-06,3.41126744875895e-05,-6.95087860892749e-05,NA,0.000102333257223334,1.39504620834025e-05,-8.34961731931227e-05,0,-3.72238618287205e-05,8.89845584321859e-06,0.0002259994052381,NA,-3.88930231283069e-06,NA,7.38428365148394e-06,-8.4541198568572e-06,NA,0,8.28720272963185e-05,0,0,0.000752116455833996,NA,-2.03287909085761e-06,0,2.70642083358399e-06,NA,NA,3.20419718226737e-06,-4.71351145373699e-06,0,0.00010515699246276,-6.52817482625729e-05,-5.75738722399726e-06,-1.83715464432687e-06,0,NA,0,-4.52380249783585e-05,-3.12558142705757e-05,0,-4.59862259307434e-06,NA,-1.50958648764117e-07,-2.78775987071429e-05,-8.74546340460886e-06,-1.97626027382782e-06,NA,-1.08555851218265e-05,NA,0,NA,0,-5.96500712427611e-06,-2.96860339443809e-07,3.58248897718566e-06,-7.17469285207714e-06,-1.43838505853927e-05,-5.23578573736753e-06,NA,NA,-3.71467232136467e-07,-2.15718966667808e-05,2.46831651723174e-05,5.884906787723e-06,0,5.5074685499231e-05,-1.78950689703238e-06
"2",2,2004,-0.000213839436254573,-3.73285355152105e-05,0,0.000101524416834013,-3.24762674755556e-09,NA,9.03593079591869e-05,NA,NA,4.2989593664921e-05,-1.24388266220145e-05,-5.05334107842527e-05,-5.01277754110527e-05,-2.48051561980642e-06,5.43898377120756e-06,NA,-0.000139744893648186,NA,-1.1023245410546e-05,3.33996172610826e-05,0,0.000162014568944877,NA,-8.28283218606408e-06,3.16371532231682e-05,5.18457040387427e-05,4.06875014282979e-05,-1.98166444366849e-05,NA,1.50376491135549e-05,0,NA,1.3045929049256e-05,0,2.04993486676562e-05,NA,-3.15561880007661e-05,0,-2.00997690619013e-06,0,0,3.80928398374918e-05,9.58102048507895e-06,-2.71522891243857e-05,NA,7.30989054153965e-05,1.08242925064359e-05,-5.28374113550692e-05,-3.01018486749918e-06,1.55813664457368e-05,-2.68506052572876e-05,-7.48866981082453e-05,NA,0.000491741982405174,NA,1.83021897603995e-05,-1.87506543174946e-05,NA,0,0.000116236218031903,0,0,0.00057508488688745,NA,-7.21010870213568e-06,0,-0.000125677531800539,NA,NA,5.24835782550743e-05,-1.95474154287603e-05,0,2.53176278090937e-05,0,1.32586680691553e-05,-7.08407751578948e-11,0,NA,3.2748074116147e-05,2.52532270401015e-05,0.000235935490475199,-8.39981834553828e-07,1.69201217063562e-05,NA,1.28317809925673e-07,0,0,2.80870078598725e-05,NA,-2.11230326872224e-05,NA,0,NA,0,4.81678924319744e-05,-2.043147169689e-05,6.56457240352441e-06,-6.86256541861045e-05,-2.26762237924987e-05,2.99105589319987e-05,NA,NA,3.42520348909262e-05,-1.9011994592157e-05,5.16311078887676e-05,5.60047461538238e-05,0,-2.153918982462e-05,-5.91425498391209e-06
"3",3,2004,-0.000405147350608723,-7.7946154868765e-06,-1.43706314847475e-05,7.51154860603766e-05,-3.90408456292931e-07,NA,7.16454718593605e-06,NA,NA,5.50244269473416e-05,-2.53806088939407e-07,5.58491526990426e-05,-2.87621541699052e-06,-0.000138156925130463,7.46798911732335e-05,NA,-1.75619369965215e-05,NA,-0.000213078790042258,-4.86621520656176e-05,0,7.30150397062564e-06,NA,-3.15996851631965e-05,0.000344208905119722,-7.70231844693648e-05,9.27414960714123e-05,-5.86434308923459e-05,NA,-7.46404894804278e-05,0,NA,-2.51067326034497e-05,-1.76850887584256e-05,4.26277049983301e-06,NA,-4.31713374706119e-05,0,-2.08081463922265e-05,4.84126385659299e-07,-1.57944168631169e-07,-2.16760353684961e-06,4.20619023168774e-06,3.42626528067163e-05,NA,2.94793823854481e-05,-2.4486018849462e-06,-9.35898973708132e-05,0,2.28892920657262e-06,-2.33705295606605e-05,-0.000792114028847632,NA,-8.57850862230616e-05,NA,-5.09667990067014e-06,1.56521108073324e-06,NA,0,5.452248160929e-05,0,-1.15480628857795e-05,-0.000148732524994082,NA,7.63066265180757e-05,0,0.00104262878943276,NA,NA,0.000224935095487037,-1.05177122524452e-05,0,-4.80044452309514e-05,-3.167464654868e-05,-1.73498730034257e-05,-4.02646709900423e-06,0,NA,-4.11102030465039e-06,4.67522097800489e-05,-4.43709759009714e-05,0,-3.52663491372047e-05,NA,2.28961788153744e-06,0,0,-4.79009625567632e-05,NA,-0.000101377713311406,NA,0.000436965832108352,NA,-7.5450027436106e-06,-3.12412222029595e-06,0.000147461719466548,3.92290222048479e-06,4.5650848375786e-06,4.57432600714764e-06,4.23927748538045e-05,NA,NA,7.91934167194649e-06,-6.91447750950957e-06,-3.35077469237774e-06,2.37261083347681e-05,0,-4.55338984386814e-05,0.00030881007268526
"4",4,2004,0.000160123729745914,4.64098588145136e-06,-2.47757799415292e-06,5.60708133099781e-05,0,NA,-2.28734335884128e-06,NA,NA,-7.09548146317166e-05,1.08225308391985e-05,8.0770468793795e-06,-6.02171611823513e-05,-7.76071744049715e-06,0.000155777971664417,NA,-3.61459454147109e-06,NA,-2.59485221089248e-05,0.000361025248436143,0,-1.82442224760177e-05,NA,-2.36842638062953e-05,0.000173567342581259,-4.3398495183126e-07,2.6214234334188e-05,0.000106167447093781,NA,-2.85581942006636e-05,-2.68700009300595e-06,NA,2.57413334492801e-06,0.000822457272635281,-1.69164314574249e-06,NA,2.78068618240295e-06,0,-1.40950641621429e-08,-3.61804083130402e-07,-5.95238095238095e-06,2.38871011145227e-05,-2.75096091284881e-05,-1.35505716746321e-05,NA,3.56129525291241e-05,7.024194639496e-06,-0.000216594142503538,0,3.64617336825962e-06,4.95924183374316e-05,0.000483291190777848,NA,-7.87091680440771e-07,NA,-5.50332840238092e-10,-1.32985096784004e-06,NA,-2.00238095238038e-20,5.80851456094294e-05,0,-0.000159358752214609,1.8654845623608e-05,NA,-1.16427556454644e-06,0,4.46875287270377e-05,NA,NA,-8.20595746586788e-05,3.9833843502668e-06,0,7.65807335780815e-05,2.76668707986345e-05,0.000276441371837803,-1.31082129048067e-06,0,NA,-5.0642867617672e-06,-3.91361410541784e-05,-5.25403387164646e-05,-1.68166863095238e-06,-2.67062039136576e-05,NA,1.50351693985562e-05,-4.81061214465482e-06,0,-3.90530191399957e-05,NA,0.000133888382652086,NA,-3.10479128012934e-06,NA,0,-4.12744485369204e-05,-1.39624743980453e-05,-4.96392192857157e-13,0,1.79629261763714e-08,1.38430131346243e-05,NA,NA,1.99991349837954e-05,-3.24857496184128e-05,2.45694743410855e-05,-1.20922575790656e-05,0,5.24235634554673e-06,-5.37368931861462e-05
"5",5,2004,9.19449738977015e-06,1.51110442892883e-06,0,3.57032812312856e-05,9.33632225437324e-05,NA,-2.32097398583409e-05,NA,NA,-1.34855532860769e-05,-7.66159503420045e-05,-3.14270828662768e-05,-1.05263157894737e-06,7.24161809351365e-05,8.12082103997655e-05,NA,2.44846246679834e-06,NA,-3.04140915306908e-07,-0.00022077245003659,0,7.47351257254763e-06,-2.66413628116179e-06,-6.60872693560585e-05,8.96925510256233e-06,-3.78385418701112e-06,-6.00297803238325e-06,8.89408926411645e-05,NA,-3.65236534225743e-05,0,NA,-3.13369107128258e-06,0,-5.62712930922554e-05,NA,-1.58264754280016e-05,0,-3.91371054197063e-05,-4.68683213388445e-07,0,7.04250747326627e-08,-3.78466940807379e-05,0.000103460240250692,NA,8.72998388068077e-06,-3.894487971939e-05,-4.53466051120633e-05,0,-1.03635193148443e-05,5.28211929899034e-06,3.24519364306909e-05,NA,7.63951166344119e-06,NA,0.000133201378049372,1.63133859358268e-06,NA,0,3.77778689123367e-05,0,-0.00013149297331059,-3.66763091589223e-05,NA,-2.71276227968685e-06,-0.00858254855315515,-0.000346659931222672,NA,NA,-0.000159720682778307,-6.05250067757416e-05,0,-3.65909488476389e-05,-8.29273920141394e-07,-8.6937898253873e-05,-8.61431525663676e-06,0,NA,6.6693454586827e-06,-6.13385955302568e-07,1.12760938278563e-05,0,-1.67751397481821e-05,NA,1.66410765768637e-05,-3.55811108422761e-07,-2.14822777658432e-06,-4.76271631213249e-05,NA,-0.00010641989930666,NA,2.778786611659e-05,NA,-2.71707814006578e-09,-2.48834292506817e-06,-4.72187745020939e-06,2.55498791738616e-05,-9.45723714455533e-06,-6.31863909949986e-06,-2.85600995767774e-05,NA,NA,9.70616776319294e-05,8.72474600842106e-10,6.94729313716019e-06,4.35709141730426e-05,0,-5.07210917279644e-05,0.00021698471511263
"6",6,2004,-1.25706990053571e-05,-1.07031659097491e-05,0,-5.14884504738075e-05,-6.51275878500872e-05,NA,-9.12735785087034e-06,NA,NA,3.68997416027359e-06,-7.90195717378502e-08,-1.23167814864612e-05,-2.36464051040168e-05,-6.43976982091589e-05,3.70613094627593e-05,NA,3.94093709350543e-07,NA,-2.16981828178323e-05,3.81757514949855e-05,0,1.81203547344614e-05,1.21873233450292e-05,5.70020482512292e-06,-4.13523445246164e-07,0,-4.28561965943038e-05,6.32111828532567e-05,NA,2.08146258464098e-05,0,NA,-1.32750557582777e-05,-0.0001510586022732,4.9808800192292e-05,NA,-3.09628574099101e-06,-1.21477160835763e-05,-1.33796246419469e-06,-4.99175612923919e-07,0,6.5900453426962e-05,-4.11796873534643e-05,-2.17503970941998e-05,NA,-5.63313417998612e-05,-2.05783562953305e-06,5.09583843025188e-05,0,5.79223625359409e-06,-3.0115308014426e-05,-0.000252817479142705,NA,7.47069710756236e-05,NA,1.97425468721463e-05,-4.13995495548961e-06,NA,-6.95676369960694e-06,6.1403338128719e-05,-5.42127228033569e-05,-4.53621593742817e-06,-3.11937532810179e-05,NA,-6.92763476642288e-07,-1.48809523809524e-06,-7.95619562013302e-06,NA,NA,-3.27098950880421e-05,1.0101457884305e-05,0,5.48395982556563e-06,6.14746837299165e-05,-3.36708505621134e-05,-1.19510996029542e-05,0,NA,-3.67954374421005e-05,3.78584460615955e-05,-9.68468614355382e-05,0,-6.65384993595925e-06,NA,1.42593257436023e-05,0,0,5.36272282936289e-05,NA,-6.4726928459466e-06,NA,7.73387818181416e-05,NA,-0.000284245175528663,5.00847566323102e-06,-1.24576925893205e-05,2.6063853969231e-05,0,5.22832708324737e-05,2.3664773864112e-05,NA,NA,7.47922634495564e-05,-1.37824734112548e-05,1.85143309846273e-05,-8.26366454429815e-05,0,2.70588131710592e-05,0.000166432455812816
"7",7,2004,-2.80170031122814e-05,-8.10442081231588e-05,-6.74669285449736e-07,-0.000162797760362073,-0.00016505465175231,NA,-1.36327964683123e-06,NA,NA,8.74047253546389e-06,1.00142114041786e-05,-2.18777147699044e-05,-2.93944732510288e-07,1.84996708941131e-05,1.82565460185272e-05,NA,-1.76449855364738e-05,NA,6.54897494481308e-06,-3.5509089727174e-05,0,5.76331451742211e-05,4.93995684229378e-06,-1.66460941185264e-05,-4.23280402116402e-07,0.000186328188157488,0.000200684987756738,-1.91505144600139e-06,NA,1.24901437006365e-05,-6.17149278789139e-05,NA,-1.13481478862893e-05,-0.000448251845864919,1.91853015553782e-05,NA,1.80344881799928e-05,0.0155536770910116,-7.53381321792309e-06,3.5142401409417e-05,2.51416318251467e-05,1.62750867195629e-05,-8.39260696306104e-06,5.78413858413813e-05,NA,2.17789180532538e-05,1.03545978671244e-05,-3.13503382044575e-05,0,1.6822871041638e-05,1.09202621975582e-05,-3.51444023371055e-05,NA,-7.23882972461278e-06,NA,0,6.08620048385299e-07,NA,-9.58193475019369e-05,-1.86090004810658e-06,0,-1.26014935336098e-05,-0.000701599694299672,NA,1.28145582286796e-06,-8.02942186666666e-10,6.01223353420305e-05,NA,NA,-7.33021582741034e-06,-5.0000177848487e-06,-0.000437315964724925,-8.36912827044203e-06,-2.21358964750041e-06,2.42569308858156e-05,-5.62982706787434e-06,0.000689752947570407,NA,-1.24106126145331e-05,4.65085761053799e-06,-6.56109296934947e-05,-6.81095894778002e-06,-2.25437610712114e-05,NA,1.115007529588e-06,-3.2954358872961e-07,-1.32491825358493e-06,-4.42741093787164e-05,NA,2.96415945596061e-05,NA,8.21382306388466e-05,NA,-9.74774159337859e-06,4.64883470842505e-06,-1.44704967701009e-05,-1.50113096630745e-06,6.34735904615835e-05,0,-9.09800438204196e-06,NA,NA,-8.770609610663e-05,1.81898820412429e-05,-2.30992268595252e-05,-2.57180865400374e-05,-0.000462393080980256,-9.91054094576587e-06,-6.75720167228706e-06
"8",8,2004,-1.7829409185792e-05,4.90399276907242e-05,0,6.72146116787819e-05,0.000366202088804313,NA,-2.56322614858949e-06,NA,NA,7.54850528914168e-06,-6.26326786257182e-06,-1.23129173710529e-05,1.14981551256865e-05,-0.000164736950316868,1.1989460750859e-05,NA,-4.5510287132625e-07,NA,-2.11952247496313e-05,-2.60446364274275e-05,-2.52606901753688e-05,3.89816904039974e-05,-6.11019247590899e-06,1.05841005116937e-05,0.000433248306693022,0,-3.57827510404581e-05,-1.33173272624043e-05,NA,-0.000130153799738929,0.00202502735750955,NA,-6.2348044034636e-06,-6.5940287544686e-05,3.99206804616266e-05,NA,6.99580321700192e-05,-0.00478945797364846,0,-0.00015778566154032,-5.19262500377717e-07,-0.000102191888331578,-3.8738919781324e-06,-5.3235454768345e-05,NA,1.24559024198545e-05,-1.67363563022764e-05,5.08877880935021e-05,0,-1.85505190789688e-05,1.42862187018812e-05,-0.000490424937875148,NA,-7.09489620171976e-05,NA,-1.293705e-10,-1.08997265096654e-05,NA,-7.33707813807394e-06,-4.49461250523349e-05,-0.00251506466893004,-5.98896559260038e-07,-0.000134724702128598,NA,1.31740884177548e-05,-2.2662249568001e-07,1.44746043011243e-05,NA,NA,-6.94927020635963e-08,-9.78720283397883e-06,0,1.97545164868627e-05,3.97620037750438e-05,0.000248351165994404,4.53937302630257e-07,0,NA,-4.43704105136164e-06,1.12452885514162e-05,-3.20177254395017e-05,0.000967259521882327,-4.4834268207645e-06,NA,-1.42543373780992e-06,-2.89731902572819e-06,0,4.22835506455801e-06,NA,-5.68427628485472e-05,NA,0.00113460308395998,NA,4.42853351237751e-05,-1.69715106728665e-05,-2.01074401401669e-06,-1.11954089313362e-06,-1.73794350225686e-05,2.14415429877446e-05,1.2753752243209e-05,NA,NA,1.6672015115965e-05,5.55219093281115e-05,2.77739702974126e-06,-5.79685298116043e-06,0,4.9951431390978e-05,-0.00021558830301737
"9",9,2004,-1.02478684670099e-05,-8.93513277037294e-06,-1.53582167525952e-07,-4.14179747905362e-05,0.000836588339933591,0,1.44435240522845e-05,NA,NA,2.44627419340054e-05,3.20988963766707e-05,-2.58408603030245e-05,-9.73727297861598e-05,0.000149260055205711,7.18493595498427e-05,NA,5.54896538143505e-06,NA,0.00069727107913884,-0.000246113599965988,0,-4.91676366117984e-05,-2.22283022736503e-05,-6.1262437204282e-05,7.53203041723725e-05,-1.74927114868805e-05,1.91937329881702e-06,-2.10404175620373e-05,NA,2.66483557070565e-05,0.00230940777460177,NA,8.35880217524986e-05,-0.000157333653596739,-4.08500379095996e-06,NA,-2.52932240408903e-05,4.43681517860478e-05,0,-5.35638960592595e-06,-6.57027641786093e-06,7.37779032500823e-05,-4.30596574511166e-05,-5.09186294635584e-05,NA,8.62503667283328e-05,3.75807968168238e-05,0.000213200529867267,0.00105731647412696,1.98469278353304e-06,2.53272534424976e-05,5.14104967121373e-05,NA,-1.66137360643715e-08,NA,1.25137002559193e-06,-6.69838422690755e-06,NA,-1.19045631210629e-05,-1.05541148529234e-05,-0.00226955826049899,-5.01195374227633e-06,0.00166294480888375,NA,0.000109658277152809,-3.282163227926e-05,-6.54553568012543e-05,NA,NA,1.25715465323791e-05,1.75646545471771e-05,0,-2.81802741850893e-06,-6.73036695492035e-05,2.54334572854758e-05,-2.9902859780234e-06,0,NA,-1.81314736706056e-06,1.84780518397889e-05,4.23351124446459e-06,-2.43536181758608e-05,7.46212539537744e-05,NA,3.94074148450926e-06,-2.21234775191066e-05,-2.83109682917162e-06,-5.29196148247292e-05,NA,-5.29217317364699e-06,NA,0.00549220110349349,NA,0.000399464924777097,1.35606197760237e-05,-2.58976619406135e-05,-8.00725648354574e-07,-6.5890622712747e-06,-2.64550211640214e-08,9.72666658858102e-06,NA,NA,3.9147160198789e-05,2.69636018197426e-06,3.04091353197276e-05,-2.65969331839441e-05,-2.26284773079628e-05,-1.906468494765e-05,3.8422256153171e-06
"10",10,2004,-1.3450677859774e-05,-2.21771782494001e-05,-0.0010626494879576,-6.12277484205907e-06,0.0011923140400397,0,-2.34317203131025e-05,NA,NA,5.39843801963039e-06,3.94664410018917e-05,8.29106626497599e-06,-4.90686594767548e-05,0.000160420665438355,2.29927631554175e-05,NA,-9.25315797671626e-06,NA,0.000264549319024762,4.33746345892207e-05,-9.03836075090518e-06,-1.18114521568275e-05,1.31336172673607e-05,-7.32481656118479e-06,-7.90077199627159e-05,-8.32648026315789e-06,0,6.55321638266417e-05,0,9.67600530294521e-06,0.00233140766249381,NA,0.000513176772425276,0.00130427096098019,3.78108421175321e-05,NA,0.000118111839861871,-0.00056126484643835,0,-1.75511693040936e-05,-3.239863222692e-06,6.09308053140536e-07,-8.43648765271005e-06,0.000190051762225528,NA,-4.17114985964178e-06,3.68419319105944e-05,-1.41988356427604e-05,0.000219349979079032,4.0012799695695e-05,-5.99041051874503e-06,0.000693256449000916,NA,-2.63386753284631e-05,NA,-1.02856512176688e-05,1.09904339647527e-06,NA,-9.59325875702529e-07,-2.12843658441604e-05,0.00805491104780098,-2.75092150150754e-05,0.00010025449299869,NA,-6.40598383197716e-07,-8.12215737491878e-06,0.000314060890322814,NA,NA,0.000224668002659512,-5.28839939993263e-06,-5.3706162084806e-05,-2.86602257791575e-05,0.000374275012738626,6.52614536366669e-06,-6.48515749738684e-08,-2.69932540430602e-06,NA,-2.93718208678474e-08,-5.48754817876501e-05,2.35935831137036e-05,-1.21545261793611e-05,-7.66341147092794e-06,NA,1.54633337025901e-05,1.21132024502891e-05,0,-4.92235243574932e-06,NA,4.46376668814288e-05,0.000540036879854961,0.0205020165795949,NA,-1.57054206470052e-05,-2.62248578422323e-05,-1.98205548353475e-05,-2.31003428209002e-05,2.76770769292696e-05,-1.8096407724e-05,-6.11715398352189e-05,NA,NA,0.000294282503921442,-1.40268596002901e-05,-4.61656726464911e-05,2.08708263363931e-05,0,4.99997418265188e-05,4.38979433707947e-05
