"","Group.1","Group.2","ECOPETROL","BANCO.DE.BOGOTA","BANCOLOMBIA","EMPRESA.DE.ENERGIA.DE.BOGOTA","GRUPO.AVAL.ACCIONES.Y.VALORES","GRUPO.DE.INVERSIONES.SURAMERICANA","CEMENTOS.ARGOS","GRUPO.NACIONAL.DE.CHOCOLATES","INTERCONEXION.ELECTRICA","INVERSIONES.ARGOS","ISAGEN","ALMACENES.EXITO","BANCO.DE.OCCIDENTE","CEMEX.LATAM.HOLDING.BOG.","CORPORACION.FINANCIERA.COLOMBIANA","PROMIGAS","ASDF.DE.PNSI.Y.CESA..PRCN.","BANCO.COMERCIAL.AV.VILLAS","BANCO.POPULAR","BBV.ARGT.CLOMB.","CELSIA.ESP","EMPRESA.DE.ENERGIA.DEL.PACIFICO","EMSA.DE.TC.DE.BOGOTA","GAS.NATURAL","ORGANIZACION.DE.INGENIERIA.INTERNACIONAL","ORGANIZACION.TERPEL","PRODUCTOS.FAMILIA","SOCIEDADES.BOLIVAR","ACERIAS.PAZ.DEL.RIO","AGROGUACHAL","ALIMENTOS.DERIVADOS.DE.LA.CANA","BIOMAX.BIOCOMBUSTIBLES","BOLSA.DE.VALORES.DE.COLOMBIA","BOLSA.NACIONAL.AGROPECUARIA","CARTON.DE.COLOMBIA","CLINICA.DE.MARLY","COLOMBINA","COLTEJER","COMPANIA.AGRICOLA.SAN.FELIPE","COMPANIA.DE.ELECTRICIDAD.DE.TULUA","COMPANIA.DE.EMPAQUES","CONCONCRETO","CONSTRUCCIONES.CIVILES","CONSTRUCCIONES.EL.CONDOR","COOMEVA.ENTIDAD.PROMOTORA.DE.SALUD","CORPORACION.DE.FERIAS.Y.EXPOCISIONES","EDATEL","ENKA.DE.COLOMBIA","F.GAN.CALDAS","FOGANSA","FONDO.GANADERO.DE.TOLIMA","INDUSTRIAS.ESTRA","INGENIO.CENTRAL.CASTILLA","INVERSIONES.EQUIPOS.Y.SERVICIOS","INVERSIONES.VENECIA","MANUFACTURAS.DE.CEMENTO","MAYAGUEZ","MINEROS","RIOPAILA.CASTILLA","TABLEMAC","TEXTILES.FABRICATO.TEJICONDOR","VALOREM","VALORES.INDUSTRIALES","VALORES.SIMESA","ALPHABET.A..BOG.","AMAZON.COM..BOG.","APPLE..BOG.","BANK.OF.AMERICA..BOG.","CANACOL.ENERGY..BOG.","CITIGROUP..BOG.","COLGATE.PALMOLIVE..BOG.","FACEBOOK.A..BOG.","GENERAL.ELECTRIC..BOG.","GRAN.TIERRA.ENERGY..BOG.","JOHNSON...JOHNSON..BOG.","JPMORGAN.CHASE..BOG.","MICROSOFT..BOG.","PACIFIC.EXP...PRDN..BOG.","PFIZER..BOG.","PROCTER...GAMBLE..BOG.","TECNOGLASS..BOG.","WALMART.STORES..BOG.","BANCO.BILBAO.VIZCAYA.ARGENTARIA","CORPORACION.FINANCIERA.COLOMBIANA.1","CORPORACION.FINANCIERA.COLOMBIANA.2","CORPORACION.FINANCIERA.COLOMBIANA.3","ORGANIZACION.DE.INGENIERIA.INTERNACIONAL.1","PROMIGAS.ESP","SDEXITO"
"1",1,2004,NA,0,0,NA,0,0,0,0,0,0.0213415136491065,NA,0,0,NA,0,0,NA,0,0,0.00975900072948533,0,NA,0,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0.00196142862993541,0,0,0.0210159664742121,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0,0.00832276802620528,NA,0,0.0153815396989701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2",2,2004,NA,0.0184419703782083,0.0201125619485147,NA,0,0.0138043524434586,0,0,0,0.0251503101567387,NA,0,0,NA,0,0.00680925251184687,NA,0,0,0,0,NA,0,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0.0145834613859403,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0.0590360720034351,0,NA,0,0.00351821156986231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3",3,2004,NA,0,0.00971784179636355,NA,0.0145856328424782,0,0.0168293653059536,0,0,0,NA,0.0184039891875555,0,NA,0.0323168272459816,0.0402928474640836,NA,0,0,0.00896260349801068,0,NA,0,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0.000939883031407706,0,0,0.00502736453166465,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0,0.00485187047185095,NA,0,0.00606427509850059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4",4,2004,NA,0,0,NA,0,0.00442556992798702,0,0.0123874999787738,0,0,NA,0.0167825233845707,0.00305071743533174,NA,0,0,NA,0,0,0.0039563516919273,0.0305439520605827,NA,0,NA,NA,NA,0,0.0927096321011879,0,0,0,NA,NA,NA,0.00505290404751459,0,0,0.0108864407115483,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0,0,NA,0,0.000741613859016749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5",5,2004,NA,0.0452055221600764,0.0358540666252275,NA,0,0.0262865198265023,0.0264474094290623,0.0155682438859867,0.0439299495521868,0.0267476139006322,NA,0,0,NA,0.0422201282543207,0.0020476465691132,NA,0,0,0.00361259987174687,0.0145385576469405,NA,0.00747506633923395,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0.00758950498788115,0,0,0.0102629847365066,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0.0385980989435176,0.0545378786175297,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00637350187172925
"6",6,2004,NA,0,0,NA,4.23613824165137e-05,0,0,0,0,0.00692979744410002,NA,0,0.00272439133691605,NA,0.0560254958742591,0.00189678142437682,NA,0,0.00209966384062988,0,0.00797072969314723,NA,0,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0.00348533615664889,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0.00888794585095896,0.00660221934892121,NA,0,0.00127568632840756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"7",7,2004,NA,0.00366503602516221,0.00428005423050565,NA,0,0,0,0,0.0172656412845693,0.0105783790444258,NA,0,0.00602881606428421,NA,0.0108144391957194,0.00155122431828409,NA,0,0.00942248344949066,0,0,NA,0.000844334279711875,NA,NA,NA,0,0,0.0212286425955347,0,0,NA,NA,NA,0.00101573270309602,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0.008535996527954,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"8",8,2004,NA,0,0,NA,0,0.00774865302169094,0.0143717150188927,0,0.00207281701003446,0,NA,0.0188144141233189,0,NA,0.0341731588293811,0,NA,0,0.0124920985689944,0,0,NA,0,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0.00975907226296068,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0.0021735148396656,0,0.00247685665133509,0.0185933115567108,NA,0,0.00151721935189215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00410354518339949
"9",9,2004,NA,0,0,NA,0,0,0,0,0,0,NA,0.0334439659600261,0,NA,0,0.00440129243731321,NA,0,0.00975900072948533,0.00213700743764131,0,NA,0,NA,NA,NA,0,0.00299922012918171,0.0156240856501127,0,0,NA,NA,NA,0.000985757639585386,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0.0698012077929224,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"10",10,2004,NA,0.012633872731307,0.0190785062435134,NA,0.00854349366621212,0.00198611864574202,0,0.0116792590605794,0.0074166823830023,0.00280581991041466,NA,0.00655421440140115,0,NA,0.0458728395789324,0.00601530799309132,NA,0,0,0,0.00567601278484482,NA,0,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0.0319992569667137,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0.0125271005961634,0,0.0204944455902183,0.0249459905254697,NA,0,0.0120002825403097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00414856378102769
"11",11,2004,NA,0.00390540276133006,0,NA,0.0298970415697286,0,0,0,0,0,NA,0.00687528474726041,0,NA,0,0,NA,0,0.0195619986450895,0.00689966436013993,0,NA,0,NA,NA,NA,0,0,0.0174423393719739,0,0,NA,NA,NA,0.00195180014589707,0.00615537914064461,0,0.0220249260886167,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0,0,NA,0,3.72796755566561e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0237382799581765
"12",12,2004,NA,0,0.0133371770609536,NA,0.0122612707747361,0.0138136890840265,0,0.00856341808249209,0.00574771718611201,0.00936507944227846,NA,0,0.00592472915449355,NA,0.0107086583001819,0.000762333829715545,NA,0.0540501857565611,0,0.00676339702406934,0.0133527248426269,NA,0.0142304174424463,NA,NA,NA,0,0.00680842107892981,0,0,0,NA,NA,NA,0.00190828642739676,0,0,0.0290308805359099,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0.00503761427386417,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00840020469788584
"13",1,2005,NA,0.00725683830094449,0,NA,0,0,0,0,0,0,NA,0,0.00189261200630796,NA,0,0.0021239536064517,NA,0,0,0.00641236470053221,0,NA,0,NA,NA,NA,0,0,0.0227781427559,0,0,NA,NA,NA,0.00205195670417031,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0.00227533203369765,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
