"","Group.1","Group.2","INA.INDUSTRIJA.NAFTE","HRVATSKI.TELEKOM","PRIVREDNA.BANKA","ZAGREBACKA.BANKA.SER.A","JADRANSKI.NAFTOVODI","PLAVA.LAGUNA","SNH.DELTA.DD","AD.PLASTIK","ADC.CROATIA.INTL.CLUB","AGROMEDIMURJE","APARTMANI.MEDENA","ARENATURIST","ATLANTIC.GRUPA","ATLANTSKA.PLOVIDBA","AUTO.HRVATSKA.ZAGREB","BADEL.1862","BC.INSTITUT","BELJE.DARDA","BILOKALNIK","BRIONKA.D.D","BRODOGRAD.INDUSTRIES","BRODOGRADVLENAC","BRODOMERKUR.DD","CAKOVECKI.MLINOVI","CATEKS","CHROMOS.AGRO.DD","CROATIA.AIRLINES","DALEKOVOD.D.D","DALMA","DOMACA.TVORNICA.RUBLJA.TEKSTILNA.KONFEKCIJA","DUBROVACKO.PRIMORJE","DUKAT.DD","DURO.DAKOVIC.HOLDING","ELEKTROMETAL.BJELOVAR","ELEKTROPROJEKT.D.D","ELEKTROPROMET","ERICSSON.NIKOLA","EUROHERC.OSIGURANJE","EUROPLANTAZE","EXCELSA.NEKRETNINE","FINVEST","FTB.TURIZAM.DD","GABARIT","GRANOLIO.DD","HIDROELEKTRA.NISKGR.","HOTEL.MEDENA","HOTELI.BASKA.VODA","HOTELI.BRELA","HOTELI.HALUDOVO.MALINSKA","HOTELI.MAESTRAL","HOTELI.MAKARSKA","HOTELI.TUCEPI","HOTELI.VODICE","HOTELI.ZIVOGOSCE","HOTELI.ZLATNI","HOTELJ.JADRAN","HRVATSKA.POSTANSKA.BANKA","HRVATSKI.DUHANI.DD","HTP.KORCULA","HTP.OREBIC","HUP.ZAGREB","IMPERIJAL","IMUNOLOSKI.ZAVOD.DD","INGRA.ZAGREB","INSTITUT.GRADEVINARSTVA","IPK.KANDIT","ISTARSKA.KREDITNA.BANKA","ISTRA","JADRAN.FILM","JADRAN.TVORNIKA","JADRANSKO.OSIGURANJE.D.D","JADROAGENT","JADROPLOV","JAMNICA","JELSA.DD","KAMENSKO","KARLOVACKA.BANKA","KEMIKA.DD","KOESTLIN","KOKA","KONCAR.DISBIV.SPJITRFI.","KONCAR.ELEKTROINDUSTRIJA","KOTEKS","KRAS","KREDITNA.BANKA.ZAGREB","KUTJEVO","LEDO","LIBURNIA.RIVIERA.H","LLIRIJA","LOSINJSKA.PLOVIDBA","LUKA.PLOCE","LUKA.RIJEKA.DD.RIJEKA","LUX.ULAGANJA","MAGMA","MAISTRA","MARASKA","MEDIKA","MEDORA.HOTELI.I.LJETOVALISTA","MIV","NAVA.BANKA.DD","NEXE.GRUPA","OLYMPIA.VODICE","OPEKA","OT.OPTIMA.TELEKOM.ZA.TELEKOMUNIKACIJE","PALACE.HOTEL","PECTINATUS","PETROKEMIJA","PEVEC.D.D","PIK.VINKOVCI.DD","PIKRIJELKA","PISMORAD","PODRAVASKA.BANKA","PODRAVKA.PREHRAMBENA.INDUSTRIJA","POUNJE.TRIKOTAZA","PROFICIO","PULJANKA","QUAESTUS.NEKRETNINE","RIVIERA.HOLDINGS","RIZ.ODASILJACI","SAPONIA.DD","SLATINSKA.BANKA","SNH.ALFA.DD","SNH.BETA.D.D","SNH.GAMA.DD","SOLARIS","SPACVA","SPIN.VALIS","TANKERSKA.NEXT.GNRTN.","TANKREKOMERC","TEHNIKA.DD","TEKSTILPROMET","TISAK.TRGOVACKO","TLM.TVOR.LAKIH.METALA","TURISTHOTEL.DD.ZADAR","TVORNICA.STOCNE.HRANE","ULJANIK","ULJANIK.PLOVIDBA","VABA","VARTEKS","VIDUKT","VIRO.TVORNICA.SECERA","VJESNIK.DD","VUPIK","ZAGREBACKA.BURZA.DD","ZAGREBACKE.PEKARNE.KLARA","ZIF.FIMA.PROPRIUS","ZITNJAK","ZVECEVO.PREHRAMBENA","ZVIJEZDA.DD","ADRIS.GRUPA","CROATIA.OSIGURANJE","KONCAR.SKLOPNA.POSJA."
"1",1,2004,NA,NA,0.00296864399805759,0.00394161560082578,0,0.00297878564912344,NA,NA,0,NA,0,0.0611117019173712,NA,0,NA,0.050425506994954,0,NA,NA,NA,NA,NA,0,NA,0,0.478130870578316,NA,0.0104741876529797,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00813250057537444,0,NA,NA,0.00168258630238333,0,NA,NA,NA,0,NA,NA,NA,NA,0,0.0525484654214179,NA,NA,NA,0.00295283019921531,NA,NA,NA,NA,NA,NA,0,0.00513631617854965,0,NA,0,NA,NA,0.00547873726362563,0,0.00727899548376917,0,0.00747713769527208,0,NA,0.0146847766166571,0,NA,NA,NA,NA,NA,NA,NA,0.271645644814686,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0.00164834353026368,NA,NA,NA,NA,NA,0.0112867517863812,NA,NA,NA,NA,0.017285118024582,0.0525484654214179,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0.0035926094910537,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA
"2",2,2004,NA,NA,0,0.00741175602608728,0,0.00819941955182246,NA,NA,0.00249405031188072,NA,0.00713774252975355,0.0437583064733564,NA,0.0837607045801043,NA,0.0503998162254219,0,NA,NA,NA,NA,NA,0,NA,0,0,NA,0.0012619048279924,NA,0,NA,NA,NA,NA,NA,0,0.0132584462740321,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0800533453816852,0,NA,NA,0.00753823878949379,0,NA,NA,NA,0,NA,0.141473734691476,NA,NA,0,0.170099351542535,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.08651809126974,0,0,NA,0.0443721342749612,NA,NA,0.0227679187779627,0,0.00825342174217249,0,0.00144822861599536,0,NA,0.032527338412255,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0.0309111390920357,NA,NA,NA,NA,NA,0.0156860090492351,NA,0.00340024945733064,NA,NA,0.00607744154233795,0,NA,NA,NA,NA,NA,0,3.60401923945511e-05,NA,NA,0,0.0468720068488823,0.0447828245909311,NA,NA,NA,NA,NA,NA,NA,0.00366656266646724,NA,NA,NA,NA,NA,NA,NA,0,NA,0.212687817370732,NA,0,NA
"3",3,2004,NA,NA,0.0156397418903705,0.00600946045059387,0.00546113460639859,0.0369696528117092,NA,NA,0,NA,0.000967015950982925,0.0276213537210022,NA,0.0630474541815043,NA,0.0149506505733701,0,NA,NA,NA,NA,NA,0.0248129123083087,NA,0,0.0558290526239082,NA,0.0451747080032877,NA,0,NA,NA,NA,NA,NA,0.0212014531596933,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0527884612069767,0,NA,NA,0.00297101299953643,0,NA,NA,NA,0,NA,0.0875193998202334,NA,NA,0,0.019695523857957,NA,NA,NA,0.0102712285146129,NA,NA,NA,NA,NA,NA,0,0.00620322810033928,0,NA,0.0283048975454303,NA,NA,0,0,0.0103456829205155,0,0.0181367538036835,0,NA,0.00827252294960389,0.00929692312506369,NA,NA,NA,NA,NA,NA,NA,0.00174047704284297,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0.0126386540564896,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,0.00895007059290107,0.0457079962839515,NA,NA,NA,NA,NA,NA,NA,0.0136161525295023,NA,NA,NA,NA,NA,NA,NA,0,NA,0.0378371974961766,NA,0.00857127425146979,NA
"4",4,2004,NA,NA,0.00500952513209556,0,0.018611444655361,0.0277136471992958,NA,NA,0.00363376699928248,NA,0.0139414296274919,0.0212980446571572,NA,0.0640442300488888,NA,0,0,NA,NA,NA,NA,NA,0.00570701795447961,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0114216439473612,0,NA,NA,0.0187952847010174,0,NA,NA,NA,0,NA,0,NA,NA,0,0.00583058303545326,NA,NA,NA,0.00704207131275345,NA,NA,NA,NA,NA,NA,0.000390360029179413,0.00601794879359169,0,NA,0.03848469579446,NA,NA,0,0,0.0127890885976102,0,0,0.0647445451031978,NA,0.00750542222331033,0.00839810212476816,NA,NA,NA,NA,NA,NA,NA,0.00307718937273991,0,NA,0,0,NA,NA,NA,NA,NA,NA,0.00131029125704428,NA,NA,NA,NA,NA,0,NA,0.00452887743088587,NA,NA,0.0571455028699284,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,0.0194766896151809,0.0247483155518267,NA,NA,NA,NA,NA,NA,NA,0.0315027122688215,NA,NA,NA,NA,NA,NA,NA,0,NA,0.0188619554562285,NA,0,NA
"5",5,2004,NA,NA,0,0.00146495482951733,0.0161485631180216,0.0129145736853237,NA,NA,0.0260074072639286,NA,1.70996734006976e-05,0.0453264201382416,NA,0.0478821089434123,NA,0.0625319629617819,0,NA,NA,NA,NA,NA,0.00269249497564107,NA,0,0.0117987510489793,NA,0.0103759707471269,NA,0,NA,NA,NA,NA,NA,0.00057100958562485,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0.0107143066917548,0,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,NA,0.00677137871251833,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.0199700899608614,NA,NA,0.00777005300958871,0,0,0,0.0127952634341599,0,NA,0.0175997176026763,0.00935605425636114,NA,NA,NA,NA,NA,NA,NA,0,0.00513772634264949,NA,0,0,NA,NA,NA,NA,NA,NA,0.00551420991339829,NA,NA,NA,NA,NA,0,NA,0.0154764196616876,NA,NA,0.0605009824477475,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,0.0260683322123629,0.00231187272480013,NA,NA,NA,NA,NA,0,NA,0.0224673995280461,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0.0148916547642764,NA
"6",6,2004,NA,NA,0.0057553384103049,0.0180729723381041,0.00287029436090451,0.00907997065601901,NA,NA,0,NA,0,0.0249832186813256,NA,0.00111557020825888,NA,0.0271307536708978,0,NA,NA,NA,NA,NA,0.00813250057537444,NA,0,0,NA,0.0157995640680247,NA,0,NA,0.0429901151429023,NA,NA,NA,0,0.0137987721214064,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0318232138853576,0,NA,NA,0.00337095951514283,0,NA,NA,NA,0,NA,0.0156467104720306,NA,NA,0,0.00697071476495095,NA,NA,NA,0.00988192803037415,NA,NA,NA,NA,NA,NA,0.328198546179421,0,0,NA,0.0437275745188004,NA,NA,0.00639861442662645,0,0.0132718672687095,0,0.0132724773094996,0.110904094042671,NA,0.0111336256614985,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0.0284840833791853,NA,NA,NA,NA,NA,0.00894436977460515,NA,0.0107257912632029,NA,NA,0.0274954957006827,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,0.000559571729340654,0,NA,NA,NA,NA,NA,0,NA,0.0362839753427833,NA,NA,NA,NA,NA,NA,NA,0,NA,0.00787016705432467,NA,0,NA
"7",7,2004,NA,NA,0.0399168412908001,0,0.0198026257258515,0.0184356683610887,NA,NA,0.0297820547926817,NA,0.00387100239924744,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,0.0190595340359126,NA,0.0162650012483389,0,NA,0.0247510414936345,NA,0,NA,0,NA,NA,NA,0,0.0109373286201005,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0677448065056986,0,NA,NA,0.0435095951415299,0,NA,NA,NA,0,NA,0.00766637245332142,NA,NA,0.00609937545592833,0,NA,NA,NA,0.00247848851359445,NA,NA,NA,NA,NA,NA,0.0598762893285986,0,0,NA,0,NA,NA,0.0509810049821,0,0.0280208398322621,0,0.0339114045228486,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0.0453504797294185,0,NA,0,0,NA,NA,NA,NA,NA,NA,0.0128268781613192,NA,0,NA,NA,NA,0.0148923805125562,NA,0.00615340983175333,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,0.000650600081162358,0,NA,NA,NA,NA,NA,0.0404295218609069,NA,0.0585401384372463,NA,NA,NA,NA,NA,NA,NA,0,NA,0.0306773830615136,NA,0,NA
"8",8,2004,NA,NA,0.00394772571118251,0.0431150806207058,0.0147215092741675,0.0239572057771133,NA,NA,0.0139414296274919,NA,0,0.00951981635897449,NA,0.0505729593306702,NA,0,0,NA,NA,NA,NA,NA,0.0146662921656675,NA,0.0139414296274919,0,NA,0.029529376109615,NA,0,NA,0,NA,NA,NA,0.00390360029179413,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0207894244703195,0,NA,NA,0,0,NA,NA,NA,0,NA,0.000458407687055976,NA,NA,0,0.000532448318246439,NA,NA,NA,0.00752957619319856,NA,NA,NA,NA,NA,NA,0.0250826215340986,0,0,NA,0.0104395297498165,NA,NA,0.0424952419937633,0,0.0399961243004166,0,0.00734696027325555,0,NA,0.00300201871179209,0.0605222236228996,NA,NA,NA,NA,NA,NA,NA,0,0.00454302631712123,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0.0301913105358669,NA,0.00189008305420371,NA,NA,0.0135296712195147,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,0.00733616006526799,0.0162650012483389,NA,NA,NA,NA,NA,0,NA,0.0325884572280071,NA,NA,NA,NA,NA,NA,NA,0,NA,0.0147270723209987,NA,0.0128339633645322,NA
"9",9,2004,NA,NA,0,0.0189199810820977,0,0.0157983277468255,NA,NA,0.0266529791386603,NA,0.0128147708522442,0.0245571017251084,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,0.0162975312182405,0,NA,0.0424303238938499,NA,0,NA,0.0337799402188876,NA,NA,NA,0,0.0214974808706003,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,NA,0.0619256678370945,NA,NA,NA,NA,NA,NA,0.040548315068945,0,0,NA,0,NA,NA,0.00224402093122057,0,0,0,0.0213869845502648,0,NA,0,0.0779765029033467,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0.00736531768003413,NA,0.015576614117319,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,0.012253671737852,0.00784905706215112,0,NA,NA,NA,NA,NA,0,NA,0.00558079751810557,NA,NA,NA,NA,NA,NA,NA,0,NA,0.022946622301594,NA,0.0152142354857625,NA
"10",10,2004,NA,NA,0.0157220322466291,0.0393304255949176,0.0208953705454688,0.0181473242097906,NA,NA,0.0272411437655304,NA,0,0,NA,0.0267046771413223,NA,0,0,NA,NA,NA,NA,NA,0.0187318091419175,NA,0.00852632424963746,0,NA,0,NA,0,NA,0.0146388791999075,NA,NA,NA,0,0.0214276868487773,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.88411070724168e-05,0,NA,NA,0,0.0170996392356185,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,0.0136903262015646,0,0.0135511365364858,0,0,0.0102324815148802,NA,0.030404683274951,0,NA,NA,NA,0.0205195670417031,NA,NA,NA,0,0.047376974178791,NA,0,0,NA,NA,NA,NA,NA,NA,0.0447227636351228,NA,0.109046720042708,NA,NA,NA,0,NA,0.021230621749007,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,0.0656164145268615,0,NA,NA,0,NA,NA,0.0300631266685194,NA,0.0511780533150238,NA,NA,NA,NA,NA,NA,NA,0,NA,0.0732006504382464,NA,0,NA
