"","Group.1","Group.2","CEZ","KOMERCNI.BANKA","TELF.O2.CZECH.REPUBLIC","UNIPETROL","MONETA.MONEY.BANK","PHILIP.MORRIS.CR","BOREALIS.EXPLORATION","E4U","ENERGOAQUA","ENERGOCHEMICA","FORTUNA.ENTM.GROUP","JACHYMOV","KOFOLA.CESKOSLOVENSKO","PEGAS.NONWOVENS","PRAZSKE.SLUZBY","RM.S.HOLDING","SAFETY.REAL.INVESTICNI.FOND","TOMA","CENTRAL.EUR.MEDIA..PRA.","ERSTE.GROUP.BANK..PRA.","NEW.WORLD.RES...PRA.","PHOTON.ENERGY..PRA.","STOCK.SPIRITS.GROUP.PRA.","TATRY.MOUNTAIN..PRA..RESORTS.6","VGP..WI...PRA.","VIENNA.IN.GROUP..PRA."
"1",1,2004,0,0,0.00844913337598289,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,NA,0.00121704254122393,NA,0,NA,NA,NA,NA,NA,NA
"2",2,2004,0.0128184346810367,0,0.00397520800159185,0,NA,0.0221346613475248,NA,NA,0,NA,NA,0,NA,NA,0,0.00527549339120807,NA,0.0318818147578467,NA,0,NA,NA,NA,NA,NA,NA
"3",3,2004,0,0,0,0.0102563012884951,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,NA,0.0303553672819598,NA,0,NA,NA,NA,NA,NA,NA
"4",4,2004,0,0,0.0147295010560548,0.0289409350657382,NA,0.0135697898747176,NA,NA,0,NA,NA,0,NA,NA,0,0,NA,0.00565245684525117,NA,0,NA,NA,NA,NA,NA,NA
"5",5,2004,0.0128670096644361,0.00962833696305373,0.0177524235492411,0.00208764126656372,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA
"6",6,2004,0,0.00705580595085323,0.015652521831394,0.0225816678730559,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0.0486016922555451,NA,0.00695252322113166,NA,0,NA,NA,NA,NA,NA,NA
"7",7,2004,0.00730410744572334,0,0,0,NA,0.0258573579617249,NA,NA,0,NA,NA,0,NA,NA,0,0,NA,0,NA,0.00375356195590831,NA,NA,NA,NA,NA,NA
"8",8,2004,0.0041219352865674,0,0.00468013271239209,0.0053178203584492,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA
"9",9,2004,0.0109959609436675,0.0074373181213661,0.010401361483237,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,NA,0.0115664457365919,NA,0.00794674540138463,NA,NA,NA,NA,NA,NA
"10",10,2004,0.0117532546220443,0.0231759529124862,0,0.00340969662049879,NA,0.0106620417448026,NA,NA,0,NA,NA,0,NA,NA,0,0,NA,0.0134329124395377,NA,0.002923039867677,NA,NA,NA,NA,NA,NA
"11",11,2004,0.0171207933182903,0.0157183364428577,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,NA,0.00591454593510233,NA,0,NA,NA,NA,NA,NA,NA
"12",12,2004,0.0110415047617534,0,0,0,NA,0,NA,NA,0.0200339991856895,NA,NA,0.0146565533974094,NA,NA,0,0.00886175436259296,NA,0.0160840842216091,NA,0,NA,NA,NA,NA,NA,NA
