"","Group.1","Group.2","TALLINK.GROUP","ARCO.VARA","BALTIKA","EKSPRESS.GRUPP","HARJU.ELEKTER","LHV.GROUP","LINDA","MERKO.EHITUS","NORDECON","OLYMPIC.ENTM.GROUP"
"1",1,2004,NA,NA,0.0539687147053417,NA,0.0284208302901487,NA,NA,NA,NA,NA
"2",2,2004,NA,NA,0,NA,0.00629156566251314,NA,NA,NA,NA,NA
"3",3,2004,NA,NA,0,NA,0,NA,NA,NA,NA,NA
"4",4,2004,NA,NA,0.0481668801596414,NA,0.0184693270648222,NA,NA,NA,NA,NA
"5",5,2004,NA,NA,0.0773437148031419,NA,0,NA,NA,NA,NA,NA
"6",6,2004,NA,NA,0.0161111427150519,NA,0.00529104754276538,NA,NA,NA,NA,NA
"7",7,2004,NA,NA,0.0589966171757771,NA,0.0166244649387335,NA,NA,NA,NA,NA
"8",8,2004,NA,NA,0.0267384693978943,NA,0.0100965542671648,NA,NA,NA,NA,NA
"9",9,2004,NA,NA,0.0231157213544106,NA,0.0151313884038237,NA,NA,NA,NA,NA
"10",10,2004,NA,NA,0.0524390417682856,NA,0,NA,NA,NA,NA,NA
"11",11,2004,NA,NA,0.0436918210173926,NA,0.0222828887117922,NA,NA,NA,NA,NA
"12",12,2004,NA,NA,0.0266720009841129,NA,0.0137000447108408,NA,NA,NA,NA,NA
"13",1,2005,NA,NA,0,NA,0.0189176358640899,NA,NA,NA,NA,NA
"14",2,2005,NA,NA,0,NA,0,NA,NA,NA,NA,NA
"15",3,2005,NA,NA,0.0437631993147274,NA,0,NA,NA,NA,NA,NA
"16",4,2005,NA,NA,0,NA,0,NA,NA,NA,NA,NA
"17",5,2005,NA,NA,0.0245856582246827,NA,0.00380113315561726,NA,NA,NA,NA,NA
"18",6,2005,NA,NA,0,NA,0,NA,NA,NA,NA,NA
"19",7,2005,NA,NA,0,NA,0.0227278346713805,NA,NA,NA,NA,NA
"20",8,2005,NA,NA,0,NA,0.00905140112097429,NA,NA,NA,NA,NA
"21",9,2005,NA,NA,0,NA,0.00945970188887789,NA,NA,NA,NA,NA
"22",10,2005,NA,NA,0,NA,0.041998701754857,NA,NA,NA,NA,NA
"23",11,2005,NA,NA,0,NA,0,NA,NA,NA,NA,NA
"24",12,2005,0,NA,0,NA,0.0174964883651477,NA,NA,NA,NA,NA
"25",1,2006,0,NA,0,NA,0.0121575955545865,NA,NA,NA,NA,NA
"26",2,2006,0,NA,0,NA,0.0173841037201314,NA,NA,NA,NA,NA
"27",3,2006,0.00596416458204732,NA,0,NA,0,NA,NA,NA,NA,NA
"28",4,2006,0.00717389821689051,NA,0.0038893619722599,NA,0,NA,NA,NA,NA,NA
"29",5,2006,0,NA,0,NA,0.0177324898859728,NA,NA,NA,0,NA
"30",6,2006,0,NA,0.0105954135134944,NA,0.0121089218111882,NA,NA,NA,0,NA
"31",7,2006,0,NA,0,NA,0.0224318332316472,NA,NA,NA,0,NA
"32",8,2006,0.00333388485310104,NA,0.00316879143046565,NA,0.00659101679752104,NA,NA,NA,0.0114228093847808,NA
"33",9,2006,0,NA,0,NA,0.0129195957729343,NA,NA,NA,0,NA
"34",10,2006,0,NA,0,NA,0.00984394088951079,NA,NA,NA,0,0
"35",11,2006,0.0099398938589329,NA,0,NA,0.0213339932887618,NA,NA,NA,0.00746352111329566,0
"36",12,2006,0,NA,0,NA,0.0133910889036532,NA,NA,NA,0,0
"37",1,2007,0,NA,0,NA,0.0177223020522345,NA,NA,NA,0,0.0139905165350629
"38",2,2007,0,NA,0,NA,0.0319682563295734,NA,NA,NA,0.012196754550604,0.0227345522653519
"39",3,2007,0.0273055173659036,NA,0,NA,0.0205758981740421,NA,NA,NA,0.0186081557860939,0
"40",4,2007,0,NA,0,0,0.0171008922864026,NA,NA,NA,0,0
"41",5,2007,0.00644608437130146,NA,0.0247036035314599,0,0.0166321150525219,NA,NA,NA,0.0203548455444842,0
"42",6,2007,0.00988283657179643,0.00434489989581806,0.0128401929770496,0,0.0213259169896237,NA,NA,NA,0.0161762420198905,0
"43",7,2007,0.00527282714267644,0,0,0,0,NA,NA,NA,0.0122975855959557,0
"44",8,2007,0,0,0,0,0.00617311864489893,NA,NA,NA,0,0
"45",9,2007,0.0137115886206297,0,0,0.0111088129092036,0.0114736902334621,NA,NA,NA,0.0044875340178486,0.0110557971957541
"46",10,2007,0.0102500560838315,0,0,0.0112201137882002,0.0122803300840204,NA,NA,NA,0.0124578354491551,0.010734317378538
"47",11,2007,0.00616799552071069,0.00910803523637743,0.0138299933728041,0,0.0213562513181514,NA,NA,NA,0.028383904471836,0
"48",12,2007,0,0,0,0.00736805836985958,0,NA,NA,NA,0.0110172023768932,0
"49",1,2008,0.0066015383894067,0,0,0.0285922929083736,0.0461058617600318,NA,NA,NA,0.025641886982411,0
"50",2,2008,0,0.0160120121454016,0,0.0165408099520421,0.0177851489718118,NA,NA,NA,0.0214986711652803,0
"51",3,2008,0.00860911257969592,0.0131284685584684,0,0.0116382352079126,0.0359690076444906,NA,NA,NA,0.0225522862252652,0.0159892109118811
"52",4,2008,0.00825940491943905,0,0.0188765114898056,0,0.0100802600308569,NA,NA,NA,0.0156899639572289,0.00481931969066459
"53",5,2008,0,0.000292561012635837,0.0296583823765404,0.0196420731060893,0.0212526417670449,NA,NA,NA,0.00245876212628683,0.0277276797346341
"54",6,2008,0.00864794839043921,0,0.0212602652140075,0.0289622578402054,0.024527939071499,NA,NA,NA,0.00912832338249655,0
"55",7,2008,0,0,0,0.0168289769365392,0,NA,NA,NA,0,0
"56",8,2008,0,0,0.03098582361053,0.0113466856991589,0.0209334386159092,NA,NA,0.0433509385456109,0,0.0152632304818823
"57",9,2008,0.0448904751834652,0.040396066233735,0.0460670364966071,0,0.0781613793877868,NA,NA,0.0458801384212196,0.0545422829792246,0.0301350056120258
"58",10,2008,0,0.0483077775338003,0,0.0562750745566104,0.0270388519111081,NA,NA,0.0355423110500471,0.0416329719388385,0.00859750552083423
"59",11,2008,0,0,0.0286122763600578,0.092042107570839,0.0332471105107244,NA,NA,0.0705406638438915,0.0708283814960931,0
"60",12,2008,0.027396349822988,0.0426093211309444,0,0.0505415256605216,0,NA,NA,0.0429204533578089,0,0
"61",1,2009,0.040992901230381,0.0227360126710118,0.0436495228212296,0.0364159148522019,0.0234178405083,NA,NA,0.043203698251863,0,0
"62",2,2009,0,0.0691580040648891,0,0.0607026279979942,0,NA,NA,0.0374872010035654,0.0346488698965604,0.028951122162653
"63",3,2009,0.0251341177661356,0,0,0,0.0367593361826185,NA,NA,0,0,0
"64",4,2009,0.0432500762735543,0.0638567420902885,0,0.0674257176881295,0.00887569060759897,NA,NA,0.0210123018603863,0.0110334285844205,0.012394242879809
"65",5,2009,0.0237607399894465,0,0,0.00396554899849489,0.0485330112024184,NA,NA,0,0.0475527822474637,0
"66",6,2009,0,0.0456330519758142,0.012475348110177,0,0.00492474735613731,NA,NA,0.0132692927798012,0.0108461090466574,0.0477436958618871
"67",7,2009,0.0148960977307268,0.0751657699887161,0,0,0.0239831133216576,NA,NA,0.0239019025952215,0.0347386832311897,0.0150048937370987
"68",8,2009,0.0514921305624347,0.0318287358151398,0,0,0.0260380488581782,NA,NA,0.0356136574971997,0,0.0168385780468292
"69",9,2009,0.0468233455061226,0,0,0.0437106257125647,0,NA,NA,0,0,0
"70",10,2009,0,0.0447301180323742,0,0.0270091895836072,0.0376144863568779,NA,NA,0.0279634016945439,0.0290359341228141,0.0308742935768226
"71",11,2009,0.0536965756053188,0.0357690245321793,0,0.0314833822085696,0.0243651889468679,NA,NA,0.0285090418069988,0,0.0321630358835978
"72",12,2009,0.0323088748090035,0.0132796506040703,0,0.0127243229147674,0.0454794192139547,NA,NA,0.021939956329021,0.0166330416197449,0
"73",1,2010,0,0.0647205703024289,0,0.00862585383552929,0,NA,NA,0.0123723036257474,0.0140882858583727,0
"74",2,2010,0.0165461359544829,0.0435867866128858,0.0414864619757814,0.0599111043974506,0.0130392693603181,NA,NA,0,0.0256657455533253,0.0288352603940543
"75",3,2010,0.0282148070067371,0,0,0.023548002226006,0.0152170057512324,NA,NA,0,0,0.0277933430154452
"76",4,2010,0.0191770359580972,0,0.0254538262021907,0.0306570856842192,0,NA,NA,0.00930601608761689,0.0114810054022497,0
"77",5,2010,0.0332709544763742,0.0256124871210286,0.00621622798714266,0.0479233544998104,0.0229617639251068,NA,NA,0,0,0.0230068395417401
"78",6,2010,0.0232857725249465,0.0154378976578892,0,0.0281286434173525,0.017894468703054,NA,NA,0,0.0106193607436573,0.00980884703311199
"79",7,2010,0.020183073410222,0,0.0264912262208251,0,0.0151620384404104,NA,NA,0.0192673653994746,0,0
"80",8,2010,0.0131677336816598,0,0.0311642203752101,0.0246321847103607,0.0291101552463349,NA,NA,0.0239299373244186,0,0
"81",9,2010,0.0314474454887961,0.0187488925933609,0.0277684786294742,0,0,NA,NA,0.0208093925112218,0,0.0149943521941639
"82",10,2010,0.0166787657977302,0,0,0.0270804643068757,0.027740982165334,NA,NA,0.0094562253765729,0.00621021119665719,0.0103994641485498
"83",11,2010,0.013399754071279,0.0143287698975858,0,0.0211357314885317,0.0170885710329478,NA,NA,0,0.00235622478724498,0
"84",12,2010,0,0.0174103518531091,0.0113451552824989,0.0140776973673503,0.00358885938036824,NA,NA,0.0212255985647355,0,0.0106900390653126
"85",1,2011,0.00952749624252226,0.00960331750322094,0,0,0.0238256911320634,NA,NA,0,0.0215192231050451,0.00885273474514638
"86",2,2011,0.00566229982533005,0.0147302074415036,0.0197589884233971,0.00516314470612685,0.00651215134193605,NA,NA,0,0.0292038554978786,0
"87",3,2011,0,0.0140768825730411,0,0,0.0270903228290972,NA,NA,0.0185381705344277,0.0119844319377779,0
