"","Group.1","Group.2","MOL.MAGYAR.OLAJ.ES.GAZIPARI","OTP.BANK","RICHTER.GEDEON","MAGYAR.TKOM.TELECOM.","BUDAPEST.ELECTRICITY","X4IG.NYILVANOSAN","ALLAMI.NYOMDA","ALTEO.ENERGY","ALTERA.WEALTH.MANAGEMENT","APPENINN.NYILVANOSAN","BPT.PR.UTILIZATION..DEV.","CIG.PANNONIA.LIFE.IN.","CSEPEL.HOLDING","DUNA.HOUSE.HOLDING","EHEP.SHARE","ENEFI.ENERGY","EST.MEDIA","EXTERNET","FHB.SHARE","FINEXT.SHARE","FORRAS.FORRAS.T","FUTURAQUA","GRAPHISOFT.PARK.SE.SHARE","KARTONPACK","KEG.CTL.EUR.LPG.TERM.","KEY.SOFT","KONZUM.TRDG...INDL.","MASTERPLAST","NORDTELEKOM.TELECOM.SX.","NTH.HUNGARIAN.ELTY.SUPP.","NUTEX.INVESTMENTS","OPMIUS.GROUP","ORMESTER","OTT.ONE","PANNERGY","PANNON.VALTO","PLOTINUS.HOLDING","RABA.AUTOMOTIVE.GP.","TR.INVESTMENT","ZWACK.UNICUM","ADIDAS..BUD.","ARCELORMITTAL..BUD.","AXA..BUD.","BANCO.SANTANDER..BUD.","BASF..BUD.","BAYER..BUD.","BBV.ARGENTARIA..BUD.","BMW..BUD.","BNP.PARIBAS..BUD.","COMMERZBANK..BUD.","DAIMLER..BUD.","DEUTSCHE.BANK..BUD.","DEUTSCHE.LUFTHANSA..BUD.","E.ON..BUD.","INFINEON.TECH.N..BUD.","LINDE..BUD.","NOKIA..BUD.","SIEMENS..BUD.","TELEFONICA..BUD.","THYSSENKRUPP..BUD.","TOTAL..BUD.","ERWOJ.TURBO.LONG.03.CKT.","ERWOJ.TURBO.LONG.70.CKT.","FORRAS.TRUST...INV."
"1",1,2004,0.00543946158841935,0.00792372144228112,0,0.0132516856342068,0.0168509193836484,NA,NA,NA,NA,NA,0.0170292410432418,NA,0,NA,0,NA,0,NA,0.0226198168756695,NA,0.037936884172245,NA,NA,0,NA,NA,0.034649565285234,NA,NA,0.0148011652951261,0.0639459544918459,0,NA,NA,0.0105008305100515,0.00370560820647772,NA,0.0259773469277317,NA,0.00779336797093486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00773600514939302
"2",2,2004,0,0.00561237896805863,0,0.00630401166276082,0.0108100978837448,NA,NA,NA,NA,NA,0.105136269593804,NA,0.0213949219413826,NA,0,NA,0.0294996944330918,NA,0.0106963717160663,NA,0.0430400631025361,NA,NA,0,NA,NA,0,NA,NA,0.00923627642775899,0.0208588059382504,0.0360159376048488,NA,NA,0,0.000970967748320875,NA,0.0109719603316477,NA,0.0389410811035166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3",3,2004,0.00810685935600645,0.0175890511523187,0,0,0,NA,NA,NA,NA,NA,0.0171721641918357,NA,0,NA,0,NA,0.0627002342642298,NA,0,NA,0.0252520552164597,NA,NA,0,NA,NA,0.0596882974535623,NA,NA,0.0266563660941851,0.0209487836291859,0.0449543333344637,NA,NA,0,0.0535231398397065,NA,0.0134605392377932,NA,0.0173982815684255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022731018645812
"4",4,2004,0.00619523822929065,0.0255603393922296,0.0115206857042212,0.0200180523210579,0.014688159749848,NA,NA,NA,NA,NA,0,NA,0.00386371671966284,NA,0.72667020814974,NA,0,NA,0.0179403606618006,NA,0.0165110040997929,NA,NA,0,NA,NA,0.0802704651555284,NA,NA,0,0.0397802123468636,0,NA,NA,0.0280782065579121,0.00685320603288234,NA,0,NA,0.0257211509876015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0370814712471811
"5",5,2004,0.0102299467144264,0,0,0,0.0161975600654105,NA,NA,NA,NA,NA,0.0319573090638935,NA,0.136426154007363,NA,0,NA,0.0254992322130371,NA,0.0040437626364477,NA,0.0326915267841776,NA,NA,0,NA,NA,0.0276774743260927,NA,NA,0.0070398208901265,0,0.0515151660070951,NA,NA,0.0108503918096125,0.00145095636569308,NA,0,NA,0.00343368820396118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"6",6,2004,0.00730768469406355,0,0,0.00205889372616788,0.0162633951525726,NA,NA,NA,NA,NA,0.0266744298668566,NA,0.0651007669731425,NA,0,NA,0,NA,0.0229458823676046,NA,0.0367561489775261,NA,NA,0,NA,NA,0.0266501983801801,NA,NA,0.00983841985318465,0,0.025377008507559,NA,NA,0,0.0185132956511045,NA,0.0224042008737784,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0283968597550182
"7",7,2004,0.0114473440338205,0,0.0110920624867713,0.00646737577712666,0.0173014121908553,NA,NA,NA,NA,NA,0.0259549778216438,NA,0,NA,0,NA,0,NA,0.00402843030455148,NA,0.0195978123141358,NA,NA,0,NA,NA,0.0341496852494335,NA,NA,0.0139381170476312,0.050819804814655,0,NA,NA,0.00779747075937101,0.00828604860113296,NA,0.0127491222548808,NA,0.0200143063784217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"8",8,2004,0.00408998405447793,0.0109494505133745,0,0.00797849144982781,0,NA,NA,NA,NA,NA,0.0339101112894526,NA,0,NA,0,NA,0,NA,0.0127484547643676,NA,0.0250035332740405,NA,NA,0,NA,NA,0.032441344919303,NA,NA,0.0196235748483171,0.0430074991614517,0.00476947322981383,NA,NA,0,0.00421214284898818,NA,0.0208273371212932,NA,0.0124140154618486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.020205066497381
"9",9,2004,0,0.0154702857214756,0.00668309356560865,0.00496513875289933,0.00754660177820831,0,NA,NA,NA,NA,0.0299333477592056,NA,0.0390524045776973,NA,0,NA,0.0228769055385202,NA,0.0118780486410553,NA,0.053575618400857,NA,NA,0,NA,NA,0.0162999359073239,NA,NA,0.0119819063772153,0.111557131957212,0.00731898757932254,NA,NA,0,0.0198309730120011,NA,0.0190088233407073,NA,0.00349335570060606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"10",10,2004,0,0,0.017618435278048,0.0138332283860907,0.00658542455946553,0.0370099496449382,NA,NA,NA,NA,0.0236443530768344,NA,0.0611441644213414,NA,0,NA,0.00998368908195458,NA,0.0141705609239374,NA,0.030131142141787,NA,NA,0,NA,NA,0,NA,NA,0.0225443077682875,0.0348652198373852,0.0147148877925801,NA,NA,0.00724663614884675,0.0220343253861978,NA,0,NA,0.00251328107396176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00693297751027288
"11",11,2004,0,0,0,0.0220335135214268,0,0,NA,NA,NA,NA,0.0070187037037669,NA,0.0317167523708273,NA,0,NA,0.0182644481233924,NA,0,NA,0,NA,NA,0,NA,NA,0.0273347056134051,NA,NA,0.0348076038500944,0,0.0145138634171131,NA,NA,0.0276621979364458,0.0657834985874642,NA,0.0151455255104149,NA,0.0154649740842937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0206244272052074
"12",12,2004,0,0,0,0,0.00839338966813157,0.0118994728876409,NA,NA,NA,NA,0.00537910158678768,NA,0,NA,0,NA,0.02561323784267,NA,0.0177949039406042,NA,0.0199627959243599,NA,NA,0,NA,NA,0.0244023673709465,NA,NA,0.0244621798180299,0.0471560959166853,0.0247497209785648,NA,NA,0,0.00572054073468136,NA,0.0177957509929839,NA,0.0081618716725263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00611332624170992
"13",1,2005,0,0,0,0.0144205836211621,0.00984026443128294,0.0268611474793235,NA,NA,NA,NA,0,NA,0.0855221450777761,NA,0,NA,0,NA,0,NA,0.0534480651909397,NA,NA,0,NA,NA,0.00604769393040429,NA,NA,0,0.05937188010043,0.0192066160336727,NA,NA,0.00749394987827525,0.0369041649426091,NA,0.0111412340234224,NA,0.00825208801333488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025606766499082
"14",2,2005,0,0.0231111598897875,0.00424588161124868,0.0118209559417786,0.0113223138261835,0.0272992146331681,NA,NA,NA,NA,0.0215481852330271,NA,0,NA,0,NA,0,NA,0,NA,0.0246269447702892,NA,NA,0,NA,NA,0.0372792659027608,NA,NA,0.0199633453040668,0.0788801009135418,0.0338009543051249,NA,NA,0,0.0511734851529301,NA,0.00981342747130507,NA,0.0132212242415332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0274698806738023
"15",3,2005,0.0176477734528749,0.0215449452429396,0,0.0167890783845652,0.0126469703228829,0,NA,NA,NA,NA,0.0144269018337982,NA,0.00912975102914561,NA,0,NA,0.0153870827415125,NA,0.00992859188794318,NA,0.00464116314648778,NA,NA,0,NA,NA,0,NA,NA,0.041525137484912,0.0376442180620343,0.0264323611333628,NA,NA,0.0184129703707887,0.0121199475219323,NA,0.0226418853152106,NA,0.00966346374786631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0194507768226182
"16",4,2005,0,0,0,0,0.00561098529304649,0.0055256655696659,NA,NA,NA,NA,0,NA,0.0550309549198892,NA,0,NA,0.028123045150534,NA,0,NA,0.0318154439900612,NA,NA,0,NA,NA,0.01823961517098,NA,NA,0.030829292390997,0.0283950299686774,0.0337884182416725,NA,NA,0,0.0909332292989392,NA,0.0202134825230165,NA,0.0136340166835622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0206738710899846
"17",5,2005,0.0108346174074517,0,0,0.0176586325623132,0.0225374940387243,0.00765237910883044,NA,NA,NA,NA,0,NA,0.0594298121371886,NA,0,NA,0,NA,0,NA,0.0627866941630201,NA,NA,0,NA,NA,0.0130181386684459,NA,NA,0.0347540764142497,0.0917446873888215,0,NA,NA,0.0153094656393062,0,NA,0.0055659823637403,NA,0.0184917170307024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0475725140123026
