"","Group.1","Group.2","ENERGIJOS.SKIRSTYMO.OPERATORIUS","TELIA.LIETUVA","AGROWILL.GROUP","AMBER.GRID.AB","APRANGA","GRIGISKES","GUBERNIJA","INVALDA","INVL.BALTIC.FARM","INVL.TECHNOLOGY","K2.LT.AB","KAUNO.ENERGIJA","KLAIPEDOS.NAFTA","LIETUVOS.ENERGIJA","LINAS","LINAS.AGRO.GROUP","LITGRID","PANEVEZIO.STATYBOS.TTAS.","PIENO.ZVAIGZDES","ROKISKIO.SURIS","SIAULIU.BANKAS","SNAIGE","UTENOS.TRIKOTAZAS","VILKYSKIU.PIENINE","VILNIAUS.BALDU.KOMBINATA","VILNIAUS.DEGTINE","ZEMATIJOS.PIENAS"
"1",4,2003,NA,0.0952156912945764,NA,NA,0,0.0313156568743618,0,0.0802400066231811,NA,NA,NA,0,0,NA,0.0930464336883074,NA,NA,0,0,0,0,4.70511601876081e-05,0,NA,0.0184916457762319,0.0935506536792171,0.0192450087805374
"2",5,2003,NA,0.0130405425640832,NA,NA,0,0.0352548535053809,0,0,NA,NA,NA,0,0,NA,0,NA,NA,0,0.0241842252730513,0,0.00750692364557256,0.0212047688238448,0.00396345118101348,NA,0,0.0167049716019367,0
"3",6,2003,NA,0.0206061041226873,NA,NA,0,0.0323379316216744,0,0.0272494284513245,NA,NA,NA,0,0.0335999243160002,NA,0.0555877641438459,NA,NA,0,0,0,0,0,0.00398508450697122,NA,0.0144146993601404,0,0.00917552077495412
"4",7,2003,NA,0,NA,NA,0,0.0103659441718334,0,0,NA,NA,NA,0,0.0120207837083442,NA,0.0599233387467783,NA,NA,0,0.0028189946043147,0.0136762009354264,0.00604985154942141,0,0,NA,0.0127536592133408,0,0.0027173202097656
"5",8,2003,NA,0,NA,NA,0.0192899967840149,0.0147318362946347,0,0,NA,NA,NA,0.0544829883768732,0,NA,0.0272612633049516,NA,NA,0,0.0450197160484112,0,0.0790571788713309,0,0,NA,0.0319582358022944,0.00366420842961779,0.0221911831057762
"6",9,2003,NA,0.0190590500610262,NA,NA,0.0420349744708027,0.0395993757603611,0,0,NA,NA,NA,0,0.0289202321100603,NA,0,NA,NA,0,0.0177871593230633,0,0.0310299590018025,0.0233152858687244,0.00751097618005896,NA,0.0167373338828918,0.0156701728177231,0
"7",10,2003,NA,0.0176109569432284,NA,NA,0.0164374319623237,0.0331394452140999,0,0.0268133972878825,NA,NA,NA,0,0,NA,0.0353553519032765,NA,NA,0,0.0322884230541731,0.0030399326053488,0.000443087648343332,0,0.00711975942085756,NA,0.0213459139041981,0.000114591642817939,0.0178523557657224
"8",11,2003,NA,0,NA,NA,0.0031937056863427,0.0224804064294544,0,0.0122870802889036,NA,NA,NA,0,0.0236951561196296,NA,0,NA,NA,0.0149393100391449,0,0.00913259690767266,0.0325463040911647,0.0100450634143244,0.011834451837541,NA,0.00805846497558002,0.00400546718440842,0.0066646075261018
"9",12,2003,NA,0.00899345501032816,NA,NA,0,0.00794737651083313,0,0.00422711709524203,NA,NA,NA,0,0.0183792147713404,NA,0.0177383851063274,NA,NA,0.0116310526299809,0,0.0151386427568819,0,0,0.0247077489924586,NA,0.00348744765106785,0.000585801554288841,0
"10",1,2004,NA,0.00856588349738665,NA,NA,0.00925435404869827,0.0126620582755193,0,0,NA,NA,NA,0,0.0333603949287719,NA,0,NA,NA,0.00620195790946907,0.0341821136462178,0.0116291788534397,0.0129641628064912,0.0074713909411982,0.00689797012528798,NA,0.00738952102783918,0.00336517270235667,0.012018578172744
"11",2,2004,NA,0.0169566292133322,NA,NA,0,0.00676773048387317,0,0,NA,NA,NA,0,0.00458423295673906,NA,0.0548095085830815,NA,NA,0,0.00583313925658111,0,0.00636162431353775,0,0.016695938551892,NA,0.011985237060647,0,0
"12",3,2004,NA,0.00302419077910162,NA,NA,0.00175444844935895,0.022377706357663,0,0,NA,NA,NA,0,0.0135412766229109,NA,0.020309234605456,NA,NA,0.0275874646004721,0.0111136656515889,0,0.0259827142901164,0,0.0232133576915861,NA,0.0153430889953185,0.0127510799168291,0
"13",4,2004,NA,0.0185240417132719,NA,NA,0,0.00601062671239195,0,0.0145692430387044,NA,NA,NA,0,0.0195968969454801,NA,0,NA,NA,0.0376154640113017,0,0,0,0,0.0206399484441054,NA,0,0,0.00645527861807293
"14",5,2004,NA,0.00505676645781154,NA,NA,0.0258649190439311,0.0248906494738174,0,0,NA,NA,NA,0,0.0184092065475693,NA,0.0201893690319092,NA,NA,0.00647907453116964,0.014200871481582,0.0129243781140093,0.0187346025063971,0,0.00103123708336858,NA,0.0166072825005085,0.011838211715368,0
"15",6,2004,NA,0.0137968507613001,NA,NA,0.0137941323932169,0.0188535729502336,0,0.0108665160384029,NA,NA,NA,0,0.0208546761392481,NA,0.0194279880396404,NA,NA,0.0187985592715192,0.0200382632044636,0.016816098683949,0.041438200600476,0.0050666234372698,0.00407970047480261,NA,0.0115548892336592,0,0.0251062003222236
"16",7,2004,NA,0.0067111603837355,NA,NA,0.0104611399832833,0,0,0.0036507762998527,NA,NA,NA,0,0.000603437838170246,NA,0.000176793471675312,NA,NA,0.00630395075329034,0.0129128583844799,0.0174129913330288,0.0280244434195665,0,0.00625136176473177,NA,0.0209021469887491,0.0133306326458801,0.0155886483049196
"17",8,2004,NA,0.0101062208546666,NA,NA,0.00316921762792903,0.0286603746848978,0,0.0224924876438074,NA,NA,NA,0,0.0223752352165256,NA,0.0190379586167143,NA,NA,0,0.0298410027729056,0.0147147149928607,0.00441983727983285,0,0.0092555132682316,NA,0,0,0
"18",9,2004,NA,0.00413902717206461,NA,NA,0.0143663384511724,0.015253366111206,0,0.0217691526799099,NA,NA,NA,0,0.000120184728913808,NA,0.026220916039798,NA,NA,0,0.0092168120341566,0,0.0181921599547999,0,0.0105552291254601,NA,0.0188931573822564,0.00813250057537444,0.0325803746079963
"19",10,2004,NA,0,NA,NA,0,0.00530928205845435,0.00912357419264526,0.0121175171340595,NA,NA,NA,0.0211230837254354,0.0359826048338208,NA,0.00443275270530465,NA,NA,0,0.0264082798158328,0,0,0.00494160120761687,0.0107915815554043,NA,0.0131159036099191,0.013601985771928,0.0217930180346737
