"","Group.1","Group.2","ARCA.CONTINENTAL","ALFA.A","ALPEK.DE.CV","ALSEA.DE.CV","AMERICA.MOVIL.L","GRUPO.AEROPORTUARIO.DEL.SURESTE.B","GRUPO.BIMBO.A","BOLSA.MEXICANA.DE.VALORES","CEMEX.CPO","GRUPO.ELEKTRA","FOMENTO.ECONOMICO.MEXICANO","GRUPO.AEROPORTUARIO.DEL.PACIFICO","GRUPO.CARSO.SERIES.A1","GENTERA","GRUPO.FINANCIERO.INBURSA.SRIES.O","GPO.FINANCE.BANORTE","BANREGIO.GRUPO.FINANCIERO","GRUPO.MEXICO.B","GRUMA","INFRAESTRUCTURA.ENERGETICA.NOVA","KIMBERLY.CLARK.DE.MEXICO.A","COCA.COLA.FEMSA.L","GENOMMA.LAB.INTERNATIONAL","GRUPO.LALA","EL.PUERTO.DE.LIVERPOOL.C1","MEXICHEM.DE.CV","NEMAK","OHL.MEXICO","GRUPO.AEROPORTUARIO.DEL.CENTRO.NORTE.B","INDUST.PENOLES","PROMOTORA.Y.OPRD..INFRE.","GRUPO.FINANCIERO.SANTANDER.MEXICO.B","GRUPO.TELEVISA","CONTROLADORA.VUELA.COMPANIA.DE.AVIACION","WALMART.DE.MEXICO.V"
"1",1,2004,0.00358825091986684,0,NA,0,0,0.0112805176367328,0.00635370786234701,NA,0.00925937710923288,0,0,NA,0.00359489441115118,NA,0,0,NA,0,0,NA,0.00699992875097732,0,NA,NA,0.00690143757057248,0,NA,NA,NA,0,0,0.00939633518293608,0,NA,0.0101705790922987
"2",2,2004,0.00211306627439266,0,NA,0.0324670533525403,0,0.0102441448151104,0.00915349177117507,NA,0,0,0,NA,0.0174326500442153,NA,0.00683975357326902,0,NA,0,0,NA,0.00633186230769363,0.0241583986984985,NA,NA,0.0141551203907765,0,NA,NA,NA,0,0,0.00430026546787728,0,NA,0
"3",3,2004,0.00485223272353937,0,NA,0,0.0203373813277919,0.0220754621103001,0,NA,0.00682604617755633,0,0.0119248239370978,NA,0.0139466185765593,NA,0,0.011353382929717,NA,0,0,NA,0.0209651132663032,0.0178916171777914,NA,NA,0,0.000272071443006829,NA,NA,NA,0.0147699907749456,0,0.0235992127107576,0,NA,0.0060460321621783
"4",4,2004,0,0,NA,0,0,0.0137246976448111,0,NA,0,0,0,NA,0,NA,0,0,NA,0,0.00742907796052635,NA,0.00138871756454745,0,NA,NA,0.00121987509118567,0.00192611855475737,NA,NA,NA,0,0,0.019682303792743,0,NA,0.00688318783424859
"5",5,2004,0.0224327128418329,0.00994571739796037,NA,0.0129390142891045,0.0105570317518312,0.0156628766227851,0,NA,0,0.014628558309336,0.0325633462228638,NA,0,NA,0.0105968994895454,0.0139712275647035,NA,0,0.00238414425239983,NA,0.0150129822970499,0.00998587720576675,NA,NA,0,0.000277898445804654,NA,NA,NA,0.00466521299387907,0,0,0.0159440056689136,NA,0.0189437745453772
"6",6,2004,0,0,NA,0.00144636291096465,0,0.0139758614045194,0,NA,0.0105118445364721,0,0,NA,0,NA,0,0,NA,0.00699731670713456,0.00352186380612969,NA,0,0,NA,NA,0.0159686925495393,0.00204564874749225,NA,NA,NA,0.00954364066423784,0,0,0.0115455047002596,NA,0.0108671114714495
"7",7,2004,0.0103615680656094,0,NA,0,0.0103673531286619,0.00773643895680707,0.0125397618629724,NA,0.00437183453785579,0,0.00927455728907016,NA,0,NA,0.0258924253135589,0,NA,0.0122481819062974,0.0102027996174015,NA,0,0,NA,NA,0,0.015855142638112,NA,NA,NA,0,0,0.00218478594377276,0,NA,0
"8",8,2004,0.00709258135518462,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,0.00872861279598742,0.00894129103466383,NA,0,0,NA,NA,0.00023658179446449,7.92280570622973e-05,NA,NA,NA,0.0172490115826125,0,0,0.00998193452606025,NA,0.0042542157808992
"9",9,2004,0,0.00948482334319089,NA,0,0,0.0138751314805399,0.0128072328190398,NA,0.00764917972932987,0.00771327789371001,0.00740458106814253,NA,0.00628218012568608,NA,0,0,NA,0.0098415794002739,0,NA,0,0.012770350530609,NA,NA,0,0.000548258514002325,NA,NA,NA,0,0,0.000318921606499391,0.00499878004392077,NA,0.0190370165534888
"10",10,2004,0,0,NA,0,0,0,0.0183898182995774,NA,0.00657832885080617,0,0,NA,0.00378869669483993,NA,0.00806062803859846,0,NA,0,0.0109397764510435,NA,0,0.0118660214490757,NA,NA,0.00951382310149807,0,NA,NA,NA,0.0117083052651557,0,0.00315737656648047,0.0060121580811331,NA,0.0123069824019796
"11",11,2004,0.00820541595449062,0,NA,0,0.00549780892184338,0.017247294965002,0,NA,0.00978556525922307,0,0,NA,0.00813976087075649,NA,0,0.017254734177807,NA,0,0,NA,0,0.0130874414109279,NA,NA,0.0077902469981037,0.0183540038352656,NA,NA,NA,0,0,0.000857470012365886,0.00732421708861698,NA,0.00393149173051786
"12",12,2004,0.0221488584985544,0,NA,0.0135172890269977,0.00909329305068931,0.0308171197133566,0,NA,0.0114940595855712,0.00804978841947203,0.00703683180618808,NA,0,NA,0.00263149681930579,0.0125302348823994,NA,0,0.00957986995556717,NA,0,0.0109040745246024,NA,NA,0.00621258383992957,0,NA,NA,NA,0.0160570204117608,0,0,0,NA,0.00483765551744814
"13",1,2005,0.013691077409526,0,NA,0.0105270338819487,0,0.00244824412145098,0.00928867673110108,NA,0,0,0,NA,0,NA,0.00995332366330053,0,NA,0.0109680014233844,0.00788823222490511,NA,0.00491929370571589,0,NA,NA,0.0038861865686981,0.0576032626184976,NA,NA,NA,0,0,0.000567465856396748,0.00888133952118879,NA,0
"14",2,2005,0.00862897201681779,0.0178725243937002,NA,0.00850334762904349,0.00831681716871864,0.0152007350450409,0,NA,0.0129723079265785,0.0193392407916864,0.00894084506357071,NA,0.00815436995698223,NA,0.00707520443723321,0.0049833678690908,NA,0,0.010953218009678,NA,0.00550142395702893,0.0350662804006932,NA,NA,0.00767686791281552,0.0188685642971171,NA,NA,NA,0,0,0,0.00874704476110613,NA,0.00608311086112122
"15",3,2005,0,0.0128342488369233,NA,0.0068189536743566,0.0216023031268226,0.0189782810787179,0,NA,0,0.00971172137996295,0.0123335709431558,NA,0,NA,0.0175448267538127,0.00713410274005655,NA,0.0131088134138333,0,NA,0.0100102423968928,0.00972179268083665,NA,NA,0.00664408548996458,0.0295639472408855,NA,NA,NA,0.0163178047661363,0,0.0131941378904128,0,NA,0.00679957348356912
"16",4,2005,0.0216360919869483,0,NA,0,0.00886103785766851,0,0,NA,0.0212156732328622,0,0.0127298087507131,NA,0,NA,0,0,NA,0,0,NA,0.0195963729802472,0.0206880658810322,NA,NA,5.11454312427858e-05,0.000231154659816938,NA,NA,NA,0.0176492305204261,0,0.105695757860115,0.0107198418756235,NA,0
"17",5,2005,0,0,NA,0,0.018999821931006,0.0140562752359047,0,NA,0.0073462587086131,0.00715760229727574,0.0106413943788968,NA,0,NA,0.0230286994323369,0,NA,0,0.0080899505542537,NA,0,0,NA,NA,0.00850235456558751,0.00132162405465229,NA,NA,NA,0,0,0.0529369927751442,0,NA,0.00851436941389635
"18",6,2005,0.00932870670709711,0,NA,0,0,0,0,NA,0.00304989321366908,0.012448135754252,0.00325535793948638,NA,0.0150469050802866,NA,0.0167755140768837,0,NA,0,0,NA,0,0.0110492288597423,NA,NA,1.48771861567586e-05,1.97080092031737e-05,NA,NA,NA,0,0,0.0126069211173674,0,NA,0
"19",7,2005,0.0128756565943749,0.00827419305136134,NA,0.0169197630210713,0,0.0149809679544234,0.00889980467900194,NA,0,0,0.00793261491009761,NA,0,NA,0,0.0123803587637068,NA,0,0.0196662196117534,NA,0,0.0120913608148109,NA,NA,0,0,NA,NA,NA,0,0,0.0153648043800749,0,NA,0.00911493754748542
