"","Group.1","Group.2","EDP.ENERGIAS.DE.PORTUGAL","GALP.ENERGIA.SGPS","JERONIMO.MARTINS","EDP.RENOVAVEIS","BANCO.COMR.PORTUGUES.R","BANCO.BPI","NAVIGATOR.COMP","NOS.SGPS","SONAE.SGPS","ALTRI.SGPS","CCT.CORREIOS.DE.PORTUGAL","CORTICEIRA.AMORIM","MOTA.ENGIL.SGPS","REN","SEMAPA","SONAE.COM.LIMITED.DATA","CIMENTOS.DE.PORTL.SGPS","CIPAN.LIMITED.DATA","COFINA","COMPTA","CONDURIL.ENGENHARIA.LIMITED.DATA","COPAM.LIMITED.DATA","ESTORIL.SOL.B","F.RAMADA.INVESTIMENTOS","FENALU.LIMITED.DATA","FUTEBOL.CLUBE.DO.PORTO","GI.GLB.INTEL.TECHS.SGPS","IBERSOL...SGPS","IMMOBL.CON.GRAO.PARA","IMPRESA.SGPS","INAPA","INTEL.SENSING.ANYWHERE","LISGRAFICA","LITHO.FORMAS.PORTUGUESA.LIMITED.DATA","LUZ.SAUDE","MARTIFER","MEDIA.CAPITAL","MONTEPIO","NEXPONOR.SICAFI.REIT","NOVABASE","OLIVEIRA.AND.IRMAO.LIMITED.DATA","OREY.ANTUNES","PATRIS.INVESTIMENTOS","PHAROL.SGPS","REDITUS","SAG.GEST","SDC.INVESTIMENTOS","SOCIETY.AGUAS.DA.CURIA.LIMITED.DATA","SONAE.CAPITAL","SONAE.INDUSTRIA.SGPS","SONAGI.LIMITED.DATA","SPORT.LISBOA.E.BENFICA.FUTEBOL","SPORTING.CLUBE.DE.BRAGA","SPORTING.LIMITED.DATA","SUMOL.COMPAL","TEIXEIRA.DUARTE","TOYOTA.CAETANO","TRANSINSULAR.LIMITED.DATA","VAA.VISTA.ALEGRE.ATLANTI","BANCO.SANTANDER..LIS.","EURONEXT..LIS.","ESTORIL.SOL.R"
"1",4,2003,0.00632211416230639,NA,0.0154261113420396,NA,0,0.0145450155002471,0.00792616069616697,0,0.000391479855577525,NA,NA,0,0.0124904655830309,NA,0,0.0325750776402375,0,0.0106267304166642,0.0162909201453146,0.092195428150771,0,0,0.0149829099309847,NA,0,0.0308350365743392,0.00800266347221463,0.0106491547832613,0.00442413985000569,0.0218854816955385,0.0124298687833078,NA,0.0526939342987081,0,NA,NA,NA,NA,NA,0.0137975827306852,0,0.0686706050886271,NA,0.0127340558952637,0.000675368575026504,0.0380610578580724,0.00293071195014477,0.0317542648054294,NA,0,0,NA,NA,0,0.0205667053385649,NA,0.0252854129963266,0,0.00749284255593866,0.0205998229197373,NA,0
"2",5,2003,0.0217267950729237,NA,0.00942443102581585,NA,0.0155166027048928,0.0160885546277695,0,0.0413883770214993,0.025512538759564,NA,NA,0.00736601569244506,0.0100233170621614,NA,0.00533378624959494,0.0105013380703174,0,0.0184013515941823,0.0113980468791676,0.0492781827849295,0,0,0.00757536300182246,NA,0,0,0.0572579676952292,0.00970903313413053,0.00195999536434966,0.00924033913017532,0.00316995990760599,NA,0.0137144625732568,0.00928605603494271,NA,NA,NA,NA,NA,0.00542780651417695,0,0,NA,0,0.0251304006317737,0.0151547396322959,0,0,NA,0.0198501617783828,0,NA,NA,0.0166766941860132,0.0155727899575733,NA,0.0639165970716006,0,0,0.0118294140051504,NA,0
"3",6,2003,0.0162750211411752,NA,0,NA,0,0,0.00782119381881097,0.0238529049610282,0.042504763500657,NA,NA,0.00681119154007143,0.00437627747151561,NA,0,0.0170008347380943,0,0,0,0.0515112434126492,0,0,0.0239084581736846,NA,0,0.0137324297025721,0.0835067782664864,0.00856618842512275,0.010298721982369,0.0156183912881891,0.00628478943643319,NA,0.0148643226001323,0.00810559412716822,NA,NA,NA,NA,NA,0,0,0,NA,0,0.0433643087783964,0.00365659220952725,0.0211552701183594,0,NA,0.015692595779576,0,NA,NA,0.0033502987103213,0.0161778600800187,NA,0.0109022336206974,0,0.0132352112524771,0,NA,0
"4",7,2003,0,NA,0,NA,0.00971460463138364,0,0.0100661119258405,0,0.00256413029069557,NA,NA,0.0113121167101161,0.00838128779837602,NA,0.00984165275857343,0,0.00660433449111659,0.0256832761675923,0.00815395461636203,0.0228115389695724,0,0,0.0156820479969839,NA,0,0,0.0546396892730167,0.00532370292867833,0.000346866528692801,0.0129083159864573,0.0139495931324876,NA,0.026916562102615,0.02695340438658,NA,NA,NA,NA,NA,0,0,0.000412374039429657,NA,0.00516647614339263,0.0597849436520502,0.0157315801393711,0.00975929377993693,0,NA,0.0228859582835246,0,NA,NA,0.016429072258469,0.0183007995182381,NA,0.0462651280900649,0,0.0140813202280668,0.016331370601901,NA,0
"5",8,2003,0,NA,0,NA,0.0152432772377758,0,0.0157977900596636,0,0.0193926856050249,NA,NA,0.0096775981465919,0,NA,0,0.011963046249316,0.00220145305967376,0.011168438212944,0.00719538020697592,0.0182461316413553,0,0,0.00679391994584746,NA,0,0.00583062116908584,0.0471416755587637,0.00601881304971054,0.0401671917648075,0,0.0127924815511805,NA,0.0285413361230863,0,NA,NA,NA,NA,NA,0.0160489166766703,0,0.0174020341212836,NA,0,0.034978958577278,0.0101432700400077,0.0147046375971107,0,NA,0.0136270679219809,0,NA,NA,0.0194531628999554,0.00563922782332602,NA,0.0146670899190376,0,0.00537971359044077,0.00949618110408689,NA,0
"6",9,2003,0,NA,0.0093280545188668,NA,0.0079877401875211,0.0100024221237324,0.0110113599348215,0.00424692802529274,0.0188763922950488,NA,NA,0,0.0130616903108416,NA,0.0153537474414952,0.00871253615875879,0.00523409101943007,0.0156623301150708,0.013431920656456,0.0230715344431937,0,0,0.0110366005723563,NA,0,0.00377594992726458,0.0563178503491751,0.0124038076273943,0.0291705600690075,0,0.011358833454741,NA,0.0154414792084379,0,NA,NA,NA,NA,NA,0,0,0.00227607163659636,NA,0.00478847885822738,0.018644825620696,0.00394035688766837,0.0105362216633513,0,NA,0.0155160595975327,0,NA,NA,0.0246838289132158,0.0105099644647768,NA,0.0288041978498441,0,0.0035068736994562,0,NA,0
"7",10,2003,0.00731281573683123,NA,0,NA,0,0.0104993119479107,0.0153948659044903,0,0,NA,NA,0.0112633647196951,0.0123843042363094,NA,0.0107756488062779,0,0.00269704222406469,0,0,0.0277072558019113,0,0.0036920962129664,0.0185602093593728,NA,0,0.0191913339782622,0.0147263762981818,0,0.0247649742279167,0,0,NA,0.0170867613135335,0.0126014333479351,NA,NA,NA,NA,NA,0,0,0.00102728365175021,NA,0.00982096701364658,0.0284006455461907,0.0220114191079291,0.0165154523783471,0,NA,0.00765634722193835,0,NA,NA,0.0147930602227801,0.00732655284788711,NA,0.0219191959917681,0,0.0136111389253938,0.00572092969872646,NA,0
"8",11,2003,0.0127700495347651,NA,0.0174625822816838,NA,0,0.00747209245906306,0,0.00658228422235704,0.03113815183137,NA,NA,0,0.00667700048761256,NA,0.0191309020326503,0.00893653575742484,0.01277362898351,0.0186066899491235,0,0.0134692588791776,0,0,0.068473259911722,NA,0,0.0158598682243709,0,0.00589746836293601,0.0436238377440986,0,0.0182906338652912,NA,0.0390282389312932,0,NA,NA,NA,NA,NA,0.00582605614320095,0,0.0118745644418669,NA,0,0.0180721587110956,0.0146424610158919,0.0220177801748692,0,NA,0,0,NA,NA,0.0388814764205262,0.0377740452885929,NA,0.0304672973966965,0,0.0271733493510307,0.00989907335697462,NA,0
"9",12,2003,0.00795728944990914,NA,0,NA,0.00655621288692094,0.00519426293240727,0.00897684664310772,0.0132064171339476,0.0103548391300586,NA,NA,0,0.0201648215437172,NA,0,0,0,0.0091688220002617,0.00676832201496204,0.043109195446123,0,0,0,NA,0,0.00835273684773784,0.0181259104799211,0.0169205869457575,0.0231615606461693,0,0,NA,0.0278659351359658,0,NA,NA,NA,NA,NA,0.0124559661064862,0,0.0329506539711693,NA,0,0.00826074129656504,0,0.00693182238983879,0,NA,0.012483920204564,0,NA,NA,0.0279974403337727,0,NA,0,0,0.0111005042731762,0.0105222476776894,NA,0
"10",1,2004,0.00717569055743257,NA,0,NA,0.0119987376800155,0,0.00900944684682714,0,0.00524572365137982,NA,NA,0,0.0267819246855195,NA,0.0134973287595642,0.00679824293919915,0.0041512412645807,0.0463040680760595,0,0.010716406045144,0,0.00055301241602768,0.00949421529564958,NA,0.0975900072948533,0.018418554656975,0.0432678092747882,0,0,0,0.0114711208818297,NA,0.0320634027735594,0.0947335178592704,NA,NA,NA,NA,NA,0.00927640975140343,0,0,NA,0.00518140137491046,0,0.00640326756566145,0.0124838677378349,0,NA,0.0143180462566128,0.00232357162084698,NA,NA,0.00927205836104246,0.00695554089927319,NA,0.0577092927828826,0,0.0183240012749563,0.00260761257414089,NA,0
