"","Group.1","Group.2","OMV.PETROM","BANCA.TRANSILVANIA.CLUJ","BRD.GROUPE.SOCIETE.GL.","ROMGAZ.S.A","SC.FONDUL.PROPRIETATEA","CNTEE.TRANSELECTRICA","ELECTRICA.SA","ROMPETROL.REFINERY","S.N.NUCLEARELECT","S.N.T.G.N.TRANSGAZ","AEROSTAR.BACAU","AGRANA.ROMANIA","ALBALACT","ALRO.SLATINA","ALUM","ALUMIL.ROM.INDUSTRY","AMONIL.SLOBOZIA","ANTIBIOTICE","ARCELORMITTAL.HUNEDOARA","ARGUS","ARMATURA.CLUJ.NAPOCA","ARTECA.JILAVA","ARTEGO","ARTROM.SLATINA","ATHENEE.PALACE","BANCA.COMERCIALA.CARPATICA","BERMAS.SUCEAVA","BIOFARM","BITTNET.SYS","BRAICONF","BTT.BUCURESTI","BUCUR","BUCUR.OBOR","CALIPSO","CARBOCHIM.CLUJ.NAPOCA","CARPATHIA.CAP","CASA.DE.BUCOVINA.CLUB.DE.MUNTE","CHIMCOMPLEX.BORZESTI","CHRONOS.CURIER","CIA.HOTELIERA.ICTL.RO.","COCOR","COMALEX","COMCEREAL","COMCM","COMELF.BISTRITA","COMINCO.BUCURESTI","COMMIXT","COMNORD.BUCURESTI","COMPA.SIBIU","COMPANIA.ENGPT.CAMPINA","COMVEX","CONDMAG","CONECT.BUSINESS.PARK","CONPET.PLOIESTI","CONSTRUCTII.BIHOR","CONSTRUCTII.HIDROTEHNICE","CONTED","DAN.STEEL.GROUP.BECLEAN","DELIVERY.SOL","DOROBANTUL.PLOIESTI","ELECTROAPARATAJ.BUCAREST","ELECTROARGES","ELECTROMAGNETICA","ELECTROPRECIZIA","ELECTROPUTERE.CRAIOVA","FABRICA.DE.SCULE.RASNOV","FARMACEUTICA.REMEDIA","FEPSHARES.ATS","FLAROS","FORAJ.SONDE.CRAIOVA","FORAJ.SONDE.ERNEI","GENERALCOM.BUCURESTI","GRUPUL.INDL.ELECON.","IAR.BRASOV","IMOTRUST","IMPACT.DEVELOPER...CONR.","INDEPENDENTA","INDUA.SARMEI.CAMPIA.TURZII","INTFOR","IOR","IPROEB.BISTRITA","LACTATE.NATURA","LAMINORUL","LIFE.IS.HARD","MECANICA.CEAHLAU","MECHEL.TARGOVISTE.SUSP...25.02.13","MERCUR.CRAIOVA","METALICA.ORADEA","METAV","MOARA.CIBIN","NAPOCHIM","NAPOCHIM.1","OIL.TERMINAL","OLTCHIM.RM.VALCEA","PERLA.COVASNEI","PETROLEXPORTIMPORT","PRACTIC.BUCURESTI","PREBET.AIUD","PREMIA.FINANZ","PRIMCOM.BUCURESTI","PRO.VORBAS","PRODLACTA","PRODPLAST.BUCAREST","PRODVINALCO.CLUJ.NAPOCA","PROSPECTIUNI.BUCURESTI","RAFINARIA.ASTRA","REMARUL.16.FEBRUARIE","RETRASIB","ROLAST.PITESTI","ROMAERO","ROMCAB","ROMPETROL.WELL.SER.","ROPHARMA","SANTIERUL.NAVAL.2.MAI","SC.BURSA.DE.VALORI.BCT.","SC.TRANSILVANIA","SC.VRANCART","SCCA.DE.REPARAT.MRA..RULANT.REVA","SEMROM.MUNTENIA","SEVERNAV","SIF.1.BANAT.CRISANA","SIF.2.MOLDOVA","SIF.3.TRANSILVANIA","SIF.4.MUNTENIA","SIF.5.OLTENIA","SINTEROM","SINTEZA.ORADEA","SINTOFARM","SPIT.BUCOVINA","SSIF.BROKER.CLUJ","STDC.IN.TSBU.","STIROM.BUCURESTI","TERAPLAST","TRANSILVANIA","TURBOMECANICA","TURHOTREST.MAREA.NEAGRA","UAMT.ORADEA","UCM.RESITA","UNIREA.SHOPPING.CENTER","UPET","UZINEXPORT","VULCAN","ZENTIVA","ADIDAS..BSE.","ALLIANZ..BSE.","BAYER..BSE.","BMW..BSE.","CHRISTIAN.DIOR..BSE.","DAIMLER..BSE.","DANONE..BSE.","DEUTSCHE.BANK..BSE.","DEUTSCHE.TELEKOM..BSE.","EON..BSE.","ERSTE.BK.DER.OSTER..BSE.","HEINEKEN..BSE.","LOREAL..BSE.","OMV..BSE.","SAP..BSE.","SIEMENS..BSE.","SANTIERUL.NAVAL.ORSOVA","ALPHABET.C..BSE."
"1",1,2004,0,0.004606253287954,0,NA,NA,NA,NA,NA,NA,NA,0.0137819652435749,NA,NA,0,NA,NA,0,0,NA,0.0268285294048989,NA,NA,0.0975348737350702,0.02633234716535,NA,NA,0,0,NA,NA,NA,0.0228479280617921,0.00325300021063177,NA,0,NA,NA,NA,NA,0.0242878665364146,NA,NA,0,NA,0,NA,NA,0,0,NA,0.0301941558174297,NA,NA,NA,0,NA,NA,NA,NA,0,0.0122402432552582,NA,0.0152588957542367,NA,0.0417551188154382,NA,NA,NA,NA,NA,NA,NA,0,0.00761989362292308,NA,0,0,NA,NA,NA,0.00761279992279682,0.0974218963657097,NA,NA,NA,0.0141550277065684,NA,0.0431501980949213,NA,NA,NA,NA,0.0199992657735623,0.0251170830566567,NA,0.0234127876549972,NA,0,NA,NA,NA,0.0301879198693614,0.010487877447896,NA,0,0.0185466240410525,0.0878661477578757,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,0.0265171365243421,0.0198208025446784,0.0138832973573865,0.0265669621552245,NA,0,NA,NA,NA,0.013007236400781,0,NA,NA,0.0129633895641071,0,0.0660054796440566,NA,0.00207638315884965,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0305358193737327,NA
"2",2,2004,0.00669391026459109,0.00547292763944856,0,NA,NA,NA,NA,NA,NA,NA,0.0191504521372337,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,0,0.0208324746571398,NA,NA,0.0349724365488053,0.0323165433502959,NA,NA,NA,0.00934857208469629,0,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0.0389600571801696,NA,0.0660071475028679,NA,NA,NA,0.0144196818422408,NA,NA,NA,NA,0,0.00261638459509326,NA,0,NA,0.0423312059773408,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,0,0.0485822663041214,NA,NA,NA,0,NA,0.00720888451769522,NA,NA,NA,NA,0.0198549261585693,0.0240008967831234,NA,0,NA,0,NA,NA,NA,0.0294225284107358,0,NA,0,0.0376998857345544,0.00892964404558421,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,NA,0.0434761738963303,NA,NA,NA,0.00127540806466708,0.0550731678288618,NA,NA,0,0,0,NA,0.00470207019180947,NA,0.0440003910329981,NA,0.0176788400998492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"3",3,2004,0,0,0.00809908602498878,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0.0116064646502852,0,NA,0,NA,NA,0.066978461545826,0,NA,NA,0,0.0217872902901992,NA,NA,NA,0.0101412790411743,0.00962569874109431,NA,0.0128168556263063,NA,NA,NA,NA,0.0221713093998287,NA,NA,0,NA,0.0124203950772334,NA,NA,0.00581552631499044,0,NA,0.0103077468578804,NA,NA,NA,0.00190868560512302,NA,NA,NA,NA,0,0.0240602094900396,NA,0.035019894877171,NA,0.0704283810376675,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0.0161642448586881,0,NA,NA,NA,0.0118648949542414,0.587690301669085,NA,NA,NA,0.0499248611706764,NA,0.0857609845130484,NA,NA,NA,NA,0,0.030372438015261,NA,0.0253302287928979,NA,0,NA,NA,NA,0.0395340838571296,0,NA,0.0118908031593641,0.056302218979797,0.0399492067650003,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.00547739961179058,NA,0.0198603137997869,0,0,0.024100384042517,0,NA,0,NA,NA,NA,0.00438711832332565,0.0256953645492898,NA,NA,0,0,0,NA,0.00631531348393651,NA,0.0627089325687008,NA,0.0119918981515679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"4",4,2004,0,0.0162852664691212,0,NA,NA,NA,NA,0,NA,NA,0.00809571184231759,NA,NA,0,NA,NA,0.020161640400803,0.0166460110022493,NA,0.0169817509861021,NA,NA,0.0309096997836871,8.37127082575249e-06,NA,NA,0,0.0120776763020042,NA,NA,NA,0.0189047931842833,0.010450624938593,NA,0.0100074331713057,NA,NA,NA,NA,0.0281319995290683,NA,NA,0,NA,0.00975900072948533,NA,NA,0,0.00858566991692222,NA,0,NA,NA,NA,0.0215198478099987,NA,NA,NA,NA,0,0.0245213207593423,NA,0.0149537187440079,NA,0.029467479415028,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0.000293498140928987,NA,NA,NA,0.0307886742858073,0.0166750432301895,NA,NA,NA,0,NA,0.0696145697186387,NA,NA,NA,NA,0.0272579021645559,0.0229623503696254,NA,0,NA,0,NA,NA,NA,0,0,NA,0,0.0795250272673619,0.0153782446723227,NA,NA,NA,NA,0.0191219843966115,NA,NA,NA,NA,NA,NA,0.0110568405767661,NA,0,0,0,0.0192925402304686,0,NA,0,NA,NA,NA,0,0,NA,NA,0.0222999952796495,0,0.00956237350031064,NA,0.140093566298973,NA,0.0522847489836749,NA,0.00501064984746899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0254222158959282,NA
"5",5,2004,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0.02773089501017,NA,NA,0.0453462539162699,0.0162740980086112,NA,0,NA,NA,0,0.0067049360271954,NA,NA,0.0017584477024055,0.00873785616074978,NA,NA,NA,0.0266757776699612,0,NA,0.00686596788980589,NA,NA,NA,NA,0.0317277400999014,NA,NA,0,NA,0,NA,NA,0,0,NA,0.0534611427829106,NA,NA,NA,0.00641236470053221,NA,NA,NA,NA,0,0.00376890008144724,NA,0.0219874740163229,NA,0.0287071696164299,NA,NA,NA,NA,NA,NA,NA,0.0475344336840997,0.0354807425345894,NA,0.00970243298508329,0,NA,NA,NA,0.0172408782102636,0.0214946275797619,NA,NA,NA,0.00466353791738805,NA,0.0825821825328023,NA,NA,NA,NA,0,0.0162152520078265,NA,0.00728331610585853,NA,0,NA,NA,NA,0.0354823459210355,0,NA,0,0.0340687352297687,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.0075712841975888,NA,0.0115442220110958,0,0,0,0,NA,0.0333750896879933,NA,NA,NA,0.0267952709127484,0.0162885120107227,NA,NA,0.0140302191032148,0,0.0796016949789232,NA,0.0739345197031781,NA,0.111785211149539,NA,0.00463385902169329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0178673555687133,NA
"6",6,2004,0,0,0.0122213811913303,NA,NA,NA,NA,0,NA,NA,0.0347393292759173,NA,NA,0.0245734825590417,NA,NA,0,0.00691021532038627,NA,0.0237401635101585,NA,NA,0,0,NA,0.028561884969284,0,0.0207172178033844,NA,NA,NA,0.00492699790924311,0.00542166711530963,NA,0,NA,NA,NA,NA,0.027876477297759,NA,NA,0,NA,0.0101250371324766,NA,NA,0,0.0223320883744456,NA,0.00376979950973318,NA,NA,NA,0,NA,NA,NA,NA,0,0.0254932206084476,NA,0.0358443574745547,NA,0,NA,NA,NA,NA,NA,NA,NA,0.027118010640018,0.134287453841093,NA,0.00476616499974321,0.0309742801784875,NA,NA,NA,0.00350436845264155,0,NA,NA,NA,0.00247655205725227,NA,0.084443333515534,NA,NA,NA,NA,0.0211066809456837,0.0136772239632255,NA,0.0466649125727695,NA,0,NA,NA,NA,0,0,NA,0,0.0821485931688788,0.00399930866615833,NA,NA,NA,NA,0.00851437038378678,NA,NA,NA,NA,NA,NA,0.00223070028558485,NA,0.0289749707277433,0.0266246303923052,0.0283495342277255,0.00866015010736239,0.0221642939566595,NA,0.0393175535677291,NA,NA,NA,0.0256180586458817,0.028605003829577,NA,NA,0.0124539805334944,0,0.052284408894698,NA,0,NA,0.0193324368169808,NA,0.00988473929171789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.040628145902695,NA
"7",7,2004,0,0,0.00741067014485652,NA,NA,NA,NA,0,NA,NA,0.0164371249475079,NA,NA,0.0152089359396539,NA,NA,0,0.0127328276793129,NA,0,NA,NA,0.0220162157018683,0,NA,0,0,0,NA,NA,NA,0.00591210933389242,0,NA,0,NA,NA,NA,NA,0.0168959617177793,NA,NA,0,NA,0.0243837089400323,NA,NA,0,0.0328972884456647,NA,0.0131380649779645,NA,NA,NA,0,NA,NA,NA,NA,0,0.0412374781673244,NA,0.0187284823177735,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0.0486448155771612,NA,NA,NA,0.0154412184217101,0,NA,NA,NA,0.00576668224036951,NA,0.0173620295263447,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,NA,NA,0.0311689372419251,0,NA,0,0,0.0032275865040621,NA,NA,NA,NA,0.0309714989828421,NA,NA,NA,NA,NA,NA,0.00757297266009973,NA,0.00659707463074176,0.00971206294751526,0.0216677570279512,0.019708048630008,0.0106637273793936,NA,0,NA,NA,NA,0.0196622706109679,0.00933243928545467,NA,NA,0.0425059928978999,0,0,NA,0.0675147177939032,NA,0.0212077476167514,NA,0.00510409191692183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0171945426518754,NA
"8",8,2004,0,0.00598425154317694,0.0152373199083803,NA,NA,NA,NA,0,NA,NA,0.0266407011206197,NA,NA,0.0128020842102188,NA,NA,0.0160280436244144,0,NA,0,NA,NA,0.0233701617018947,0.00677456041172841,NA,0,0.0245087920947602,0.111054906198996,NA,NA,NA,0.0138693692108136,0,NA,0.0269293616129386,NA,NA,NA,NA,0.0113284867925259,NA,NA,0,NA,0,NA,NA,0,0.0301155283376995,NA,0.0385015059039369,NA,NA,0,0,NA,NA,NA,NA,0,0.0271589582664337,NA,0.0172364358452086,NA,0.035107497324665,NA,NA,NA,NA,NA,NA,NA,0.0294741701482687,0,NA,0.00260358995624759,0.0264319427589655,NA,NA,NA,0,0,NA,NA,NA,0.0224881321539579,NA,0.00118480085220387,NA,NA,NA,NA,0.0225047513526015,0,NA,0.0662498854648329,NA,0.0086838565962083,NA,NA,NA,0.0251787426012033,0,NA,0.025568609758996,0.0228972121384229,0.0345120020817616,NA,NA,NA,NA,0.0260896597936096,NA,NA,NA,NA,NA,NA,0.0137660171245266,NA,0,0,0.0110657039259456,0.00841751459337859,0,NA,0.0329927750660109,NA,NA,NA,0.0178232436332875,0.0269995678640652,NA,NA,0,0,0.0336453490517302,NA,0.0876377160355677,NA,0,NA,0.00348651574654571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0326493618756832,NA
"9",9,2004,0.0234335559651144,0,0.0023897288128684,NA,NA,NA,NA,0,NA,NA,0.0097309715385708,NA,NA,0.0122718379263279,NA,NA,0,0,NA,0,NA,NA,0.0173478651813236,0.00278341046535994,NA,0.0104199536296089,0,0.0527060315194445,NA,NA,NA,0.0532586615467078,0,NA,0.0235243490901105,NA,NA,NA,NA,0.064637137610707,NA,NA,0.0239263225324027,NA,0,NA,NA,0,0.0135879849419564,NA,0,NA,NA,0.0364622390476174,0,NA,NA,NA,NA,0,0.0212415644202957,NA,0.0101040809604641,NA,0.0323229333903053,NA,NA,NA,NA,NA,NA,NA,0.0406456261268779,0,NA,0,0.00667056514859813,NA,NA,NA,0,0.0414473284756421,NA,NA,NA,0.0157150277851384,NA,0.0406399835006573,NA,NA,NA,NA,0.0162453443972075,0,NA,0.0205163660687919,NA,0.00759455312877287,NA,NA,NA,0.0194584095015866,0.0120131720949546,NA,0,0.00998236611421971,0.0575636459099299,NA,NA,NA,NA,0.0288540370587535,NA,NA,NA,NA,NA,NA,0.0362597654208398,NA,0,0,0.00636432009957372,0.00371612114355262,0,NA,0.00638304067889029,NA,NA,NA,0.0152432040094195,0,NA,NA,0,0,0.0433451520330808,NA,0,NA,0.0267958018810255,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0134462845136022,NA
"10",10,2004,0,0,0.0153409862190113,NA,NA,NA,NA,0.0310788512609317,NA,NA,0.0275214444899516,NA,NA,0.0333595385585311,NA,NA,0,0,NA,0.0268086820822947,NA,NA,0,0.00875514984189942,NA,0,0.0296653582687713,0.0390856475358041,NA,NA,NA,0.0239711580991158,0,NA,0,NA,NA,NA,NA,0,NA,NA,0.0256224877806114,NA,0.000377197965806886,NA,NA,0,0,NA,0.0320475831392492,NA,NA,0.0394785022478717,0.00683985571476697,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0.0211469279238612,0,NA,NA,NA,0.0331008279640626,0,NA,NA,NA,0,NA,0.0236549601915061,NA,NA,NA,NA,0.0376320063531986,0,NA,0.0407477949939382,NA,0.0729439524276265,NA,NA,NA,0.0157257481208917,0.0140526978568034,NA,0,0,0.0425285449711294,NA,NA,NA,NA,0.0340694264498178,NA,NA,NA,NA,NA,NA,0.0158007081848352,NA,0.0130336616105201,0.00747867031737928,0.00725559207380369,0.0147673189671679,0,NA,0.0344976763053639,NA,NA,NA,0.0391330341552903,0,NA,NA,0.0195080415933939,0,0,NA,0,NA,0,NA,0.0103951872192734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014865398937266,NA
