"","Group.1","Group.2","KRKA","PETROL","TELEKOM.SLOVENIJE","ZAVAROVALNICA.TRIGLAV","CETIS.REDNE","CINKARNA.REDNE","DATALAB.TEHNOLOGIJE","DELO.PRODAJA","GEA.TOVARNA.OLJA","GORENJE","GRAND.HOTEL.UNION","INLES.RIBNICA.REDNE","INTEREUROPA","ISTRABENZ","KD","KOMPAS.MTS","KS.NALOZBE","LUKA.KOPER","M1.FINANCNA.DRUZBA","MELAMIN.REDNE","MERCATOR","MLINOTEST","NAMA","NIKA.REDNE","POZAVAROVALNICA.SAVA","SALUS.REDNE.SERIJA.B","SIVENT","TERME.CATEZ.REDNE","TOPLICE.DOBRNA","UNIOR.KOVASKA","ZDRAVILISEE.ROGASKA.REDN"
"1",1,2004,0,0.0103411148296572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00904072714935266,0.0335139887787269,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,2004,0.0101759531619278,0.0211356086265486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0061525458760864,0,NA,NA,NA,0.0202746062692665,NA,NA,0.0106410504072429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,2004,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0222534773410816,NA,NA,NA,0.00893389741487139,NA,NA,0.00265582954837822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,2004,0,0.361788636494512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.00683918204810833,NA,NA,NA,0.0109908460526464,NA,NA,0.00421519435035627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,2004,0,0.00468780519463127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0112301845099422,0.0153957377377396,NA,NA,NA,0.0123363909188488,NA,NA,0.011941267613392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,2004,0,0.388928881464309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0079622724554857,0.00754482403803956,NA,NA,NA,0.00440845447463233,NA,NA,0.632721058318979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,2004,0,0.00741913475575693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0144186903586158,0.0112032424488276,NA,NA,NA,0.00539186469700999,NA,NA,0.0107122944802027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,2004,0,0.69061703768161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00324021909020101,0.0254477428484557,NA,NA,NA,0.00241604937621402,NA,NA,0.0156231816878905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,2004,0,0.00894103588132612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0243928458022397,NA,NA,NA,0.0138767134550926,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,2004,0.00558593235437307,0.00579815888629248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00215102528681357,0.013671981220043,NA,NA,NA,0.00503297233494538,NA,NA,0.0057954827265965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,2004,0,0.368071681799059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00887739153187185,0.00392882473186223,NA,NA,NA,0,NA,NA,0.00213267382276736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,2004,0.00267163157532639,0.671969592573824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0137456242775049,0.0149992258664964,NA,NA,NA,0.0131929585939359,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1,2005,0.00292169060861207,0.702579874724525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00395515580050565,0.0165544254444826,NA,NA,NA,0.00810054300661562,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
