"","Group.1","Group.2","ANADOLU.EFES.BIRACILIK.LTD.","AFYON.CIMENTO","AKBANK","AKENERJI.ELEKTRIK.URETIM","AKSA.AKRILIK.KIMYA.SYI.","AKSA.ENERJI.URETIM","ALARKO.HOLDING","ALBARAKA.TURK","ALARKO.GAYMEN.YATOTA.","ALKIM.ALKALI.KIMYA","ANADOLU.CAM.SANAYII","ARCELIK","ASELSAN.ELNK.SANVETC.","AYEN.ENERJI","AYGAZ","BAGFAS.BANDIRMA.GUBRE","BANVIT","BIM.BIRLESIK.MAGAZALAR","BIZIM.TOPTAN.SATIS.MAGAZALARI.LTD.","BESIKTAS.FUTBOL","BRISA.BDGSN.SLK.SANVETC.","COCA.COLA.ICECEK","CEMTAS.CK.MAKINA.SANVETC","CELEBI.HAVA.SERVISI","CARREFOURSA.CFR.SAB","DEVA.HOLDING","DOGUS.OTO.SERVIS.VTC.","DO...CO.REST....IST..CATER.","DOGAN.SRKGRBU.HLDG.","EIS.ECZACIBASI.LLAC.SINAI.VE.FIAL.YATIRIMLAR","EGE.ENDI.VE.TICARET","EMLAK.KONUT.GAYRIMENKUL.YATOTA.","ENKA.INSAAT.VE.SANAYI","ERBOSAN.ERCIYAS.BORU","EREGLI.DEMIR.CELIK","FENERBAHCE.SPORTIF.HIZMETLER","FORD.OTOMOTIV.SANAYI","TKI.GARANTI.BKSI.","GLOBAL.YATIRIM.HLDG.","GOLTAS","GOODYEAR.LASTIKLERI","GOZDE.GIRISIM.SERMAYESI.YATOTA.","GSD.HOLDING","GALATASARAY.SPORTIF","GUBRE.FABRIKALARI","TURKIYE.HALK.BANKASI","HALK.GAYRIMENK.A","IHLAS.HOLDING","IPEK.MATBAACILIK.SANVETC.","TURKIYE.IS.BANKASI.C","IS.REAL.ESTATE.INVESTMENT.TRUST","IZMIR.DEMIR.CELIK.SANAYI","KARSAN.OMV.SANVETC.","KARTONSAN.KARTON.SANVETC.","KOC.HOLDING","TESCO.KIPA.KITLE.PAZARLAMA.B","KONYA.CIMENTO.SANAYI","KORDSA.TEKNIK.TEKSTIL.A","KOZA.ANADOLU.MTL.MIE.","KOZA.ALTIN.ISLETMELERI","KARDEMIR.D","LOGO.YAZLIM","MEO.TICARI.VE.MALI.YATIRIMLAR.ANONIM","MIGROS.TICARET","NORTEL.NETWKS.NETAS.TKS.","NET.TURIZM.TIVSNY.","NUROL.GAYMEN.YATOTA.","ODAS.ELEKTRIK.B","OTOKAR.OMV.VE.SAVUNMA","PETKIM.PETROKIMYA.HLDG.","PEGASUS.HAVA.TASIMACILIGI.A.LTD.","POLISAN.HOLDING","PARK.ELEKT.URETIM.MADENCILIK.SANVETC.","HACI.OMER.SABANCI.HLDG.","SASA.POLYESTER.A","SELCUK.ECZA.DEPOSU","TKI.SISE.VE.CAM.FKI.","SODA.SANAYI","TAT.GIDA.SANAYI","TAV.HAVALIMANLARI","TURKCELL.ILETISIM.HZM.","TURK.HAVA.YOLLARI","TEKFEN.HOLDING","TUMOSAN.MOTOR.A","TOFAS.TURK.OTOM.FABK.","TORUNLAR.GAYRIMENKUL.YATIRIM.ORTAKLIGI","TRAKYA.CAM.SANAYI","TKI.SINAI.KALK.BKSI.","TRABZON.SPORTIF.YTM.VTC.","TURK.TELEKOMUNIKASYON","TURK.TKTR.VE.ZIRAAT.MKE.","TUPRAS.TKI.PEL.RFNE.","ULKER.BISKUVI.SANAYI","TKI.VAKIFLAR.BANKASI","VESTEL.BEYAZ.ESYA.SANVETC.","VESTEL.ELNK.SANVETC.","VAKIF.GAYMEN.YATOTA.","YATAS.YAVYGN.SATT.","YAPI.VE.KREDI.BANKASI","ZORLU.ENERJI"
"1",1,2004,0.011935099050749,0,0.011921821182904,0.0350454564760921,0.0245485717910408,NA,0.0145594941858845,NA,0,0.014572950466677,0.0220131512258438,0.00413329222117939,0.0137476653077708,0.0393067803780714,0.0129068999572706,0,0.0180433906870124,NA,NA,0.00918803312317746,0.0164997598567695,NA,0.0125269939809993,0.0193339559493048,NA,0.00980192462571291,NA,NA,0.0541043788176027,0,0.0146299518448651,NA,0.0117750267631869,0.0190503756511517,0,NA,0.0188646684778522,0,0,0,0.020561959366832,NA,0.0349517994679706,0,0,NA,NA,0.0313598848952751,0.046979153775004,0.0391861385456934,0.0410475082443326,0.0068604599168694,0,0.0246814360145675,0.0320161209830925,0,0.0150137501660502,0.00820625748830496,0.0134767152838045,NA,0.0139414296274919,0.0466023096476073,0.0218991966546447,0.0176141758361135,0.013161635823273,0.0277439915710352,0.0548422317624487,NA,0.0176408751696815,0.0257810812162408,NA,NA,0.0357731310513482,0.0253817313726056,0.0144764315497064,NA,0.0464508947710357,0.0517179986997259,0.023663048864022,NA,0.00936543870034049,0.0336346296174082,NA,NA,0.0210124113363771,NA,0,0.0826799785377651,NA,NA,NA,0.00118950381830706,NA,NA,NA,0,0.0607608096303069,0,0.014051754923478,0.0494389656613448
"2",2,2004,0,0.0249077948923155,0.0218307910783407,0.0175375935264855,0.0235951312939537,NA,0.0215854333263831,NA,0.02724237085089,0.0670021544264895,0,0,0.0222134137714651,0,0.0163093764103389,0,0.0239225490713564,NA,NA,0,0.0138281763540285,NA,0.0349697996324659,0,NA,0.0118533984861202,NA,NA,0.045439586829862,0.0213509898527827,0.00612129954183731,NA,0,0,0.0217696190804057,NA,0.0257499216762422,0,0.0345814889346159,0.0121356711332586,0.00203205929499308,NA,0.00540738070435875,0.0653168268418363,0.00512278171422684,NA,NA,0.0363568565818274,0.0285941568569065,0.00817416359926281,0,0.0373278459128445,0.0271544148630821,0.00866408089335445,0.0252437185174289,0.00243602220175903,0.0165150613083743,0.0170487679065738,0.0360617180282415,NA,0.0245633925714268,0.0215335051274324,0.0231959366457318,0.0201797107615544,0.0250584868168821,0.0185782930722367,0.00970555513811766,NA,0,0,NA,NA,0,0.0264616455476581,0,NA,0,0.00130419640318761,0.0132141855415352,NA,0.0205664206512155,0.0132791572306591,NA,NA,0.026284940239976,NA,0,0.021629522817435,NA,NA,NA,0.0139146145642924,0,NA,NA,0.0271299926407096,0.0374327777258416,0.0366464481592299,0.0216695989234382,0.00745881845593329
"3",3,2004,0.013099974049331,0.0315262396717202,0.0174736063365179,0.0090386775564368,0.0062602377958398,NA,0.018687531642048,NA,0.0342822297362708,0.0419826437916643,0,0.0168591758897937,0.0277636526114186,0.0169226135132929,0.0036257695772853,0.00689017574738278,0.0279388935880828,NA,NA,0.0119339301321006,0.00926059322732651,NA,0.0469326462723341,0,NA,0.0425603610900851,NA,NA,0.0135007701196654,0,0.00756556872782722,NA,0.0128567031721971,0,0.0222543707146328,NA,0.0180281676479636,0,0.0360587560966328,0.0161235407397777,0.0163900163401067,NA,0.0369874734337591,0.0171628880219729,0,NA,NA,0,0.0265321160035582,0.0191184151507355,0.0246327585953791,0.0354595026871891,0,0.019778260105264,0.0148159443191344,0.0078790746717467,0,0.00582216684938899,0.0323075414167209,NA,0,0,0.0298151573133057,0.00816904959373327,0,0,0.000511255107693967,NA,0.0247379620868321,0.00653483558321868,NA,NA,0.0402447214140278,0.0212538546153496,0.0135346170638303,NA,0.0252928939129935,0.0363683302203498,0.047597643084835,NA,0.00903077481302334,0,NA,NA,0.00174169203938543,NA,0.00469458743712345,0,NA,NA,NA,0,0,NA,NA,0.024660602266689,0.0096215941511578,0.0273693686588075,0.0311441415409814,0.0142243299272854
"4",4,2004,0,0.0300879386244836,0,0,0.0207596646693569,NA,0,NA,0,0.0162547733276142,0,0.00921597517052801,0,0.017450061524661,0.0168562702553067,0,0.0275218056592574,NA,NA,0.0253248406753677,0.00391828819959669,NA,0,0.0077952659641289,NA,0,NA,NA,0.026465048545565,0.0434554251128657,0,NA,0.0293261482870045,0.0244277277820218,0,NA,0,0,0.024736057407842,0.0243039399741046,0,NA,0.0182055967927284,0.0121079581899796,0.0446038074405156,NA,NA,0,0.0389741422523428,0,0,0.0597655265421077,0,0,0,0.0125473736400149,0.00486643236166015,0,0,NA,0.0504321511607699,0.0175120082789675,0.0213625629005015,0.0143798669066901,0.0094082580620682,0,0.0413455826527064,NA,0,0,NA,NA,0.018654807471319,0,0,NA,0,0.0498336212992575,0.00778672149994294,NA,0,0.0189048244731581,NA,NA,0,NA,0.0197068682910389,0,NA,NA,NA,0.0255935096535581,0.0118183657956307,NA,NA,0,0.0279743928232722,0,0.00967406635605911,0
"5",5,2004,0.0173821233541544,0.0140733358118122,0,0.00659491842923778,0.0223284905836731,NA,0,NA,0.0379833420475587,0,0,0,0.0585109716552446,0.00389640906086784,0.00464968601179672,0,0.0104858449017289,NA,NA,0,0.029565034740104,NA,0,0.0102224316438752,NA,0,NA,NA,0,0.0202044053388019,0,NA,0.0144865031863234,0,0.0307222628941948,NA,0,0,0,0,0.00809065002777917,NA,0.0282115242727925,0.0221034705388025,0,NA,NA,0,0.0308042723405945,0.0197026126836819,0.0231224295967146,0.0411285287977205,0.017521839979713,0.042774296191206,0.0354387334838155,0.016892460797592,0.00612070907605916,0,0,NA,0,0.00620102262153946,0,0.0108095332839299,0.0306908630555022,0,0.0375005224366539,NA,0.0426705843915666,0.0123717793638801,NA,NA,0,0,0.0257055794783404,NA,0.0164223661054977,0.0319364479176272,0.0255727596604791,NA,0,0.0242248644017339,NA,NA,0.021634593244088,NA,0.0286688631860087,0.0170996392356185,NA,NA,NA,0.0278653719730005,0,NA,NA,0.00613991280835183,0.0046101968924718,0,0,0.070928526445932
"6",6,2004,0,0.0387754841944229,0,0.00146423530477119,0,NA,0.0162514574640611,NA,0.00790248410828031,0.0217219081999481,0.00803127888672719,0,0.0174347542347071,0.020157600487256,0,0.0192187765531511,0,NA,NA,0.011309974951482,0,NA,0.0161274626234467,0.0271424138088025,NA,0,0.0232177920460636,NA,0,0.021117512247018,0,NA,0.0164463737678159,0.036926161183302,0,NA,0,0,0.0152986027335892,0.00424571687828395,0.0218425404957214,NA,0.0298731417048019,0.0227145021829902,0.0511163969274119,NA,NA,0.014071885226447,0.00697071476495095,0.0114466435321253,0.0204068937731577,0,0,0.0105357479714626,0,0.000120715312960701,0.0126719928080084,0.00974292826078875,0.0308746625690173,NA,0.0523438657290354,0.0349849379518006,0.0199038732676298,0.0166553385086561,0.00873486532648873,0,0.0362738877679782,NA,0.0255023634814413,0,NA,NA,0.0357189965213558,0,0.0295029569255585,NA,0,0.0301587104810796,0.0172503728133298,NA,0,0,NA,NA,0,NA,0,0.115653194514814,NA,NA,0.0159715407081832,0,0.0122908094958658,NA,NA,0.00379053606063204,0.03520287468196,0.0207628530992616,0,0.0268991458378236
"7",7,2004,0.0120633479995439,0.0246146191032831,0.0108218203687718,0.00995507690300927,0.00566576387617841,NA,0.0168609443088816,NA,0,0,0,0.0196077882440317,0.0168812791035449,0.0159320261847073,0.0151454164286604,0.0110435034048692,0,NA,NA,0.0300906044803473,0.00213607923049176,NA,0.0339643427803727,0.0115204055365317,NA,0.027526513634954,0,NA,0.00735122111351615,0.0269272120495255,0,NA,0.0158910353389257,0.0264143732261396,0.0114404819164252,NA,0,0.0225697261560726,0.0195461511412313,0.00339350807543464,0.00835226218884146,NA,0.0296836273041868,0.0200468501581097,0.0500066134452954,NA,NA,0.024654084530183,0.0669982151155132,0.0198214291878674,0.0154614174585287,0.039397563122388,0.00892806352649274,0.00980228958837806,0,0.0057734316191808,0.00468286457313245,0.00300386606258871,0.0408936225911124,NA,0,0.0335186066660713,0.021442733659541,0.0127027739804956,0,0.0440561776867166,0,NA,0.00632544133949083,0.00890093914855265,NA,NA,0.011177784807724,0,0,NA,0,0.0294813049887495,0,NA,0,0.00698035201166253,NA,NA,0.021400557563244,NA,0.014456995863891,0.164171803309535,NA,NA,0,0.0149123275391335,0.00986919726477346,NA,NA,0.00566235934325888,0.0354354613038831,0,0.0193897429895701,0
"8",8,2004,0.0151767269585826,0.0142337650225819,0,0.0142987900759744,0.0151898548079952,NA,0.0114672790250257,NA,0,0.00769438240712494,0,0.0143633090029343,0.0105851595735507,0.000704838328697048,0.0132845234842669,0.00936376144373653,0,NA,NA,0.0113243256412254,0.0127857422622137,NA,0,0,NA,0.0154639871473018,0.0155298785529007,NA,0.0138698319120816,0.0141526465787524,0.0237400562061228,NA,0.0174348836073175,0,0,NA,0.0229798037016348,0.0160870610984537,0.0278554617890857,0.0129408378038497,0,NA,0,0.0278356345847832,0.0578789019042076,NA,NA,0.0190010536792978,0.0541028067232678,0.0154541886394369,0.0278797405642469,0.0298467001249444,0.0258982685951816,0.0115095530164024,0.0210511304317578,0.00566156532404036,0.00936196362899148,0.0200723490603815,0.028916157841459,NA,0.0660854813315594,0.0170162163714118,0.011396233824221,0.00942903102903291,0.0045500167730278,0.0127812246623841,0,NA,0,0.0142035229607165,NA,NA,0.0184192088468263,0.0061215762180355,0.0139314209780486,NA,0.0141618302772349,0.012745203522774,0.00651581709778607,NA,0.00905577744449,0.0109077177032202,NA,NA,0.0277647248957014,NA,0.01248950937374,0.0693188044947499,NA,NA,0.0324008474230398,0.0198691543762201,0.016939702342253,NA,NA,0.0194592252426857,0.0387920222370089,0.0133554408603261,0.0217427962459564,0.00364962324081979
"9",9,2004,0.0246973203443881,0.0165384663052436,0.00849796821298642,0.0115984182623683,0,NA,0,NA,0,0,0,0,0.00302064298999307,0.0123504235165573,0,0,0.00824024821904384,NA,NA,0.0156609988249921,0,NA,0,0.00988556265549185,NA,0,0,NA,0,0.00935704764876778,0,NA,0.0163205303635396,0.0208580155159388,0.00985329579601331,0.0712325125974131,0.012206028892408,0.0133524294066707,0.0150427729751015,0.0254760945172273,0.0108602250467085,NA,0,0.016847954966162,0.0372739610584972,NA,NA,0.0175075555718359,0.0296836273041868,0.0126866564143607,0.0162712333558158,0,0,0.0503489041268371,0,0.0090514897529225,0.0164936970329749,0,0,NA,0,0,0,0,0,0.0213463232110379,0.048015311165225,NA,0,0.0133644795750612,NA,NA,0.0359233162741137,0,0,NA,0,0.010777193349429,0.0127618137208545,NA,0,0,NA,NA,0,NA,0,0.0156841083431271,NA,NA,0,0.0243356274025159,0.002015398514234,NA,NA,0,0.02398421697586,0.0152739038031982,0.00758266890729378,0.020589498219961
"10",10,2004,0.0102241754674832,0,0.0110906926003717,0.0295417184433383,0.0187916496750885,NA,0.0131097907357889,NA,0.0163849515539691,0.00309243901342498,0.00562973953954193,0.0136776172533472,0.0155562906383117,0.0360407249026307,0.00920280448586821,0.014931622441319,0.02267357461983,NA,NA,0.0252059694926814,0,NA,0,0,NA,0.0216783745933537,0.0201481442773627,NA,0.0257917666705519,0.0206859746875482,0.0354296503367364,NA,0.0205826577046543,0.0237859552409313,0.0330952734932283,0.0166986658426863,0.00505041123467768,0.0150937243939226,0.0225151030254131,0.0208358612832629,0.0165096165368891,NA,0.0217155041585862,0.0297244728249466,0.0269921688078049,NA,NA,0.00460421357935185,0.0422524611809532,0.0210994955979006,0,0.0399141286650057,0.0265098671753996,0,0.0266077698400987,0,0.0247783527566787,0.0131319730690337,0.035418582295265,NA,0.0272658798729091,0.0334687400003915,0.00704593525758506,0,0.0131104503980104,0,0.0265703921412174,NA,0.0177184959456916,0,NA,NA,0.00927006380603397,0.0240149865867749,0.026786601974383,NA,0.00258828500895908,0,0.0139368761646303,NA,0.0285205406969489,0.0355164832356534,NA,NA,0,NA,0.0182113525765345,0.122969545605195,NA,NA,0.0207675413650354,0,0.00550211639078757,NA,NA,0.0236317595000353,0,0.0130502183576408,0.0235009590011426,0.0132863743811891
