"","Group.1","Group.2","AMBEV.ON","GERDAU.PN","ECOD.INFU.E.LOG.ON","METALURGICA.GERDAU.PN","LOJAS.RENNER.ON","ITAU.UNIBANCO.HOLDING.PN","CPFL.ENERGIA.ON","LOJAS.AMERICANAS.PN.REP1.PN","CYRELA.BRAZIL.REALTY.ON","SMILES.ON","CIA.ENERGETICA.DE.MINAS.GERAIS.PN","BANCO.SANTANDER.BRASIL.UNITS","BRF.BRASIL.FOODS.ON","USINAS.SIDERURGICAS.DE.MINAS.GERAIS.A.PN","ENGIE.BRASIL.ENERGIA.ON","WEG.ON","QUALICORP.ON","EMBRAER.ON","CMPH.COCS..RODOVIARIAS.ON","ENERGIAS.DO.BRASIL.ON.BRAZIL","RUMO.ON","RAIA.DROGASIL.ON","HYPERMARCAS.ON","ITAUSA.INVESTIMENTOS.ITAU.PN","MRV.ENGENHARIA.E.PARTICIPACOES.ON","BANCO.DO.BRASIL.ON","VALE.ON","KLABIN.UNITS","MARFRIG.FRIGORIFICOS.ON","BMF.BOVESPA.BLVAL..MEREFU.ON","BB.SEGURIDADE.ON","PETROLEO.BRASILEIRO.PN","ESTACIO.PARTICIPACOES.ON","EQUATORIAL.ENERGIA.ON","CIA.PARANAENSE.DE.ENERGIA.COPEL.PN","BRASKEM.PN.SERIES.A","BANCO.BRADESCO.PN","MULTIPLAN.EMPE..IMOBS.ON","SUZANO.BAHIA.SUL.PAPEL.CELULOSE.A.PN","NATURA.COSMETICOS.ON","VALE.PN","BANCO.BRADESCO.ON","CIELO.ON","KROTON.EDUCACIONAL.ON","FIBRIA.CELULOSE.ON","CPAD.SANMT.BASICO.DE.SAOP.ON","LOCALIZA.RENT.A.CAR.ON","TELEFONICA.BRASIL.PN","BRADESPAR.PN","BR.MALLS.PARTICIPACOES.ON","COMPANHIA.SIDERURGICA.NACIONAL.ON","ULTRAPAR.PARTICIPOES.ON","COSAN.INDUSTRIA.E.COMERCIO.ON","CMPBRA.DE.DISTB..PN","JBS.ON","CENTRAIS.ELETR.BRAS..ELETROBRAS.ON","TIM.PARTICIPACOES.ON","PETROLEO.BRASILEIRO.ON"
"1",1,2004,0.318181818181818,0.0909090909090909,1,0.181818181818182,1,0.0454545454545455,1,0.0909090909090909,1,1,0.0454545454545455,1,0.909090909090909,0.0454545454545455,0.136363636363636,0.954545454545455,1,0.0454545454545455,0.181818181818182,1,1,1,1,0.227272727272727,1,0.0454545454545455,0.0454545454545455,1,1,1,1,0.0454545454545455,1,1,0.0454545454545455,0.0909090909090909,0.181818181818182,1,0.272727272727273,1,0.0454545454545455,0.136363636363636,1,1,1,0.0454545454545455,1,0.0909090909090909,0.181818181818182,1,0.0454545454545455,0.772727272727273,1,0.0909090909090909,1,0.0454545454545455,0.0909090909090909,0.136363636363636
"2",2,2004,0.25,0.15,1,0.1,1,0.1,1,0.1,1,1,0.1,1,1,0.15,0.1,1,1,0.1,0.3,1,1,0.95,1,0.25,1,0.1,0.1,1,1,1,1,0.1,1,1,0.2,0.1,0.1,1,0.4,1,0.1,0.25,1,1,1,0.1,1,0.1,0.2,1,0.15,1,1,0.15,1,0.1,0.15,0.1
"3",3,2004,0.130434782608696,0.0434782608695652,1,0,1,0.0434782608695652,1,0.304347826086957,1,1,0.0869565217391304,1,0.956521739130435,0.0869565217391304,0,0.956521739130435,1,0.0434782608695652,0.304347826086957,1,1,0.956521739130435,1,0.0869565217391304,1,0.0434782608695652,0,1,1,1,1,0,1,1,0,0.0434782608695652,0.0434782608695652,1,0.304347826086957,1,0,0.0869565217391304,1,1,1,0.0869565217391304,1,0.0434782608695652,0.0869565217391304,1,0.0434782608695652,0.956521739130435,1,0,1,0.0434782608695652,0.0434782608695652,0
"4",4,2004,0.409090909090909,0.227272727272727,1,0.136363636363636,1,0.136363636363636,1,0.272727272727273,1,1,0.0909090909090909,1,0.954545454545455,0.136363636363636,0.181818181818182,1,1,0.136363636363636,0.272727272727273,1,1,1,1,0.363636363636364,1,0.181818181818182,0.227272727272727,1,1,1,1,0.0909090909090909,1,1,0.136363636363636,0.136363636363636,0.272727272727273,1,0.363636363636364,1,0.0909090909090909,0.272727272727273,1,1,1,0.136363636363636,1,0.136363636363636,0.0909090909090909,1,0.0909090909090909,0.863636363636364,1,0.227272727272727,1,0.0909090909090909,0.0909090909090909,0.0909090909090909
"5",5,2004,0,0,1,0.19047619047619,1,0.142857142857143,1,0.142857142857143,1,1,0,1,0.904761904761905,0,0.0952380952380952,1,1,0,0.19047619047619,1,1,1,1,0.142857142857143,1,0,0.0952380952380952,1,1,1,1,0,1,1,0,0.0476190476190476,0,1,0.238095238095238,0.857142857142857,0,0.142857142857143,1,1,1,0.0476190476190476,1,0,0.0476190476190476,1,0.0476190476190476,0.857142857142857,1,0,1,0.0952380952380952,0,0
"6",6,2004,0.181818181818182,0.0454545454545455,1,0.136363636363636,1,0.0454545454545455,1,0.409090909090909,1,1,0.0454545454545455,1,1,0.0909090909090909,0.272727272727273,0.954545454545455,1,0.0909090909090909,0.0909090909090909,1,1,1,1,0.227272727272727,1,0.0454545454545455,0.0909090909090909,1,1,1,1,0.0909090909090909,1,1,0.0909090909090909,0.0909090909090909,0.0454545454545455,1,0.409090909090909,0.0909090909090909,0.0909090909090909,0.136363636363636,1,1,1,0.0454545454545455,1,0.0909090909090909,0.227272727272727,1,0.0454545454545455,1,1,0.0454545454545455,1,0.0454545454545455,0.136363636363636,0.0909090909090909
"7",7,2004,0.272727272727273,0.0454545454545455,1,0.0454545454545455,1,0.0909090909090909,1,0.318181818181818,1,1,0.0454545454545455,1,0.818181818181818,0.0454545454545455,0.0909090909090909,1,1,0.136363636363636,0.181818181818182,1,0.818181818181818,0.954545454545455,1,0.227272727272727,1,0.0454545454545455,0.0454545454545455,1,1,1,1,0.0454545454545455,1,1,0.0909090909090909,0.0454545454545455,0.0454545454545455,1,0.181818181818182,0.136363636363636,0.0454545454545455,0.181818181818182,1,1,1,0.0909090909090909,1,0.0454545454545455,0.0909090909090909,1,0.136363636363636,0.909090909090909,1,0.0909090909090909,1,0.0454545454545455,0.0909090909090909,0.0454545454545455
"8",8,2004,0.363636363636364,0.0454545454545455,1,0.0454545454545455,1,0.0454545454545455,1,0.227272727272727,1,1,0.0454545454545455,1,0.863636363636364,0,0.0454545454545455,1,1,0,0.0454545454545455,1,0.636363636363636,1,1,0.181818181818182,1,0,0,1,1,1,1,0.0909090909090909,1,1,0,0,0.0909090909090909,1,0,0.0909090909090909,0,0.136363636363636,1,1,1,0,1,0,0.0454545454545455,1,0.0909090909090909,0.863636363636364,1,0.0909090909090909,1,0.0454545454545455,0.0454545454545455,0
"9",9,2004,0.272727272727273,0.0909090909090909,1,0.0909090909090909,1,0.227272727272727,0.954545454545455,0.227272727272727,1,1,0.0454545454545455,1,0.818181818181818,0.0909090909090909,0.136363636363636,0.954545454545455,1,0.0909090909090909,0.0909090909090909,1,0.863636363636364,0.909090909090909,1,0.318181818181818,1,0.0909090909090909,0.0454545454545455,1,1,1,1,0.136363636363636,1,1,0.0909090909090909,0.0454545454545455,0.136363636363636,1,0.0909090909090909,0.0454545454545455,0.0454545454545455,0.227272727272727,1,1,1,0.0454545454545455,1,0.0454545454545455,0.0454545454545455,1,0.0909090909090909,1,1,0.136363636363636,1,0.0909090909090909,0.181818181818182,0.0909090909090909
"10",10,2004,0.238095238095238,0.142857142857143,1,0.0952380952380952,1,0.0476190476190476,0.0952380952380952,0.19047619047619,1,1,0.0476190476190476,1,0.952380952380952,0.0476190476190476,0.0476190476190476,0.904761904761905,1,0.0952380952380952,0.19047619047619,1,0.80952380952381,1,1,0.142857142857143,1,0.0952380952380952,0.0476190476190476,1,1,1,1,0.0476190476190476,1,1,0.0476190476190476,0.0476190476190476,0.142857142857143,1,0.0952380952380952,0.0952380952380952,0.0952380952380952,0.238095238095238,1,1,1,0.238095238095238,1,0.0476190476190476,0.0476190476190476,1,0.0952380952380952,1,1,0.142857142857143,1,0.0476190476190476,0.0476190476190476,0.0952380952380952
