"","Group.1","Group.2","ECOPETROL","BANCO.DE.BOGOTA","BANCOLOMBIA","EMPRESA.DE.ENERGIA.DE.BOGOTA","GRUPO.AVAL.ACCIONES.Y.VALORES","GRUPO.DE.INVERSIONES.SURAMERICANA","CEMENTOS.ARGOS","GRUPO.NACIONAL.DE.CHOCOLATES","INTERCONEXION.ELECTRICA","INVERSIONES.ARGOS","ISAGEN","ALMACENES.EXITO","BANCO.DE.OCCIDENTE","CEMEX.LATAM.HOLDING.BOG.","CORPORACION.FINANCIERA.COLOMBIANA","PROMIGAS","ASDF.DE.PNSI.Y.CESA..PRCN.","BANCO.COMERCIAL.AV.VILLAS","BANCO.POPULAR","BBV.ARGT.CLOMB.","CELSIA.ESP","EMPRESA.DE.ENERGIA.DEL.PACIFICO","EMSA.DE.TC.DE.BOGOTA","GAS.NATURAL","ORGANIZACION.DE.INGENIERIA.INTERNACIONAL","ORGANIZACION.TERPEL","PRODUCTOS.FAMILIA","SOCIEDADES.BOLIVAR","ACERIAS.PAZ.DEL.RIO","AGROGUACHAL","ALIMENTOS.DERIVADOS.DE.LA.CANA","BIOMAX.BIOCOMBUSTIBLES","BOLSA.DE.VALORES.DE.COLOMBIA","BOLSA.NACIONAL.AGROPECUARIA","CARTON.DE.COLOMBIA","CLINICA.DE.MARLY","COLOMBINA","COLTEJER","COMPANIA.AGRICOLA.SAN.FELIPE","COMPANIA.DE.ELECTRICIDAD.DE.TULUA","COMPANIA.DE.EMPAQUES","CONCONCRETO","CONSTRUCCIONES.CIVILES","CONSTRUCCIONES.EL.CONDOR","COOMEVA.ENTIDAD.PROMOTORA.DE.SALUD","CORPORACION.DE.FERIAS.Y.EXPOCISIONES","EDATEL","ENKA.DE.COLOMBIA","F.GAN.CALDAS","FOGANSA","FONDO.GANADERO.DE.TOLIMA","INDUSTRIAS.ESTRA","INGENIO.CENTRAL.CASTILLA","INVERSIONES.EQUIPOS.Y.SERVICIOS","INVERSIONES.VENECIA","MANUFACTURAS.DE.CEMENTO","MAYAGUEZ","MINEROS","RIOPAILA.CASTILLA","TABLEMAC","TEXTILES.FABRICATO.TEJICONDOR","VALOREM","VALORES.INDUSTRIALES","VALORES.SIMESA","ALPHABET.A..BOG.","AMAZON.COM..BOG.","APPLE..BOG.","BANK.OF.AMERICA..BOG.","CANACOL.ENERGY..BOG.","CITIGROUP..BOG.","COLGATE.PALMOLIVE..BOG.","FACEBOOK.A..BOG.","GENERAL.ELECTRIC..BOG.","GRAN.TIERRA.ENERGY..BOG.","JOHNSON...JOHNSON..BOG.","JPMORGAN.CHASE..BOG.","MICROSOFT..BOG.","PACIFIC.EXP...PRDN..BOG.","PFIZER..BOG.","PROCTER...GAMBLE..BOG.","TECNOGLASS..BOG.","WALMART.STORES..BOG.","BANCO.BILBAO.VIZCAYA.ARGENTARIA","CORPORACION.FINANCIERA.COLOMBIANA.1","CORPORACION.FINANCIERA.COLOMBIANA.2","CORPORACION.FINANCIERA.COLOMBIANA.3","ORGANIZACION.DE.INGENIERIA.INTERNACIONAL.1","PROMIGAS.ESP","SDEXITO"
"1",1,2004,NA,0.272727272727273,0.181818181818182,NA,0.545454545454545,0.0909090909090909,0.454545454545455,0.590909090909091,0.272727272727273,0.409090909090909,NA,0.681818181818182,0.318181818181818,NA,1,0.954545454545455,NA,1,1,0.954545454545455,0.136363636363636,NA,1,1,NA,NA,1,1,0.272727272727273,1,1,NA,NA,NA,0.909090909090909,1,1,0.636363636363636,NA,NA,1,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,1,1,1,1,NA,0.545454545454545,1,0.727272727272727,0.318181818181818,0.409090909090909,1,0.727272727272727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
"2",2,2004,NA,0.15,0.1,NA,0.15,0,0.35,0.25,0,0.05,NA,0.15,0.3,NA,1,0.8,NA,1,1,0.6,0.1,NA,1,1,NA,NA,1,1,0.05,1,1,NA,NA,NA,0.7,1,1,0.55,NA,NA,1,NA,NA,NA,1,1,0.95,NA,1,NA,NA,NA,1,1,1,0.95,NA,0.7,1,0.5,0.05,0.25,1,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
"3",3,2004,NA,0.260869565217391,0.0869565217391304,NA,0.304347826086957,0.0434782608695652,0.521739130434783,0.304347826086957,0.0869565217391304,0.217391304347826,NA,0.478260869565217,0.608695652173913,NA,0.739130434782609,0.826086956521739,NA,1,1,0.782608695652174,0.173913043478261,NA,0.521739130434783,1,NA,NA,1,1,0.0869565217391304,1,1,NA,NA,NA,0.956521739130435,1,1,0.521739130434783,NA,NA,1,NA,NA,NA,1,1,0.739130434782609,NA,1,NA,NA,NA,1,1,1,0.956521739130435,NA,0.434782608695652,1,0.391304347826087,0.173913043478261,0.173913043478261,1,0.739130434782609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
"4",4,2004,NA,0.181818181818182,0.272727272727273,NA,0.818181818181818,0.136363636363636,0.318181818181818,0.227272727272727,0.136363636363636,0.318181818181818,NA,0.363636363636364,0.363636363636364,NA,0.181818181818182,0.909090909090909,NA,1,1,0.954545454545455,0.136363636363636,NA,0.181818181818182,1,NA,NA,1,0.863636363636364,0.0909090909090909,1,1,NA,NA,NA,0.863636363636364,1,1,0.772727272727273,NA,NA,1,NA,NA,NA,1,1,0.5,NA,1,NA,NA,NA,1,1,1,0.909090909090909,NA,0.409090909090909,1,0.363636363636364,0.272727272727273,0.363636363636364,1,0.909090909090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
"5",5,2004,NA,0.238095238095238,0.19047619047619,NA,0.761904761904762,0.0476190476190476,0.476190476190476,0.19047619047619,0.0952380952380952,0.142857142857143,NA,0.714285714285714,0.619047619047619,NA,0.666666666666667,0.904761904761905,NA,1,1,0.952380952380952,0.142857142857143,NA,0.142857142857143,1,NA,NA,1,1,0.0952380952380952,1,1,NA,NA,NA,0.761904761904762,1,1,0.80952380952381,NA,NA,1,NA,NA,NA,1,1,0.571428571428571,NA,1,NA,NA,NA,1,1,1,1,NA,0.380952380952381,1,0.238095238095238,0.238095238095238,0.285714285714286,1,0.80952380952381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.952380952380952
"6",6,2004,NA,0.181818181818182,0.136363636363636,NA,0.909090909090909,0.318181818181818,0.545454545454545,0.454545454545455,0.0909090909090909,0.272727272727273,NA,0.590909090909091,0.772727272727273,NA,0.590909090909091,0.818181818181818,NA,1,0.909090909090909,1,0.272727272727273,NA,0.272727272727273,1,NA,NA,1,1,0.0909090909090909,1,1,NA,NA,NA,0.818181818181818,1,1,0.954545454545455,NA,NA,1,NA,NA,NA,1,1,0.772727272727273,NA,1,NA,NA,0.8,1,1,1,1,NA,0.545454545454545,1,0.363636363636364,0.363636363636364,0.545454545454545,1,0.954545454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
"7",7,2004,NA,0.363636363636364,0.272727272727273,NA,0.727272727272727,0.409090909090909,0.5,0.636363636363636,0.272727272727273,0.363636363636364,NA,0.454545454545455,0.681818181818182,NA,0.863636363636364,0.863636363636364,NA,1,0.954545454545455,1,0.363636363636364,NA,0.545454545454545,1,NA,NA,1,1,0.227272727272727,1,1,NA,NA,NA,0.909090909090909,1,1,1,NA,NA,1,NA,NA,NA,1,1,0.636363636363636,NA,1,NA,NA,0.954545454545455,1,1,1,0.954545454545455,NA,0.727272727272727,1,0.363636363636364,0.409090909090909,0.727272727272727,1,0.863636363636364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
"8",8,2004,NA,0.181818181818182,0.227272727272727,NA,1,0.181818181818182,0.454545454545455,0.363636363636364,0.0454545454545455,0.318181818181818,NA,0.636363636363636,0.727272727272727,NA,0.681818181818182,1,NA,1,0.909090909090909,1,0.227272727272727,NA,0.409090909090909,1,NA,NA,1,1,0.181818181818182,1,1,NA,NA,NA,1,1,1,0.954545454545455,NA,NA,1,NA,NA,NA,1,1,0.772727272727273,NA,1,NA,NA,1,1,1,1,1,NA,0.727272727272727,1,0.5,0.5,0.636363636363636,1,0.818181818181818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.909090909090909
"9",9,2004,NA,0.0454545454545455,0.0454545454545455,NA,0.5,0.0909090909090909,0.136363636363636,0,0.0909090909090909,0.0454545454545455,NA,0.0454545454545455,0.545454545454545,NA,0.272727272727273,0.818181818181818,NA,1,0.954545454545455,0.954545454545455,0.136363636363636,NA,0.136363636363636,1,NA,NA,1,0.954545454545455,0.0909090909090909,1,1,NA,NA,NA,0.954545454545455,1,1,0.545454545454545,NA,NA,1,NA,NA,NA,1,1,0.772727272727273,NA,1,NA,NA,1,0.954545454545455,1,1,0.954545454545455,NA,0.454545454545455,1,0.227272727272727,0.363636363636364,0.409090909090909,1,0.772727272727273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
"10",10,2004,NA,0.19047619047619,0.285714285714286,NA,0.523809523809524,0.19047619047619,0.380952380952381,0.285714285714286,0.142857142857143,0.285714285714286,NA,0.333333333333333,0.523809523809524,NA,0.333333333333333,0.857142857142857,NA,1,1,1,0.142857142857143,NA,0.428571428571429,1,NA,NA,1,1,0.19047619047619,1,1,NA,NA,NA,1,1,1,0.80952380952381,NA,NA,1,NA,NA,NA,1,1,0.857142857142857,NA,1,NA,NA,1,1,1,1,0.952380952380952,NA,0.380952380952381,1,0.428571428571429,0.142857142857143,0.428571428571429,1,0.904761904761905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.714285714285714
