"","Group.1","Group.2","INA.INDUSTRIJA.NAFTE","HRVATSKI.TELEKOM","PRIVREDNA.BANKA","ZAGREBACKA.BANKA.SER.A","JADRANSKI.NAFTOVODI","PLAVA.LAGUNA","SNH.DELTA.DD","AD.PLASTIK","ADC.CROATIA.INTL.CLUB","AGROMEDIMURJE","APARTMANI.MEDENA","ARENATURIST","ATLANTIC.GRUPA","ATLANTSKA.PLOVIDBA","AUTO.HRVATSKA.ZAGREB","BADEL.1862","BC.INSTITUT","BELJE.DARDA","BILOKALNIK","BRIONKA.D.D","BRODOGRAD.INDUSTRIES","BRODOGRADVLENAC","BRODOMERKUR.DD","CAKOVECKI.MLINOVI","CATEKS","CHROMOS.AGRO.DD","CROATIA.AIRLINES","DALEKOVOD.D.D","DALMA","DOMACA.TVORNICA.RUBLJA.TEKSTILNA.KONFEKCIJA","DUBROVACKO.PRIMORJE","DUKAT.DD","DURO.DAKOVIC.HOLDING","ELEKTROMETAL.BJELOVAR","ELEKTROPROJEKT.D.D","ELEKTROPROMET","ERICSSON.NIKOLA","EUROHERC.OSIGURANJE","EUROPLANTAZE","EXCELSA.NEKRETNINE","FINVEST","FTB.TURIZAM.DD","GABARIT","GRANOLIO.DD","HIDROELEKTRA.NISKGR.","HOTEL.MEDENA","HOTELI.BASKA.VODA","HOTELI.BRELA","HOTELI.HALUDOVO.MALINSKA","HOTELI.MAESTRAL","HOTELI.MAKARSKA","HOTELI.TUCEPI","HOTELI.VODICE","HOTELI.ZIVOGOSCE","HOTELI.ZLATNI","HOTELJ.JADRAN","HRVATSKA.POSTANSKA.BANKA","HRVATSKI.DUHANI.DD","HTP.KORCULA","HTP.OREBIC","HUP.ZAGREB","IMPERIJAL","IMUNOLOSKI.ZAVOD.DD","INGRA.ZAGREB","INSTITUT.GRADEVINARSTVA","IPK.KANDIT","ISTARSKA.KREDITNA.BANKA","ISTRA","JADRAN.FILM","JADRAN.TVORNIKA","JADRANSKO.OSIGURANJE.D.D","JADROAGENT","JADROPLOV","JAMNICA","JELSA.DD","KAMENSKO","KARLOVACKA.BANKA","KEMIKA.DD","KOESTLIN","KOKA","KONCAR.DISBIV.SPJITRFI.","KONCAR.ELEKTROINDUSTRIJA","KOTEKS","KRAS","KREDITNA.BANKA.ZAGREB","KUTJEVO","LEDO","LIBURNIA.RIVIERA.H","LLIRIJA","LOSINJSKA.PLOVIDBA","LUKA.PLOCE","LUKA.RIJEKA.DD.RIJEKA","LUX.ULAGANJA","MAGMA","MAISTRA","MARASKA","MEDIKA","MEDORA.HOTELI.I.LJETOVALISTA","MIV","NAVA.BANKA.DD","NEXE.GRUPA","OLYMPIA.VODICE","OPEKA","OT.OPTIMA.TELEKOM.ZA.TELEKOMUNIKACIJE","PALACE.HOTEL","PECTINATUS","PETROKEMIJA","PEVEC.D.D","PIK.VINKOVCI.DD","PIKRIJELKA","PISMORAD","PODRAVASKA.BANKA","PODRAVKA.PREHRAMBENA.INDUSTRIJA","POUNJE.TRIKOTAZA","PROFICIO","PULJANKA","QUAESTUS.NEKRETNINE","RIVIERA.HOLDINGS","RIZ.ODASILJACI","SAPONIA.DD","SLATINSKA.BANKA","SNH.ALFA.DD","SNH.BETA.D.D","SNH.GAMA.DD","SOLARIS","SPACVA","SPIN.VALIS","TANKERSKA.NEXT.GNRTN.","TANKREKOMERC","TEHNIKA.DD","TEKSTILPROMET","TISAK.TRGOVACKO","TLM.TVOR.LAKIH.METALA","TURISTHOTEL.DD.ZADAR","TVORNICA.STOCNE.HRANE","ULJANIK","ULJANIK.PLOVIDBA","VABA","VARTEKS","VIDUKT","VIRO.TVORNICA.SECERA","VJESNIK.DD","VUPIK","ZAGREBACKA.BURZA.DD","ZAGREBACKE.PEKARNE.KLARA","ZIF.FIMA.PROPRIUS","ZITNJAK","ZVECEVO.PREHRAMBENA","ZVIJEZDA.DD","ADRIS.GRUPA","CROATIA.OSIGURANJE","KONCAR.SKLOPNA.POSJA."
"1",1,2004,NA,NA,0.6,0.85,0.75,0.4,NA,NA,0.8,NA,1,0.35,NA,0.45,NA,0.75,1,NA,NA,NA,NA,NA,1,NA,1,0.909090909090909,NA,0.6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,1,NA,NA,0.95,1,NA,NA,NA,1,NA,NA,NA,NA,1,0.95,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,1,0.95,1,NA,0.45,NA,NA,0.9,1,0.5,1,0.2,1,NA,0.9,1,NA,NA,NA,NA,NA,NA,NA,0.85,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0.85,NA,NA,NA,NA,NA,0.15,NA,NA,NA,NA,0.4,0.95,NA,NA,NA,NA,NA,1,0.95,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,0.35,NA
"2",2,2004,NA,NA,0.6,0.8,0.55,0.25,NA,NA,0.95,NA,0.9,0.35,NA,0.55,NA,0.45,1,NA,NA,NA,NA,NA,1,NA,1,1,NA,0.8,NA,1,NA,NA,NA,NA,NA,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,1,NA,NA,0.85,1,NA,NA,NA,1,NA,0.75,NA,NA,1,0.75,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,0.95,1,1,NA,0.5,NA,NA,0.95,1,0.5,1,0.4,1,NA,0.8,0.8,NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0.85,NA,NA,NA,NA,NA,0.1,NA,0.5,NA,NA,0.5,1,NA,NA,NA,NA,NA,1,0.9,NA,NA,1,0.75,0.9,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,1,NA,0.9,NA,0.5,NA
"3",3,2004,NA,NA,0.347826086956522,0.565217391304348,0.652173913043478,0.391304347826087,NA,NA,1,NA,0.956521739130435,0.434782608695652,NA,0.521739130434783,NA,0.478260869565217,1,NA,NA,NA,NA,NA,0.956521739130435,NA,1,0.956521739130435,NA,0.565217391304348,NA,1,NA,NA,NA,NA,NA,0.91304347826087,0.0869565217391304,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.260869565217391,1,NA,NA,0.608695652173913,1,NA,NA,NA,1,NA,0.304347826086957,NA,NA,1,0.826086956521739,NA,NA,NA,0.652173913043478,NA,NA,NA,NA,NA,NA,0.782608695652174,0.956521739130435,1,NA,0.652173913043478,NA,NA,1,1,0.217391304347826,1,0.260869565217391,1,NA,0.869565217391304,0.956521739130435,NA,NA,NA,NA,NA,NA,NA,0.869565217391304,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0.695652173913043,NA,NA,NA,NA,NA,0.0869565217391304,NA,0.521739130434783,NA,NA,0.304347826086957,1,NA,NA,NA,NA,NA,1,1,NA,NA,1,0.695652173913043,0.956521739130435,NA,NA,NA,NA,NA,NA,NA,0.521739130434783,NA,NA,NA,NA,NA,NA,NA,1,NA,0.782608695652174,NA,0.565217391304348,NA
"4",4,2004,NA,NA,0.6,0.8,0.85,0.5,NA,NA,0.75,NA,0.95,0.3,NA,0.65,NA,0.45,1,NA,NA,NA,NA,NA,0.9,NA,1,1,NA,0.75,NA,1,NA,NA,NA,NA,NA,0.8,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,1,NA,NA,0.35,1,NA,NA,NA,1,NA,0.25,NA,NA,1,0.8,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,0.95,0.95,1,NA,0.85,NA,NA,1,1,0.25,1,0.3,0.9,NA,0.95,0.85,NA,NA,NA,NA,NA,NA,NA,0.95,1,NA,1,1,NA,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,NA,0.15,NA,0.6,NA,NA,0.8,1,NA,NA,NA,NA,NA,1,1,NA,NA,1,0.6,0.9,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,1,NA,0.65,NA,0.35,NA
"5",5,2004,NA,NA,0.476190476190476,0.80952380952381,0.666666666666667,0.428571428571429,NA,NA,0.857142857142857,NA,0.952380952380952,0.476190476190476,NA,0.714285714285714,NA,0.238095238095238,1,NA,NA,NA,NA,NA,0.904761904761905,NA,1,0.952380952380952,NA,0.80952380952381,NA,1,NA,NA,NA,NA,NA,0.952380952380952,0.523809523809524,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.619047619047619,1,NA,NA,0.333333333333333,1,NA,NA,NA,1,NA,0.476190476190476,NA,NA,1,1,NA,NA,NA,0.714285714285714,NA,NA,NA,NA,NA,NA,0.904761904761905,1,1,NA,0.666666666666667,NA,NA,0.904761904761905,1,0.380952380952381,1,0.476190476190476,1,NA,0.857142857142857,0.857142857142857,NA,NA,NA,NA,NA,NA,NA,1,0.857142857142857,NA,1,1,NA,NA,NA,NA,NA,NA,0.857142857142857,NA,NA,NA,NA,NA,0.19047619047619,NA,0.428571428571429,NA,NA,0.238095238095238,1,NA,NA,NA,NA,NA,1,1,NA,NA,1,0.571428571428571,0.904761904761905,NA,NA,NA,NA,NA,1,NA,0.333333333333333,NA,NA,NA,NA,NA,NA,NA,1,NA,0.523809523809524,NA,0.476190476190476,NA
"6",6,2004,NA,NA,0.736842105263158,0.631578947368421,0.947368421052632,0.210526315789474,NA,NA,1,NA,0.947368421052632,0.736842105263158,NA,0.789473684210526,NA,0.684210526315789,1,NA,NA,NA,NA,NA,0.947368421052632,NA,1,1,NA,0.684210526315789,NA,1,NA,0.928571428571429,NA,NA,NA,0.947368421052632,0.684210526315789,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.842105263157895,0.894736842105263,NA,NA,0.526315789473684,1,NA,NA,NA,1,NA,0.526315789473684,NA,NA,1,0.947368421052632,NA,NA,NA,0.842105263157895,NA,NA,NA,NA,NA,NA,0.842105263157895,1,1,NA,0.736842105263158,NA,NA,0.736842105263158,1,0.526315789473684,1,0.157894736842105,0.789473684210526,NA,0.947368421052632,0.736842105263158,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,0.947368421052632,NA,NA,NA,NA,NA,0.210526315789474,NA,0.894736842105263,NA,NA,0.315789473684211,1,NA,NA,NA,NA,NA,1,1,NA,NA,1,0.842105263157895,1,NA,NA,NA,NA,NA,1,NA,0.578947368421053,NA,NA,NA,NA,NA,NA,NA,1,NA,0.894736842105263,NA,0.842105263157895,NA
"7",7,2004,NA,NA,0.454545454545455,0.5,0.727272727272727,0.363636363636364,NA,NA,0.863636363636364,NA,0.954545454545455,0.636363636363636,NA,0.636363636363636,NA,0.318181818181818,1,NA,NA,NA,NA,NA,0.727272727272727,NA,0.954545454545455,1,NA,0.454545454545455,NA,1,NA,1,NA,NA,NA,1,0.772727272727273,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.681818181818182,1,NA,NA,0.5,1,NA,NA,NA,1,NA,0.5,NA,NA,0.954545454545455,1,NA,NA,NA,0.818181818181818,NA,NA,NA,NA,NA,NA,0.772727272727273,1,1,NA,0.636363636363636,NA,NA,0.818181818181818,1,0.409090909090909,1,0.272727272727273,1,NA,0.909090909090909,0.818181818181818,NA,NA,NA,NA,NA,NA,NA,0.954545454545455,1,NA,1,1,NA,NA,NA,NA,NA,NA,0.818181818181818,NA,0.666666666666667,NA,NA,NA,0.0909090909090909,NA,0.727272727272727,NA,NA,0.545454545454545,1,NA,NA,NA,NA,NA,1,1,NA,NA,1,0.954545454545455,1,NA,NA,NA,NA,NA,0.954545454545455,NA,0.318181818181818,NA,NA,NA,NA,NA,NA,NA,1,NA,0.818181818181818,NA,0.5,NA
"8",8,2004,NA,NA,0.714285714285714,0.619047619047619,0.523809523809524,0.523809523809524,NA,NA,0.952380952380952,NA,1,0.761904761904762,NA,0.619047619047619,NA,0.428571428571429,1,NA,NA,NA,NA,NA,0.571428571428571,NA,0.952380952380952,0.952380952380952,NA,0.428571428571429,NA,1,NA,1,NA,NA,NA,0.952380952380952,0.619047619047619,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.857142857142857,1,NA,NA,0.380952380952381,1,NA,NA,NA,1,NA,0.761904761904762,NA,NA,1,0.80952380952381,NA,NA,NA,0.714285714285714,NA,NA,NA,NA,NA,NA,0.761904761904762,1,1,NA,0.523809523809524,NA,NA,0.666666666666667,1,0.142857142857143,1,0.333333333333333,1,NA,0.857142857142857,0.523809523809524,NA,NA,NA,NA,NA,NA,NA,1,0.952380952380952,NA,1,1,NA,NA,NA,NA,NA,NA,0.571428571428571,NA,0.761904761904762,NA,NA,NA,0,NA,0.904761904761905,NA,NA,0.476190476190476,1,NA,NA,NA,NA,NA,1,1,NA,NA,1,0.80952380952381,0.952380952380952,NA,NA,NA,NA,NA,1,NA,0.476190476190476,NA,NA,NA,NA,NA,NA,NA,1,NA,0.904761904761905,NA,0.333333333333333,NA
"9",9,2004,NA,NA,0.363636363636364,0.636363636363636,0.772727272727273,0.272727272727273,NA,NA,0.909090909090909,NA,0.909090909090909,0.590909090909091,NA,0.5,NA,0.545454545454545,1,NA,NA,NA,NA,NA,0.5,NA,0.954545454545455,0.636363636363636,NA,0.454545454545455,NA,1,NA,0.863636363636364,NA,NA,NA,1,0.681818181818182,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,0,1,NA,NA,NA,1,NA,0.181818181818182,NA,NA,1,0.772727272727273,NA,NA,NA,0.590909090909091,NA,NA,NA,NA,NA,NA,0.636363636363636,1,1,NA,0.590909090909091,NA,NA,0.772727272727273,1,0.136363636363636,1,0.0454545454545455,0.909090909090909,NA,0.909090909090909,0.409090909090909,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,0.272727272727273,NA,0.590909090909091,NA,NA,NA,0.136363636363636,NA,0.727272727272727,NA,NA,0.363636363636364,1,NA,NA,NA,NA,NA,1,1,NA,NA,0.954545454545455,0.909090909090909,1,NA,NA,NA,NA,NA,1,NA,0.818181818181818,NA,NA,NA,NA,NA,NA,NA,1,NA,0.727272727272727,NA,0.5,NA
"10",10,2004,NA,NA,0.3,0.6,0.55,0.3,NA,NA,0.85,NA,1,0.2,NA,0.5,NA,0.15,1,NA,NA,NA,NA,NA,0.75,NA,0.9,0,NA,0.2,NA,1,NA,0.8,NA,NA,NA,0.85,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,1,NA,NA,0.05,0.95,NA,NA,NA,1,NA,0.25,NA,NA,1,0.3,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,0.6,1,1,NA,0.4,NA,NA,0.75,1,0.1,1,0,0.85,NA,0.8,0.35,NA,NA,NA,0.95,NA,NA,NA,1,0.8,NA,1,1,NA,NA,NA,NA,NA,NA,0.25,NA,0.15,NA,NA,NA,0.2,NA,0.85,NA,NA,0.2,1,NA,NA,NA,NA,NA,1,1,NA,NA,1,0.7,1,NA,NA,1,NA,NA,0.9,NA,0.25,NA,NA,NA,NA,NA,NA,NA,1,NA,0.5,NA,0.5,NA
