"","Group.1","Group.2","CEZ","KOMERCNI.BANKA","TELF.O2.CZECH.REPUBLIC","UNIPETROL","MONETA.MONEY.BANK","PHILIP.MORRIS.CR","BOREALIS.EXPLORATION","E4U","ENERGOAQUA","ENERGOCHEMICA","FORTUNA.ENTM.GROUP","JACHYMOV","KOFOLA.CESKOSLOVENSKO","PEGAS.NONWOVENS","PRAZSKE.SLUZBY","RM.S.HOLDING","SAFETY.REAL.INVESTICNI.FOND","TOMA","CENTRAL.EUR.MEDIA..PRA.","ERSTE.GROUP.BANK..PRA.","NEW.WORLD.RES...PRA.","PHOTON.ENERGY..PRA.","STOCK.SPIRITS.GROUP.PRA.","TATRY.MOUNTAIN..PRA..RESORTS.6","VGP..WI...PRA.","VIENNA.IN.GROUP..PRA."
"1",1,2004,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,NA,0.0909090909090909,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,0.909090909090909,NA,0.181818181818182,NA,NA,NA,NA,NA,NA
"2",2,2004,0,0,0,0,NA,0,NA,NA,1,NA,NA,1,NA,NA,1,0.95,NA,0.85,NA,0,NA,NA,NA,NA,NA,NA
"3",3,2004,0,0,0.0434782608695652,0.0869565217391304,NA,0,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,0.869565217391304,NA,0,NA,NA,NA,NA,NA,NA
"4",4,2004,0.0454545454545455,0.0454545454545455,0.0454545454545455,0.136363636363636,NA,0.0454545454545455,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,0.954545454545455,NA,0.0909090909090909,NA,NA,NA,NA,NA,NA
"5",5,2004,0,0,0,0.0952380952380952,NA,0,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,0.952380952380952,NA,0,NA,NA,NA,NA,NA,NA
"6",6,2004,0.0454545454545455,0.0454545454545455,0,0.0454545454545455,NA,0,NA,NA,1,NA,NA,0.863636363636364,NA,NA,1,0.863636363636364,NA,0.909090909090909,NA,0.0909090909090909,NA,NA,NA,NA,NA,NA
"7",7,2004,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,NA,0.0909090909090909,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,1,NA,0.0909090909090909,NA,NA,NA,NA,NA,NA
"8",8,2004,0,0.0454545454545455,0.0454545454545455,0.181818181818182,NA,0,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,1,NA,0,NA,NA,NA,NA,NA,NA
"9",9,2004,0.0454545454545455,0.0454545454545455,0.0909090909090909,0.0454545454545455,NA,0.0909090909090909,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,0.863636363636364,NA,0.0454545454545455,NA,NA,NA,NA,NA,NA
"10",10,2004,0.0952380952380952,0.0952380952380952,0.0952380952380952,0.0476190476190476,NA,0.0476190476190476,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,0.904761904761905,NA,0.0476190476190476,NA,NA,NA,NA,NA,NA
"11",11,2004,0.0909090909090909,0.0909090909090909,0.0454545454545455,0.0454545454545455,NA,0.0454545454545455,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,0.954545454545455,NA,0.0909090909090909,NA,NA,NA,NA,NA,NA
"12",12,2004,0.0869565217391304,0.0869565217391304,0.130434782608696,0.130434782608696,NA,0.0869565217391304,NA,NA,0.956521739130435,NA,NA,0.956521739130435,NA,NA,1,0.956521739130435,NA,0.91304347826087,NA,0.0869565217391304,NA,NA,NA,NA,NA,NA
"13",1,2005,0,0,0,0,NA,0,NA,NA,1,NA,NA,1,NA,NA,1,0.904761904761905,NA,0.857142857142857,NA,0.0952380952380952,NA,NA,NA,NA,NA,NA
"14",2,2005,0.05,0,0,0,NA,0,NA,NA,0.95,NA,NA,1,NA,NA,1,1,NA,0.9,NA,0.15,NA,NA,NA,NA,NA,NA
"15",3,2005,0.0434782608695652,0.0434782608695652,0.130434782608696,0.0434782608695652,NA,0.0434782608695652,NA,NA,0.956521739130435,NA,NA,1,NA,NA,1,1,NA,0.608695652173913,NA,0.0434782608695652,NA,NA,NA,NA,NA,NA
"16",4,2005,0,0,0.0476190476190476,0,NA,0,NA,NA,0.857142857142857,NA,NA,1,NA,NA,1,1,NA,0.619047619047619,NA,0,NA,NA,NA,NA,NA,NA
"17",5,2005,0,0.0454545454545455,0.0909090909090909,0,NA,0,NA,NA,1,NA,NA,1,NA,NA,1,0.909090909090909,NA,0.590909090909091,NA,0,NA,NA,NA,NA,NA,NA
"18",6,2005,0,0,0,0,NA,0,NA,NA,1,NA,NA,1,NA,NA,1,0.954545454545455,NA,0.909090909090909,0.333333333333333,0,NA,NA,NA,NA,NA,NA
"19",7,2005,0.0952380952380952,0.0952380952380952,0.0952380952380952,0.0952380952380952,NA,0.0952380952380952,NA,NA,1,NA,NA,1,NA,NA,1,0.952380952380952,NA,0.857142857142857,0.0952380952380952,0.0952380952380952,NA,NA,NA,NA,NA,NA
"20",8,2005,0,0,0.260869565217391,0,NA,0.0434782608695652,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,0.91304347826087,0.0434782608695652,0.0869565217391304,NA,NA,NA,NA,NA,NA
"21",9,2005,0.0454545454545455,0.0454545454545455,0.0909090909090909,0.0454545454545455,NA,0.0454545454545455,NA,NA,1,NA,NA,1,NA,NA,1,0.954545454545455,NA,0.909090909090909,0.0909090909090909,0.0454545454545455,NA,NA,NA,NA,NA,NA
"22",10,2005,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.0476190476190476,NA,0.0476190476190476,NA,NA,1,NA,NA,1,NA,NA,1,0.952380952380952,NA,0.904761904761905,0.0476190476190476,0.0476190476190476,NA,NA,NA,NA,NA,NA
"23",11,2005,0.0454545454545455,0.0454545454545455,0.0454545454545455,0.0454545454545455,NA,0.0909090909090909,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,1,0.0454545454545455,0.0909090909090909,NA,NA,NA,NA,NA,NA
"24",12,2005,0.0454545454545455,0.136363636363636,0.0454545454545455,0.0454545454545455,NA,0.0454545454545455,NA,NA,0.818181818181818,NA,NA,1,NA,NA,1,1,NA,0.954545454545455,0.0909090909090909,0.0909090909090909,NA,NA,NA,NA,NA,NA
"25",1,2006,0,0,0,0,NA,0,NA,NA,0.681818181818182,NA,NA,1,NA,NA,1,1,NA,0.954545454545455,0.0454545454545455,0.0454545454545455,NA,NA,NA,NA,NA,NA
"26",2,2006,0,0,0,0,NA,0.05,NA,NA,1,NA,NA,0.95,NA,NA,1,1,NA,1,0,0.05,NA,NA,NA,NA,NA,NA
"27",3,2006,0,0,0,0,NA,0,NA,NA,1,NA,NA,0.652173913043478,NA,NA,1,1,NA,1,0,0,NA,NA,NA,NA,NA,NA
"28",4,2006,0.05,0.05,0.05,0.1,NA,0.05,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,0.9,0.1,0.1,NA,NA,NA,NA,NA,NA
"29",5,2006,0.0869565217391304,0.130434782608696,0.130434782608696,0.130434782608696,NA,0.0869565217391304,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,0.91304347826087,0.0869565217391304,0.0869565217391304,NA,NA,NA,NA,NA,NA
"30",6,2006,0,0,0,0,NA,0,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,0.954545454545455,0,0,NA,NA,NA,NA,NA,NA
"31",7,2006,0.0952380952380952,0.0952380952380952,0.0952380952380952,0.0952380952380952,NA,0.142857142857143,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,0.952380952380952,0.0952380952380952,0.0952380952380952,NA,NA,NA,NA,NA,NA
"32",8,2006,0,0,0,0,NA,0,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,0.956521739130435,0,0.0434782608695652,NA,NA,NA,NA,NA,NA
"33",9,2006,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.0476190476190476,NA,0.0476190476190476,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,0.952380952380952,0.0476190476190476,0.0952380952380952,NA,NA,NA,NA,NA,NA
"34",10,2006,0,0,0,0,NA,0,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,1,0,0,NA,NA,NA,NA,NA,NA
"35",11,2006,0.0454545454545455,0.0454545454545455,0.0454545454545455,0.0454545454545455,NA,0.0454545454545455,NA,NA,0.954545454545455,NA,NA,1,NA,NA,1,1,NA,1,0.0454545454545455,0.0454545454545455,NA,NA,NA,NA,NA,NA
"36",12,2006,0.0952380952380952,0.0952380952380952,0.142857142857143,0.0952380952380952,NA,0.0952380952380952,NA,NA,1,NA,NA,1,NA,0.222222222222222,1,1,NA,0.952380952380952,0.0952380952380952,0.0952380952380952,NA,NA,NA,NA,NA,NA
"37",1,2007,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652,NA,0.0434782608695652,NA,NA,1,NA,NA,0.956521739130435,NA,0.0434782608695652,1,1,NA,0.91304347826087,0.0869565217391304,0.0869565217391304,NA,NA,NA,NA,NA,NA
"38",2,2007,0,0.05,0,0,NA,0,NA,NA,0.85,NA,NA,1,NA,0.05,1,1,NA,0.85,0,0.05,NA,NA,NA,NA,NA,NA
"39",3,2007,0,0,0,0.0454545454545455,NA,0.0454545454545455,NA,NA,1,NA,NA,0.954545454545455,NA,0.0454545454545455,0.954545454545455,1,NA,0.954545454545455,0,0,NA,NA,NA,NA,NA,NA
"40",4,2007,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.0476190476190476,NA,0.0476190476190476,NA,NA,0.952380952380952,NA,NA,0.904761904761905,NA,0.0952380952380952,1,1,NA,0.904761904761905,0.0476190476190476,0.0952380952380952,NA,NA,NA,NA,NA,NA
"41",5,2007,0.130434782608696,0.0869565217391304,0.0869565217391304,0.0869565217391304,NA,0.0869565217391304,NA,NA,1,NA,NA,1,NA,0.0869565217391304,0.956521739130435,1,NA,0.956521739130435,0.0869565217391304,0.173913043478261,NA,NA,NA,NA,NA,NA
"42",6,2007,0,0,0.0952380952380952,0,NA,0,NA,NA,1,NA,NA,1,NA,0,1,1,NA,0.952380952380952,0.0476190476190476,0,NA,NA,NA,NA,NA,NA
"43",7,2007,0.136363636363636,0.0909090909090909,0.0909090909090909,0.0909090909090909,NA,0.136363636363636,NA,NA,1,NA,NA,1,NA,0.0909090909090909,1,1,NA,0.954545454545455,0.136363636363636,0.181818181818182,NA,NA,NA,NA,NA,NA
"44",8,2007,0.0434782608695652,0,0,0,NA,0.0434782608695652,NA,NA,1,NA,NA,1,NA,0,1,1,NA,0.91304347826087,0,0,NA,NA,NA,NA,NA,NA
"45",9,2007,0.05,0.05,0.05,0.05,NA,0.05,NA,NA,1,NA,NA,1,NA,0.05,1,0.95,NA,0.9,0.05,0.05,NA,NA,NA,NA,NA,NA
"46",10,2007,0,0,0,0,NA,0,NA,NA,1,NA,NA,1,NA,0,1,1,NA,0.91304347826087,0,0,NA,NA,NA,NA,NA,NA
"47",11,2007,0,0,0,0.0454545454545455,NA,0,NA,NA,1,NA,NA,1,NA,0,1,1,NA,0.909090909090909,0,0,NA,NA,NA,NA,NA,NA
"48",12,2007,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,NA,0.19047619047619,NA,NA,1,NA,NA,1,NA,0.19047619047619,1,1,NA,1,0.19047619047619,0.238095238095238,NA,NA,NA,NA,0.8125,NA
"49",1,2008,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652,NA,0.0434782608695652,NA,NA,1,NA,NA,1,NA,0.0434782608695652,1,1,NA,1,0.0434782608695652,0.0434782608695652,NA,NA,NA,NA,1,NA
"50",2,2008,0,0,0,0,NA,0,NA,NA,1,NA,NA,1,NA,0,1,1,NA,1,0,0,NA,NA,NA,NA,0.80952380952381,0
"51",3,2008,0.0476190476190476,0.0476190476190476,0.0952380952380952,0.0476190476190476,NA,0.0952380952380952,NA,NA,1,NA,NA,1,NA,0.0476190476190476,1,1,NA,1,0.0476190476190476,0.0476190476190476,NA,NA,NA,NA,1,0.0952380952380952
"52",4,2008,0,0,0.0454545454545455,0.0454545454545455,NA,0.0454545454545455,NA,NA,1,NA,NA,1,NA,0,1,1,NA,0.909090909090909,0,0,NA,NA,NA,NA,1,0.0454545454545455
"53",5,2008,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,NA,0.0909090909090909,NA,NA,1,NA,NA,1,NA,0.136363636363636,1,1,NA,1,0.0909090909090909,0.136363636363636,NA,NA,NA,NA,0.909090909090909,0.0909090909090909
"54",6,2008,0,0,0,0.0952380952380952,NA,0,NA,NA,1,NA,NA,1,NA,0.0476190476190476,1,1,NA,1,0,0,NA,NA,NA,NA,0.952380952380952,0
"55",7,2008,0,0,0,0,NA,0.0434782608695652,NA,NA,1,NA,NA,1,NA,0,1,1,NA,1,0,0,NA,NA,NA,NA,0.956521739130435,0
"56",8,2008,0,0,0,0.0476190476190476,NA,0,NA,NA,1,NA,NA,1,NA,0,1,1,NA,1,0,0,NA,NA,NA,NA,0.952380952380952,0
"57",9,2008,0,0.0454545454545455,0,0,NA,0.0454545454545455,NA,NA,1,NA,NA,0.909090909090909,NA,0,1,1,NA,0.863636363636364,0,0,NA,NA,NA,NA,1,0
"58",10,2008,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652,NA,0.0434782608695652,NA,NA,1,NA,NA,1,NA,0.0434782608695652,1,1,NA,0.91304347826087,0.0434782608695652,0.0434782608695652,NA,NA,NA,NA,1,0.0434782608695652
"59",11,2008,0.05,0.05,0.05,0.05,NA,0.1,NA,NA,1,NA,NA,1,NA,0.05,1,0.7,NA,1,0.05,0.05,NA,NA,NA,NA,0.95,0.05
