"","Group.1","Group.2","VENTSPILS.NAFTA","BALTIC.TELEKOM","DITTON.PIEVADKELU","GRINDEKS","GROBINAS.ZV","LATVIJAS.BALZAMS","LATVIJAS.GAZE","LATVIJAS.KUG","OLAINES.KIMISKI...FAR","RIGAS.KUGU.BUVETAVA","SAF.TEHNNIKA","SALDUS.MR","TALSU.MR.DEAD...DELIST.25.04.17","VALMIERAS.STIKLA.SKIEDRA"
"1",1,2004,0.409090909090909,NA,0.545454545454545,0.363636363636364,0.681818181818182,0.318181818181818,0.181818181818182,0.318181818181818,0.409090909090909,0.318181818181818,NA,1,1,0.409090909090909
"2",2,2004,0.35,NA,0.8,0.15,0.7,0.5,0.2,0.35,0.6,0.3,NA,0.95,1,0.4
"3",3,2004,0.0434782608695652,NA,0.478260869565217,0.217391304347826,0.347826086956522,0.434782608695652,0.173913043478261,0.478260869565217,0.565217391304348,0.347826086956522,NA,1,1,0.173913043478261
"4",4,2004,0.272727272727273,NA,0.681818181818182,0.454545454545455,0.636363636363636,0.363636363636364,0.272727272727273,0.409090909090909,0.545454545454545,0.409090909090909,NA,0.954545454545455,1,0.363636363636364
"5",5,2004,0.238095238095238,NA,0.714285714285714,0.333333333333333,0.80952380952381,0.142857142857143,0.285714285714286,0.476190476190476,0.523809523809524,0.333333333333333,0.25,0.952380952380952,1,0.380952380952381
"6",6,2004,0.363636363636364,NA,0.727272727272727,0.5,0.863636363636364,0.5,0.409090909090909,0.363636363636364,0.545454545454545,0.318181818181818,0.681818181818182,0.954545454545455,1,0.363636363636364
"7",7,2004,0.181818181818182,NA,0.590909090909091,0.272727272727273,0.818181818181818,0.5,0.181818181818182,0.5,0.590909090909091,0.181818181818182,0.409090909090909,0.909090909090909,1,0.318181818181818
"8",8,2004,0.272727272727273,NA,0.545454545454545,0.227272727272727,0.681818181818182,0.0909090909090909,0.0909090909090909,0.5,0.272727272727273,0.363636363636364,0.454545454545455,0.954545454545455,1,0.5
"9",9,2004,0.409090909090909,NA,0.545454545454545,0.272727272727273,0.727272727272727,0.545454545454545,0.136363636363636,0.636363636363636,0.272727272727273,0.590909090909091,0.545454545454545,1,1,0.227272727272727
"10",10,2004,0.19047619047619,NA,0.428571428571429,0.19047619047619,0.952380952380952,0.285714285714286,0.238095238095238,0.523809523809524,0.238095238095238,0.666666666666667,0.285714285714286,0.952380952380952,1,0.285714285714286
"11",11,2004,0.0909090909090909,NA,0.454545454545455,0.409090909090909,0.772727272727273,0.227272727272727,0.181818181818182,0.318181818181818,0.272727272727273,0.318181818181818,0.136363636363636,0.954545454545455,1,0.136363636363636
"12",12,2004,0.260869565217391,NA,0.347826086956522,0.173913043478261,0.608695652173913,0.0869565217391304,0.260869565217391,0.521739130434783,0.217391304347826,0.434782608695652,0.434782608695652,0.956521739130435,1,0.130434782608696
"13",1,2005,0.333333333333333,NA,0.619047619047619,0.285714285714286,0.571428571428571,0.19047619047619,0.380952380952381,0.476190476190476,0.142857142857143,0.19047619047619,0.380952380952381,0.857142857142857,1,0.19047619047619
"14",2,2005,0.35,NA,0.45,0.25,0.6,0.2,0.55,0.4,0.3,0.3,0.45,0.95,0.95,0.3
"15",3,2005,0.478260869565217,NA,0.434782608695652,0.434782608695652,0.521739130434783,0.391304347826087,0.260869565217391,0.391304347826087,0.434782608695652,0.608695652173913,0.478260869565217,1,0.782608695652174,0.347826086956522
"16",4,2005,0.333333333333333,NA,0.238095238095238,0.0952380952380952,0.571428571428571,0,0.285714285714286,0.428571428571429,0.19047619047619,0.380952380952381,0.380952380952381,0.80952380952381,0.80952380952381,0.19047619047619
"17",5,2005,0.590909090909091,NA,0.636363636363636,0.227272727272727,0.545454545454545,0.181818181818182,0.5,0.318181818181818,0.181818181818182,0.545454545454545,0.5,0.909090909090909,0.818181818181818,0.272727272727273
"18",6,2005,0.727272727272727,NA,0.363636363636364,0.272727272727273,0.681818181818182,0.363636363636364,0.454545454545455,0.5,0.272727272727273,0.454545454545455,0.772727272727273,0.909090909090909,0.636363636363636,0.363636363636364
"19",7,2005,0.428571428571429,NA,0.428571428571429,0.333333333333333,0.666666666666667,0.285714285714286,0.285714285714286,0.333333333333333,0.333333333333333,0.619047619047619,0.571428571428571,0.80952380952381,0.952380952380952,0.428571428571429
"20",8,2005,0.304347826086957,NA,0.521739130434783,0.347826086956522,0.739130434782609,0.130434782608696,0.260869565217391,0.391304347826087,0.304347826086957,0.347826086956522,0.608695652173913,0.739130434782609,0.826086956521739,0.434782608695652
"21",9,2005,0.0909090909090909,NA,0.272727272727273,0.227272727272727,0.818181818181818,0.0909090909090909,0.0909090909090909,0.181818181818182,0.272727272727273,0.181818181818182,0.5,0.5,0.5,0.272727272727273
"22",10,2005,0.0952380952380952,NA,0.238095238095238,0.142857142857143,0.80952380952381,0.238095238095238,0.333333333333333,0.238095238095238,0.238095238095238,0.285714285714286,0.476190476190476,0.714285714285714,1,0.571428571428571
"23",11,2005,0.181818181818182,NA,0.272727272727273,0.363636363636364,0.681818181818182,0.136363636363636,0.227272727272727,0.227272727272727,0.272727272727273,0.318181818181818,0.590909090909091,0.863636363636364,1,0.318181818181818
"24",12,2005,0.227272727272727,NA,0.227272727272727,0.409090909090909,0.636363636363636,0.227272727272727,0.0454545454545455,0.5,0.136363636363636,0.272727272727273,0.545454545454545,0.863636363636364,0.954545454545455,0.409090909090909
"25",1,2006,0.227272727272727,NA,0.272727272727273,0.318181818181818,0.772727272727273,0.136363636363636,0.136363636363636,0.454545454545455,0.136363636363636,0.409090909090909,0.5,0.727272727272727,1,0.363636363636364
"26",2,2006,0.05,NA,0.2,0.15,0.95,0.05,0.25,0.2,0.1,0.45,0.75,0.75,0.75,0.35
"27",3,2006,0.0869565217391304,NA,0.347826086956522,0.0434782608695652,0.91304347826087,0.0434782608695652,0.130434782608696,0.130434782608696,0.173913043478261,0.173913043478261,0.434782608695652,0.739130434782609,0.869565217391304,0.130434782608696
"28",4,2006,0.15,NA,0.3,0.25,0.7,0.2,0.3,0.3,0.25,0.55,0.6,0.85,0.65,0.4
