Month;Year;AES GENER;AFP PROVIDA;AGENCIAS UNIVERS;AGUAS ANDINAS;ALMENDRAL;ANDROMACO;ANTAR CHILE;AUSTRALIS SEAFOODS;AZUL AZUL SHARES;BANCO DE CHILE;BANCO DE CREDITO E INVERSION;BANCO SANTANDER CHILE;BANMEDICA;BANVIDA;BESALCO;BLANCO Y NEGRO;BLUMAR;BUPA CHILE DEAD - DELIST.26/10/16;CAMPOS CHILENOS;CAP;CEM;CEMENTOS BIO BIO;CENCOSUD;CIA GNL ELECTRIC DEAD - DELIST.03/10/16;CINTAC;COCA-COLA EMBONOR PREF.;COCA-COLA EMBONOR SERIES B PREF.;COLBUN MACHICURA;COMPANIA AGROPECUARIA COPEVAL;COMPANIA CERVECERIAS UNIDAS;COMPANIA CHILENA DE NAVIGACION INTEROCEANICA;COMPANIA PESQUERA CAMANCHACA;COMPANIA SUDAMERICANA DE VAPORES;COMPANIAS CIC;CRISTALERIAS DE CHILE;CRUZADOS SADP;CTI;CURAUMA;DETROIT DIESEL DEAD - DELIST.18/11/16;EDELPA;ELECTROMETALRGCA;EMBOTELLADORA ANDINA SERIES A;EMBOTELLADORA ANDINA SERIES B PREF.;EMPRESA NACIONAL DE TELECOMUNICACIONES;EMPRESAS AQUACHILE;EMPRESAS CMPC;EMPRESAS COPEC;EMPRESAS IANSA;EMPRESAS TATTERSALL DEAD - DELIST.29/12/16;ENEL AMERICAS;ENEL GENERACION CHILE;ENGIE ENERGIA CHILE;ENJOY;EPERVA;ESVAL 'C';FONDOS HABITAT;FORESTAL CONST;FORUS;FOSFOROS;GASCO;GRUPO EMPRESAS NAVIERAS;GRUPO SECURITY;HIPERMARC;HITES;INDIVER DEAD - DELIST.12/01/17;INSTITUTO DE DIAGNOSTICO;INVERCAP;INVERSIONES AGUAS METROPOLITANAS;INVERTEC PESQUERA MAR DE CHILOE;INVEXANS;ITAU CORPBANCA;LAS CONDES;LATAM AIRLINES GROUP;MARINSA;MASISA;MIN VALPARAISO;MOLYMET;MULTIEXPORT FOODS;NACL EXPLOSIVOS;NORTE GRANDE;ORO BLANCO;PACIFICO V REGION;PARQUE ARAUCO;PAZ;PEHUENCHE;PILMAIQUEN DEAD - DELIST.13/04/16;POLPAICO;QUINENCO;RIPLEY CORPORATION;SACI FALABELLA;SALFA CORPORATION;SCHWAGER ENERGY;SIGDO KOPPERS;SOCIEDAD MATRIZ BANCO DE CHILE A;SOCIEDAD MATRIZ BANCO DE CHILE B;SOCIEDAD MATRIZ BANCO DE CHILE D PREF.;SOCIEDAD MATRIZ BANCO DE CHILE E PREF.;SOCIEDAD PUNTA DEL COBRE A PREF.;SOCIEDAD QUIMICA Y MINERA DE CHILE A PREF.;SOCIEDAD QUIMICA Y MINERA DE CHILE B PREF.;SOCOVESA;SONDA;SOQUICOM;VENTANAS;VINA CONCHA Y TORO;VINA SAN PEDRO;VOLCAN;WALMART CHILE DEAD - DELIST.27/10/16;ZONA FRANCA
1;2004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;2004;-0.005594136;0.003741217;0;0;0.002478315;NA;1.75442E-05;NA;NA;0.010945709;0.000100726;-0.014652015;0;0.024390244;0;NA;0;NA;0;-0.010791367;0;0;NA;0;0;0;0;0.015445494;NA;-0.025087616;0;NA;0;0;0;NA;0;0;0;0;0;0.009615385;-0.000188644;-0.018910845;NA;0;0.007025761;0.010712373;0;0.005625606;0.00426172;-0.005297234;NA;0;NA;0;-0.035294118;NA;0;0;0;0;0;NA;0;0;0;NA;NA;0.020708083;0.00990099;0;0.023812077;0;0;0;0;NA;0;0;0;0;0;NA;0;0;0;-0.032862425;NA;-0.008577999;NA;0;NA;0;0;0;0;0;0;-0.003992096;NA;NA;-0.02;0;-0.039223385;0;0;0.012064017;0
1;2004;0;0;0;-0.002770083;0.003708282;NA;-0.001736842;NA;NA;-0.001299264;-0.000112337;-0.011152416;0;0;-0.004884547;NA;0;NA;0;0.001454545;0;0;NA;0;0;0.032258065;0;-0.015084852;NA;-0.012010409;0;NA;0;0;0;NA;-0.033333333;0;0;0;0;0;-0.009433962;0.036312122;NA;-0.004137215;-0.000930233;-0.011128776;0;-0.011381173;0.004306041;0;NA;0;NA;0;0;NA;0;0;0;0;0.186017478;NA;0;0;0.016393443;NA;NA;0.010143979;-0.003267974;0;0.03483252;0;0;0;0;NA;0;0;0;0;-0.033908797;NA;0.025641026;0;0;0;NA;0;NA;0;NA;0;0;0;0.009482759;0;0;-0.004008097;NA;NA;0;0;-0.030608283;-0.009174312;0;-0.003556837;0
1;2004;-0.008438409;-0.018181818;0;-0.005555556;-0.013546798;NA;-0.022864273;NA;NA;-0.00954033;0;0;0;0;0;NA;0;NA;-0.021340162;0.005809731;0;-0.018556701;NA;-0.000341297;0;0;0;-0.012507977;NA;-0.009978905;0;NA;-0.038929134;0;-0.035087719;NA;0;0;0;0;0;0;0;-0.032611994;NA;-0.026349518;-0.010963687;0;0;-0.016390244;0.017026036;-5.91716E-05;NA;0;NA;-0.003389831;0;NA;0;0;0;0;0;NA;0;0;0;NA;NA;-0.020084224;-0.009836066;0;-0.015728908;0;0;0;0;NA;0;0;0;0;0;NA;0;0;0;-0.009431003;NA;-0.028843933;NA;0;NA;0;0;0;0.009393681;0;-0.041778459;-0.0114223;NA;NA;0;-0.044117647;0.031574732;0;0;-0.014374608;0
1;2004;0;0;0;-0.016759777;0;NA;-0.008093525;NA;NA;-0.00525394;0.003370482;0.015037594;0;0;0;NA;0;NA;0;0.010765343;0.30787172;0;NA;0;0;0;0;-0.002455732;NA;0.002429913;0;NA;0;0;0.014545455;NA;0;0;0;-0.000127916;0;0;0.009428571;0.003065709;NA;-0.007834629;-0.030337264;0;0;-0.001983733;0.000610986;-0.008402864;NA;0;NA;0;0;NA;0;0;0;0;0.052631579;NA;0;0;0.016129032;NA;NA;0.025454545;-0.009933775;0;-0.002281495;0;-0.016124216;0;0;NA;0;-0.02962963;0;0;-0.017513883;NA;0;0;0;0.009501;NA;-0.009900205;NA;0;NA;0;-0.012240734;0;0;0;0;0.005345395;NA;NA;0;-0.007692308;0.010216383;0;0;-0.056330446;0
1;2004;0;-0.00137963;0;-0.005681818;0.006242197;NA;-0.002719855;NA;NA;0;0;-0.003703704;0;0;-0.019485349;NA;0;NA;0.00043611;0.014350923;0;-0.00210084;NA;0;0;0;0;-0.00375745;NA;0.001988424;0;NA;0;0;-0.005376344;NA;0.034482759;0;0;0.000127933;0;0.004761905;9.43485E-05;0.002774871;NA;0.021932674;0;-0.011254019;0;0.000795071;-0.000610612;0;NA;0;NA;0;0;NA;0;-0.055555556;0;0;0;NA;0;0;0.015873016;NA;NA;0.009026435;-0.003344482;0;0.004416398;0;0;0;0;NA;0;0.030534351;-0.024691358;0;0;NA;0;0;0;1.96075E-05;NA;-0.005004604;NA;0;NA;0;0.004475043;0;0;0;-0.02;0;NA;NA;-0.013605442;0.007751938;0;0;0;-0.036614459;0
1;2004;0;0.015289613;0;0.005714286;-0.004962779;NA;0;NA;NA;0.026848592;0.00223944;0.022304833;0;0;0;NA;-0.037054192;NA;0.043156059;-0.01056338;0;-0.005263158;NA;-0.00990099;0;0;0;-0.011965145;NA;0.007937914;0;NA;0;0;0;NA;0;0;0;0;0;0.005687204;0.004716981;0.024930253;NA;0.012875383;0.007281553;0.011382114;0;0.011717974;0.016741003;-0.015336874;NA;0;NA;0;0;NA;0;-0.029411765;0;0;0;NA;0;0;0;NA;NA;-0.013738019;0.003355705;0;0.000156337;0;0;0;0;NA;0;0;0.025316456;0;0;NA;0;0.049382716;0;-0.002823419;NA;0.020199582;NA;0;NA;0;0.007882111;0;0;0;0;-0.014274029;NA;NA;0;0.000153846;-0.010113064;0;0;0.005329457;0
1;2004;0;-0.02203653;0;-0.011363636;-0.001246883;NA;0;NA;NA;0.003857694;-0.00558609;0.018181818;0;-0.057142857;-0.010012136;NA;0;NA;0;0.017793594;0;0;NA;0;0;0;0;-0.008029485;NA;0.043306709;0;NA;-0.006751;0;0;NA;0;0;0;0;0;0.003770028;0.03286385;-0.008107951;NA;0;0.003614458;0;0;-0.014526894;0;-0.006060606;NA;0;NA;0;0;NA;0;0;0;0;0;NA;0;0;0;NA;NA;0.011985747;0.010033445;0;-0.011386395;0;0;0;0;NA;0;0;0;0;0;NA;0;0;0.060606061;0.002831413;NA;0.014682101;NA;0;NA;0;0;0;0;0;-0.020408163;-0.004190697;NA;NA;0;-0.007844947;-0.01019595;0;0;-0.005997323;0
1;2004;0;0.001055217;0;0;0;NA;-0.014545455;NA;NA;0.003415884;0;-0.010714286;0;0;0.010113393;NA;0;NA;0;-0.013986014;0;0;NA;0;0;0;0.017391304;0.001061571;NA;0.018867419;0;NA;0;0;0;NA;0;0;0;0;0;0.046948357;0.022727273;-0.010871081;NA;-0.008477423;0.006002401;0.011254019;0;-0.015737052;0;-0.006097561;NA;0;NA;-0.017006803;0;NA;0;0;0;0;0.3;NA;-0.027504912;0;0;NA;NA;-0.005761844;-0.013245033;0;0.004605039;-0.113647615;0;0;0;NA;0;0;0;0;0;NA;0;0;0;0;NA;0;NA;0;NA;0;0.00034002;0;0.009729272;0;-0.020833333;-0.000416667;NA;NA;0;0;0.010300978;0;0;-0.03932554;0
1;2004;0;0.007462687;0;0;0.033707865;NA;0.033210332;NA;NA;0.000425532;0;0.025270758;0;0.04040404;0;NA;0;NA;0;0.003546099;0;0;NA;0;0;0;-0.002849003;0.006362672;NA;0.003704358;0;NA;0;0;0;NA;0;0;0;0;0;0;0.004444444;0.005481182;NA;0.008549904;0.03699284;0.010598834;0;0.00667881;0.004086293;0;NA;-0.04;NA;-0.010380623;0;NA;0;-0.024238868;0;0;0;NA;0;0;-0.03125;NA;NA;-0.006117193;0.013422819;0;0.020642439;0;0;0;0;NA;0;0;0;0;0;NA;0;0;0;0;NA;0.004849133;NA;0;NA;0;-0.000339905;0.046733016;0;0;0;0.021258858;NA;NA;0;0;0.007151468;0;0;0.014018954;0
