"","Group.1","Group.2","ERSTE.GROUP.BANK..PRA.","VIENNA.IN.GROUP..PRA.","CENTRAL.EUR.MEDIA..PRA.","PHILIP.MORRIS.CR","CEZ","KOMERCNI.BANKA","MONETA.MONEY.BANK","KOFOLA.CESKOSLOVENSKO","UNIPETROL","TELF.O2.CZECH.REPUBLIC","STOCK.SPIRITS.GROUP.PRA.","PEGAS.NONWOVENS","FORTUNA.ENTM.GROUP"
"1",1,2004,0.181818181818182,1,1,0.0909090909090909,0.0909090909090909,0.0909090909090909,1,1,0.0909090909090909,0.0909090909090909,1,1,1
"2",2,2004,0,1,1,0,0,0,1,1,0,0,1,1,1
"3",3,2004,0,1,1,0,0,0,1,1,0.0869565217391304,0.0434782608695652,1,1,1
"4",4,2004,0.0909090909090909,1,1,0.0454545454545455,0.0454545454545455,0.0454545454545455,1,1,0.136363636363636,0.0454545454545455,1,1,1
"5",5,2004,0,1,1,0,0,0,1,1,0.0952380952380952,0,1,1,1
"6",6,2004,0.0909090909090909,1,1,0,0.0454545454545455,0.0454545454545455,1,1,0.0454545454545455,0,1,1,1
"7",7,2004,0.0909090909090909,1,1,0.0909090909090909,0.0909090909090909,0.0909090909090909,1,1,0.0909090909090909,0.0909090909090909,1,1,1
"8",8,2004,0,1,1,0,0,0.0454545454545455,1,1,0.181818181818182,0.0454545454545455,1,1,1
"9",9,2004,0.0454545454545455,1,1,0.0909090909090909,0.0454545454545455,0.0454545454545455,1,1,0.0454545454545455,0.0909090909090909,1,1,1
"10",10,2004,0.0476190476190476,1,1,0.0476190476190476,0.0952380952380952,0.0952380952380952,1,1,0.0476190476190476,0.0952380952380952,1,1,1
"11",11,2004,0.0909090909090909,1,1,0.0454545454545455,0.0909090909090909,0.0909090909090909,1,1,0.0454545454545455,0.0454545454545455,1,1,1
"12",12,2004,0.0869565217391304,1,1,0.0869565217391304,0.0869565217391304,0.0869565217391304,1,1,0.130434782608696,0.130434782608696,1,1,1
"13",1,2005,0.0952380952380952,1,1,0,0,0,1,1,0,0,1,1,1
"14",2,2005,0.15,1,1,0,0.05,0,1,1,0,0,1,1,1
"15",3,2005,0.0434782608695652,1,1,0.0434782608695652,0.0434782608695652,0.0434782608695652,1,1,0.0434782608695652,0.130434782608696,1,1,1
"16",4,2005,0,1,1,0,0,0,1,1,0,0.0476190476190476,1,1,1
"17",5,2005,0,1,1,0,0,0.0454545454545455,1,1,0,0.0909090909090909,1,1,1
"18",6,2005,0,1,0.909090909090909,0,0,0,1,1,0,0,1,1,1
"19",7,2005,0.0952380952380952,1,0.0952380952380952,0.0952380952380952,0.0952380952380952,0.0952380952380952,1,1,0.0952380952380952,0.0952380952380952,1,1,1
"20",8,2005,0.0869565217391304,1,0.0434782608695652,0.0434782608695652,0,0,1,1,0,0.260869565217391,1,1,1
"21",9,2005,0.0454545454545455,1,0.0909090909090909,0.0454545454545455,0.0454545454545455,0.0454545454545455,1,1,0.0454545454545455,0.0909090909090909,1,1,1
