"","Group.1","Group.2","ARCA.CONTINENTAL","ALFA.A","ALPEK.DE.CV","ALSEA.DE.CV","AMERICA.MOVIL.L","GRUPO.AEROPORTUARIO.DEL.SURESTE.B","GRUPO.BIMBO.A","BOLSA.MEXICANA.DE.VALORES","CEMEX.CPO","GRUPO.ELEKTRA","FOMENTO.ECONOMICO.MEXICANO","GRUPO.AEROPORTUARIO.DEL.PACIFICO","GRUPO.CARSO.SERIES.A1","GENTERA","GRUPO.FINANCIERO.INBURSA.SRIES.O","GPO.FINANCE.BANORTE","BANREGIO.GRUPO.FINANCIERO","GRUPO.MEXICO.B","GRUMA","INFRAESTRUCTURA.ENERGETICA.NOVA","KIMBERLY.CLARK.DE.MEXICO.A","COCA.COLA.FEMSA.L","GENOMMA.LAB.INTERNATIONAL","GRUPO.LALA","EL.PUERTO.DE.LIVERPOOL.C1","MEXICHEM.DE.CV","NEMAK","OHL.MEXICO","GRUPO.AEROPORTUARIO.DEL.CENTRO.NORTE.B","INDUST.PENOLES","PROMOTORA.Y.OPRD..INFRE.","GRUPO.FINANCIERO.SANTANDER.MEXICO.B","GRUPO.TELEVISA","CONTROLADORA.VUELA.COMPANIA.DE.AVIACION","WALMART.DE.MEXICO.V"
"1",1,2004,0.136363636363636,0.0909090909090909,1,0.409090909090909,0.0909090909090909,0.454545454545455,0.272727272727273,1,0.0454545454545455,0.0454545454545455,0.0909090909090909,1,0.181818181818182,1,0.0909090909090909,0.136363636363636,1,0.0909090909090909,0.181818181818182,1,0.272727272727273,0.409090909090909,1,1,0.818181818181818,0.727272727272727,1,1,1,0.0454545454545455,1,0.954545454545455,0.0454545454545455,1,0.0454545454545455
"2",2,2004,0.15,0.15,1,0.45,0.1,0.2,0.1,1,0.2,0.1,0.05,1,0.2,1,0.15,0.15,1,0.05,0.2,1,0.15,0.05,1,1,0.65,0.8,1,1,1,0.05,1,0.9,0.05,1,0.1
"3",3,2004,0.130434782608696,0.0434782608695652,1,0.173913043478261,0,0.217391304347826,0.130434782608696,1,0,0,0,1,0.130434782608696,1,0.130434782608696,0,1,0.0434782608695652,0.347826086956522,1,0,0,1,1,0.956521739130435,0.91304347826087,1,1,1,0.0434782608695652,1,0.91304347826087,0,1,0.0434782608695652
"4",4,2004,0.136363636363636,0.181818181818182,1,0.363636363636364,0.0909090909090909,0.136363636363636,0.181818181818182,1,0.0909090909090909,0.136363636363636,0.0909090909090909,1,0.227272727272727,1,0.0909090909090909,0.181818181818182,1,0.272727272727273,0.409090909090909,1,0.0909090909090909,0.181818181818182,1,1,0.954545454545455,0.954545454545455,1,1,1,0.0909090909090909,1,0.818181818181818,0.136363636363636,1,0.0909090909090909
"5",5,2004,0.142857142857143,0.0952380952380952,1,0.523809523809524,0.142857142857143,0.238095238095238,0,1,0,0,0,1,0.0952380952380952,1,0,0,1,0.0952380952380952,0.238095238095238,1,0.0476190476190476,0.0952380952380952,1,1,0.904761904761905,0.80952380952381,1,1,1,0,1,1,0,1,0.0476190476190476
"6",6,2004,0.227272727272727,0.181818181818182,1,0.363636363636364,0.227272727272727,0.454545454545455,0.272727272727273,1,0,0,0,1,0.0909090909090909,1,0.0909090909090909,0.0909090909090909,1,0.0454545454545455,0.681818181818182,1,0.0454545454545455,0.181818181818182,1,1,0.727272727272727,0.909090909090909,1,1,1,0,1,0.909090909090909,0.0454545454545455,1,0.136363636363636
"7",7,2004,0.181818181818182,0.227272727272727,1,0.318181818181818,0.136363636363636,0.272727272727273,0.0909090909090909,1,0.0454545454545455,0,0,1,0.227272727272727,1,0.0454545454545455,0.0909090909090909,1,0.136363636363636,0.5,1,0.0454545454545455,0.181818181818182,1,1,1,0.863636363636364,1,1,1,0,1,0.909090909090909,0.0909090909090909,1,0.181818181818182
"8",8,2004,0,0.136363636363636,1,0.5,0.0454545454545455,0.681818181818182,0.0454545454545455,1,0,0.0454545454545455,0.0454545454545455,1,0.136363636363636,1,0.227272727272727,0,1,0.0454545454545455,0.181818181818182,1,0.0454545454545455,0.272727272727273,1,1,0.954545454545455,0.909090909090909,1,1,1,0.0454545454545455,1,1,0,1,0.136363636363636
"9",9,2004,0.0454545454545455,0.181818181818182,1,0.5,0.181818181818182,0.318181818181818,0.136363636363636,1,0.0454545454545455,0.0454545454545455,0.0454545454545455,1,0.227272727272727,1,0.136363636363636,0.0909090909090909,1,0.318181818181818,0.136363636363636,1,0.0909090909090909,0.0454545454545455,1,1,1,0.954545454545455,1,1,1,0.0454545454545455,1,0.954545454545455,0.0909090909090909,1,0.0454545454545455
"10",10,2004,0.0952380952380952,0.0476190476190476,1,0.19047619047619,0.0476190476190476,0.238095238095238,0.0952380952380952,1,0,0,0.142857142857143,1,0,1,0,0,1,0.0476190476190476,0.0952380952380952,1,0.142857142857143,0.0952380952380952,1,1,0.80952380952381,1,1,1,1,0.0952380952380952,1,0.761904761904762,0,1,0.0476190476190476
"11",11,2004,0.181818181818182,0.0909090909090909,1,0.5,0.136363636363636,0,0,1,0.0454545454545455,0,0.0909090909090909,1,0.0454545454545455,1,0.136363636363636,0.0454545454545455,1,0.0454545454545455,0.0909090909090909,1,0.0454545454545455,0.0909090909090909,1,1,0.727272727272727,0.909090909090909,1,1,1,0.0454545454545455,1,0.909090909090909,0,1,0.0909090909090909
"12",12,2004,0.130434782608696,0.0869565217391304,1,0.217391304347826,0.0869565217391304,0.0869565217391304,0.217391304347826,1,0,0,0,1,0.0869565217391304,1,0.0869565217391304,0.130434782608696,1,0,0.217391304347826,1,0.217391304347826,0.0434782608695652,1,1,0.91304347826087,0.869565217391304,1,1,1,0.0869565217391304,1,1,0,1,0
