Application offline. Connect to a network.,APPLE,APPLE - MARKET VALUE,APPLE - DIVIDEND YIELD,APPLE - PER,APPLE - PRICE INDEX,MICROSOFT,MICROSOFT - MARKET VALUE,MICROSOFT - DIVIDEND YIELD,MICROSOFT - PER,MICROSOFT - PRICE INDEX,AMAZON.COM,AMAZON.COM - MARKET VALUE,AMAZON.COM - DIVIDEND YIELD,AMAZON.COM - PER,AMAZON.COM - PRICE INDEX,EXXON MOBIL,EXXON MOBIL - MARKET VALUE,EXXON MOBIL - DIVIDEND YIELD,EXXON MOBIL - PER,EXXON MOBIL - PRICE INDEX,JOHNSON & JOHNSON,JOHNSON & JOHNSON - MARKET VALUE,JOHNSON & JOHNSON - DIVIDEND YIELD,JOHNSON & JOHNSON - PER,JOHNSON & JOHNSON - PRICE INDEX,FACEBOOK CLASS A,FACEBOOK CLASS A - MARKET VALUE,FACEBOOK CLASS A - DIVIDEND YIELD,FACEBOOK CLASS A - PER,FACEBOOK CLASS A - PRICE INDEX
10/12/2012,89.959,590297.4,1.68,14.8,17522.5,29.2,245922.3,3.15,14.6,30031.3,242.36,109562.5,0,295.6,12375.8,91.03,415036.8,2.5,9.6,3310.2,67.97,187395.9,3.59,21.6,2539,19.5181,13167,0,130.1,51.1
11/12/2012,77.5471,510635.6,1.95,12.3,15104.8,28.22,237512.4,3.26,15.3,29023.4,226.47,102379.2,0,2830.9,11564.4,87.32,398121.7,2.61,9.2,3175.3,69.68,193101.3,3.5,22.9,2602.8,20.07,22066.37,0,NA,52.5
12/12/2012,77,507032.9,1.97,12.2,14998.3,27.24,229264.3,3.38,14.7,28015.5,251.76,113811.9,0,3147,12855.8,89.45,407833.1,2.55,9.4,3252.7,70.96,196648.4,3.44,23.3,2650.6,27.5801,30323.5,0,NA,72.1
1/12/2013,74.3285,488591.6,2.04,11.8,14477.9,26.83,225813.5,3.43,14.5,27593.8,267.9399,121644.7,0,3349.3,13682,89.61,403424.1,2.54,9.5,3258.5,72.35,200500.5,3.37,23.8,2702.6,31.72,34875.2,0,NA,83
2/12/2013,66.8428,439385.1,2.27,10.6,13019.8,27.88,233529.5,3.3,15.3,28673.7,258.7,117592.3,0,NA,13210.2,88.46,396340.4,2.58,9.1,3216.7,75.8,210061.3,3.22,19.6,2831.4,27.37,46096.09,0,2737,71.6
3/12/2013,61.2043,402320.5,2.47,9.7,11921.5,27.91,233780.8,3.3,15.3,28704.5,274.1299,124606,0,NA,13998.1,89.16,398588.1,2.56,9.2,3242.2,78.56,219735.1,3.11,20.4,2934.5,27.83,46870.81,0,2783,72.8
4/12/2013,61.4,403431.1,2.47,9.7,11959.6,28.79,240428.2,3.2,15.8,29609.6,272.8699,124221.9,0,NA,13933.8,88.99,395682.8,2.56,9.2,3236,82.74,231426.6,2.95,21.4,3090.7,27.4,46146.64,0,2740,71.7
5/12/2013,64.71,425179.8,2.69,10.8,12604.4,32.69,272997.4,2.81,16.9,33620.6,263.6299,120015.5,0,NA,13462,90.14,400796.1,2.8,9.3,3277.8,85.76,240890,3.08,23.3,3203.5,26.68,46679.86,0,2668,69.8
6/12/2013,61.7414,405674.6,2.82,10.3,12026.2,35,292288.6,2.63,18.1,35996.4,271.6699,123675.7,0,NA,13872.5,89.74,399017.6,2.81,9.1,3263.3,83.74,235216,3.15,22.8,3128,23.77,41588.49,0,1188.5,62.2
7/12/2013,60.93,387482.8,2.86,10.2,11868.1,35.67,297059.7,2.58,18.5,36685.5,307.5498,140550.2,0,NA,15704.7,93.4,411112.2,2.7,9.5,3396.4,89.99,252771.6,2.93,24.5,3361.5,25.91,45332.64,0,1295.5,67.8
8/12/2013,66.7657,424595,2.61,11.7,13004.8,32.87,273805.6,2.8,12.7,33805.7,296.6899,135587.3,0,NA,15150.1,89.89,395662.6,2.8,11.3,3268.7,92,259262.5,2.87,20.4,3436.6,38.22,69465.31,0,182,100
9/12/2013,67.5271,429437.3,2.58,11.8,13153.1,32.69,272306.1,2.81,12.7,33620.6,298.8599,136578.9,0,NA,15260.9,87.98,387255.4,2.86,11.1,3199.3,89.01,250836.4,2.97,19.8,3324.9,44.75,81333.75,0,213.1,117
10/12/2013,70.4017,447717.9,2.48,12.3,13713,34.13,285352,3.28,13.2,35101.6,310.8889,142304.2,0,NA,15875.2,86.95,379884.6,2.9,10.9,3161.8,89.45,252076.4,2.95,19.9,3341.3,49.11,89258.06,0,233.9,128.5
11/12/2013,74.2871,467872.4,2.35,13.1,14469.8,37.36,311879.9,3,13.9,38423.6,349.5298,159991.4,0,1235.1,17848.3,92.67,404875.3,2.72,12.1,3369.8,93.56,263973.6,2.82,20.8,3494.8,46.605,87339.94,0,111,121.9
12/12/2013,80.0771,504338.9,2.18,14.1,15597.6,37.22,310711.2,3.01,13.9,38279.6,381.25,174510.8,0,1347.2,19468.1,95.36,416627.8,2.64,12.5,3467.6,91.16,257202.1,2.9,20.3,3405.2,51.83,97131.81,0,123.4,135.6
1/12/2014,76.1343,475376.5,2.29,13.4,14829.6,36.04,299131.8,3.11,13.5,37066,397.6599,182525.8,0,1405.2,20306,100.52,435754,2.51,13.1,3655.3,94.74,267302.9,2.79,21.1,3538.9,57.94,112265.9,0,138,151.5
2/12/2014,76.56,478034.6,2.28,13.3,14912.5,37.47,311000.7,2.99,13.8,38536.7,349.25,160398.1,0,593,17834,91.08,393578.1,2.77,12.4,3312,92.42,260757.2,2.86,19.2,3452.3,64.45,127335.3,0,108.3,168.6
3/12/2014,76.6585,478650,2.27,13.3,14931.7,38.27,317640.7,2.93,14.1,39359.5,370.6399,170221.7,0,629.3,18926.3,94.21,406076.2,2.67,12.8,3425.8,93.6,264731.1,2.82,19.5,3496.3,70.8799,140038.9,0,119.1,185.4
4/12/2014,74.23,447582,2.35,12.9,14458.7,39.209,325434.5,2.86,14.4,40325.2,311.73,143440.3,0,529.3,15918.1,96.72,415351.5,2.61,13.1,3517.1,96.87,273979.6,2.73,20.2,3618.5,58.53,116538.4,0,98.4,153.1
5/12/2014,84.6899,510652.3,2.22,14.1,16496.1,39.97,330168.4,2.8,15,41107.9,302.8599,139366.2,0,475.4,15465.2,102.23,439013.6,2.7,13.9,3717.5,100.52,284380.8,2.79,19.2,3754.8,59.83,119284.7,0,100.6,156.5
6/12/2014,92.29,556478.4,2.04,15.4,17976.5,40.58,335207,2.76,15.2,41735.2,325.9099,149973.1,0,511.6,16642.2,101.66,436565.8,2.71,13.8,3696.7,102.53,290067.3,2.73,19.6,3829.9,64.2901,128176.9,0,108.1,168.2
7/12/2014,95.22,570164.4,1.97,15.9,18547.2,42.09,346779.4,2.66,15.8,43288.2,346.2,159944.4,0,543.5,17678.3,101.74,433889.6,2.71,13.8,3699.6,105.1,296655.1,2.66,20.1,3925.9,66.34,132263.9,0,111.5,173.5
8/12/2014,95.97,574655.3,1.96,15.5,18693.3,43.52,358561,2.57,16.6,44758.9,319.3198,147537.2,0,823,16305.7,98.49,420029.3,2.8,12.5,3581.5,100.63,283805.3,2.78,18.6,3758.9,72.83,146755.9,0,79.2,190.5
9/12/2014,101.66,608726.3,1.85,16.4,19801.6,46.695,384719.8,2.4,17.8,48024.3,331.1899,153021.6,0,853.6,16911.8,95.78,408472.1,2.88,12.2,3482.9,104.58,294945.4,2.68,19.3,3906.5,77.48,156125.9,0,84.3,202.7
10/12/2014,100.73,590765.3,1.87,16.2,19620.4,44.03,363468.6,2.82,16.8,45283.4,311.3899,144173.5,0,802.6,15900.8,91.6,387882.6,3.01,11.7,3330.9,101.23,285497.4,2.77,18.7,3781.4,72.91,162000.8,0,79.3,190.7
11/12/2014,111.25,652463.4,1.69,17.2,21669.6,48.78,402086.1,2.54,19.1,50168.6,311.51,144231.1,0,NA,15906.9,95.38,403889.1,2.89,12,3468.4,108.75,304403.1,2.57,18,4062.3,74.72,166172.4,0,70.8,195.4
12/12/2014,109.73,643548.8,1.71,17,21373.5,46.95,387001.7,2.64,18.4,48286.5,307.3201,142291.1,0,NA,15692.9,86.6,366710,3.19,10.9,3149.1,104.43,292310.9,2.68,17.3,3900.9,77.83,173088.9,0,73.8,203.6
1/12/2015,109.25,636353.6,1.72,16.9,21280,46.6,382958.8,2.66,18.3,47926.6,291.4099,135505.6,0,NA,14880.5,90.33,379476.4,3.06,11.4,3284.7,104.58,292730.8,2.68,17.3,3906.5,76.72,170620.3,0,72.7,200.7
2/12/2015,126.46,736597.1,1.49,17.1,24632.2,43.09,353500.9,2.88,17.4,44316.7,377.1699,175151.6,0,NA,19259.7,92.37,387463.5,2.99,12.2,3358.9,98.44,275544.3,2.84,17.3,3677.1,76.23,170475.6,0,69.1,199.4
3/12/2015,124.45,724889.8,1.51,16.9,24240.7,41.02,336519.2,3.02,16.6,42187.8,374.24,173790.9,0,NA,19110.1,84.22,352838.7,3.28,11.1,3062.5,99.83,277582.9,2.8,17.5,3729.1,78.93,176513.7,0,71.6,206.5
4/12/2015,127.1,732226.5,1.48,17.2,24756.9,41.72,342261.8,2.97,16.8,42907.7,382.6499,177696.4,0,NA,19539.6,85.56,357735.5,3.23,11.3,3111.3,102.06,283783.6,2.74,17.9,3812.4,82.04,183468.7,0,74.4,214.6
