"date","compname","varname","value"
2012-12-10,"MICROSOFT","PER",14.6
2012-12-11,"MICROSOFT","PER",15.3
2012-12-12,"MICROSOFT","PER",14.7
2013-12-01,"MICROSOFT","PER",14.5
2013-12-02,"MICROSOFT","PER",15.3
2013-12-03,"MICROSOFT","PER",15.3
2013-12-04,"MICROSOFT","PER",15.8
2013-12-05,"MICROSOFT","PER",16.9
2013-12-06,"MICROSOFT","PER",18.1
2013-12-07,"MICROSOFT","PER",18.5
2013-12-08,"MICROSOFT","PER",12.7
2013-12-09,"MICROSOFT","PER",12.7
2013-12-10,"MICROSOFT","PER",13.2
2013-12-11,"MICROSOFT","PER",13.9
2013-12-12,"MICROSOFT","PER",13.9
2014-12-01,"MICROSOFT","PER",13.5
2014-12-02,"MICROSOFT","PER",13.8
2014-12-03,"MICROSOFT","PER",14.1
2014-12-04,"MICROSOFT","PER",14.4
2014-12-05,"MICROSOFT","PER",15
2014-12-06,"MICROSOFT","PER",15.2
2014-12-07,"MICROSOFT","PER",15.8
2014-12-08,"MICROSOFT","PER",16.6
2014-12-09,"MICROSOFT","PER",17.8
2014-12-10,"MICROSOFT","PER",16.8
2014-12-11,"MICROSOFT","PER",19.1
2014-12-12,"MICROSOFT","PER",18.4
2015-12-01,"MICROSOFT","PER",18.3
2015-12-02,"MICROSOFT","PER",17.4
2015-12-03,"MICROSOFT","PER",16.6
2015-12-04,"MICROSOFT","PER",16.8
2015-12-05,"MICROSOFT","PER",19.7
2015-12-06,"MICROSOFT","PER",19.1
2015-12-07,"MICROSOFT","PER",18.5
2015-12-08,"MICROSOFT","PER",31.6
2015-12-09,"MICROSOFT","PER",29.4
2015-12-10,"MICROSOFT","PER",31.8
2015-12-11,"MICROSOFT","PER",35.4
2015-12-12,"MICROSOFT","PER",35.9
2016-12-01,"MICROSOFT","PER",35
2016-12-02,"MICROSOFT","PER",35.5
2016-12-03,"MICROSOFT","PER",37.3
2016-12-04,"MICROSOFT","PER",38.4
2016-12-05,"MICROSOFT","PER",39.5
2016-12-06,"MICROSOFT","PER",39.5
2016-12-07,"MICROSOFT","PER",40.8
2016-12-08,"MICROSOFT","PER",27.6
2016-12-09,"MICROSOFT","PER",27.2
2016-12-10,"MICROSOFT","PER",27.2
2012-12-10,"MICROSOFT","PRICE INDEX",30031.3
2012-12-11,"MICROSOFT","PRICE INDEX",29023.4
2012-12-12,"MICROSOFT","PRICE INDEX",28015.5
2013-12-01,"MICROSOFT","PRICE INDEX",27593.8
2013-12-02,"MICROSOFT","PRICE INDEX",28673.7
2013-12-03,"MICROSOFT","PRICE INDEX",28704.5
2013-12-04,"MICROSOFT","PRICE INDEX",29609.6
2013-12-05,"MICROSOFT","PRICE INDEX",33620.6
2013-12-06,"MICROSOFT","PRICE INDEX",35996.4
2013-12-07,"MICROSOFT","PRICE INDEX",36685.5
2013-12-08,"MICROSOFT","PRICE INDEX",33805.7
2013-12-09,"MICROSOFT","PRICE INDEX",33620.6
2013-12-10,"MICROSOFT","PRICE INDEX",35101.6
2013-12-11,"MICROSOFT","PRICE INDEX",38423.6
2013-12-12,"MICROSOFT","PRICE INDEX",38279.6
2014-12-01,"MICROSOFT","PRICE INDEX",37066
2014-12-02,"MICROSOFT","PRICE INDEX",38536.7
2014-12-03,"MICROSOFT","PRICE INDEX",39359.5
2014-12-04,"MICROSOFT","PRICE INDEX",40325.2
2014-12-05,"MICROSOFT","PRICE INDEX",41107.9
2014-12-06,"MICROSOFT","PRICE INDEX",41735.2
2014-12-07,"MICROSOFT","PRICE INDEX",43288.2
2014-12-08,"MICROSOFT","PRICE INDEX",44758.9
2014-12-09,"MICROSOFT","PRICE INDEX",48024.3
2014-12-10,"MICROSOFT","PRICE INDEX",45283.4
2014-12-11,"MICROSOFT","PRICE INDEX",50168.6
2014-12-12,"MICROSOFT","PRICE INDEX",48286.5
2015-12-01,"MICROSOFT","PRICE INDEX",47926.6
2015-12-02,"MICROSOFT","PRICE INDEX",44316.7
2015-12-03,"MICROSOFT","PRICE INDEX",42187.8
2015-12-04,"MICROSOFT","PRICE INDEX",42907.7
2015-12-05,"MICROSOFT","PRICE INDEX",48698
2015-12-06,"MICROSOFT","PRICE INDEX",47278.7
2015-12-07,"MICROSOFT","PRICE INDEX",45880
2015-12-08,"MICROSOFT","PRICE INDEX",48070.6
2015-12-09,"MICROSOFT","PRICE INDEX",44717.8
2015-12-10,"MICROSOFT","PRICE INDEX",48338
2015-12-11,"MICROSOFT","PRICE INDEX",54837.9
2015-12-12,"MICROSOFT","PRICE INDEX",55598.9
2016-12-01,"MICROSOFT","PRICE INDEX",54282.5
2016-12-02,"MICROSOFT","PRICE INDEX",51937.6
2016-12-03,"MICROSOFT","PRICE INDEX",54580.8
